dist,estimator,col,nrmse
norm,mice_rf,X,0.8210057359670871
norm,mice_rf,XZ,0.41822097112951734
norm,mice_br,X,0.7529191629894274
norm,mice_br,XZ,0.37835116579041955
norm,knn,X,0.7329005413603148
norm,knn,XZ,0.35997685717657474
norm,mice_rf,X,0.8473064716167832
norm,mice_rf,XZ,0.4063337296037242
norm,mice_br,X,0.7601541100753787
norm,mice_br,XZ,0.36653363638421055
norm,knn,X,0.7602043536646362
norm,knn,XZ,0.35638228769647834
norm,mice_rf,X,0.8630782119149991
norm,mice_rf,XZ,0.4962022673683753
norm,mice_br,X,0.7405652776719458
norm,mice_br,XZ,0.37325925394724146
norm,knn,X,0.7124629680654203
norm,knn,XZ,0.36774686860848144
norm,mice_rf,X,0.8119243712998013
norm,mice_rf,XZ,0.4080725278508935
norm,mice_br,X,0.7722526537027992
norm,mice_br,XZ,0.36038914151205936
norm,knn,X,0.7446321827332503
norm,knn,XZ,0.3571808938042369
norm,mice_rf,X,0.8645599628210945
norm,mice_rf,XZ,0.40570805094757373
norm,mice_br,X,0.7820064221126329
norm,mice_br,XZ,0.3658399703604311
norm,knn,X,0.7755863754005239
norm,knn,XZ,0.36246277737348975
norm,mice_rf,X,0.8284476517957873
norm,mice_rf,XZ,0.4559141320683234
norm,mice_br,X,0.7361765609649503
norm,mice_br,XZ,0.3640740695700043
norm,knn,X,0.6877995343244693
norm,knn,XZ,0.32935693456932613
norm,mice_rf,X,0.8322387155834402
norm,mice_rf,XZ,0.42666027356891245
norm,mice_br,X,0.7435670047486808
norm,mice_br,XZ,0.3546752004759449
norm,knn,X,0.7280899420428959
norm,knn,XZ,0.3546027924627898
norm,mice_rf,X,0.8664200153683834
norm,mice_rf,XZ,0.43113200215182346
norm,mice_br,X,0.787236349629749
norm,mice_br,XZ,0.3773127200957713
norm,knn,X,0.7455167243301192
norm,knn,XZ,0.3604760358902813
norm,mice_rf,X,0.7928527250925346
norm,mice_rf,XZ,0.38788507112001724
norm,mice_br,X,0.7564836291785882
norm,mice_br,XZ,0.3704487383158645
norm,knn,X,0.725958723550755
norm,knn,XZ,0.3565456652477428
norm,mice_rf,X,0.8508531167475032
norm,mice_rf,XZ,0.4429795515247019
norm,mice_br,X,0.7396854157254672
norm,mice_br,XZ,0.34720528495069997
norm,knn,X,0.7548481612042492
norm,knn,XZ,0.35794048675744516
norm,mice_rf,X,0.8488020354308923
norm,mice_rf,XZ,0.42382949449824964
norm,mice_br,X,0.7875752851951638
norm,mice_br,XZ,0.37427718708707586
norm,knn,X,0.7656991013724125
norm,knn,XZ,0.3610330430687388
norm,mice_rf,X,0.8888974289884127
norm,mice_rf,XZ,0.42644502207342794
norm,mice_br,X,0.7581799726961375
norm,mice_br,XZ,0.357101420656781
norm,knn,X,0.7386627500255974
norm,knn,XZ,0.34352630810428086
norm,mice_rf,X,0.8558051257841442
norm,mice_rf,XZ,0.4474900128041625
norm,mice_br,X,0.7739494334170944
norm,mice_br,XZ,0.3973908828013967
norm,knn,X,0.743114674700494
norm,knn,XZ,0.4015885515326597
norm,mice_rf,X,0.8072022268834264
norm,mice_rf,XZ,0.40965437922471865
norm,mice_br,X,0.7662528748479518
norm,mice_br,XZ,0.37956502520105845
norm,knn,X,0.7426165244869404
norm,knn,XZ,0.365638733128309
norm,mice_rf,X,0.7739945299732207
norm,mice_rf,XZ,0.37684487749484935
norm,mice_br,X,0.7317475785488236
norm,mice_br,XZ,0.339717248042758
norm,knn,X,0.7171807856736458
norm,knn,XZ,0.33724502485059654
norm,mice_rf,X,0.8328991909742826
norm,mice_rf,XZ,0.39156969026600424
norm,mice_br,X,0.7675358087186144
norm,mice_br,XZ,0.35550296981109686
norm,knn,X,0.7568418538832694
norm,knn,XZ,0.36595550084901124
norm,mice_rf,X,0.8314813691409534
norm,mice_rf,XZ,0.4094553997023452
norm,mice_br,X,0.7519573056093688
norm,mice_br,XZ,0.36939217623076903
norm,knn,X,0.7478778319569167
norm,knn,XZ,0.35939204708910927
norm,mice_rf,X,0.8210115427797576
norm,mice_rf,XZ,0.43115647495247
norm,mice_br,X,0.7749167282634591
norm,mice_br,XZ,0.36867701396223856
norm,knn,X,0.7625475656657059
norm,knn,XZ,0.38334414998740457
norm,mice_rf,X,0.8038884247677157
norm,mice_rf,XZ,0.430155757527757
norm,mice_br,X,0.7497332397015021
norm,mice_br,XZ,0.3720236863848813
norm,knn,X,0.7279648216245068
norm,knn,XZ,0.3722215919731518
norm,mice_rf,X,0.7928382943821419
norm,mice_rf,XZ,0.3930503418849514
norm,mice_br,X,0.7018067200175817
norm,mice_br,XZ,0.32973500377375564
norm,knn,X,0.6785854160424126
norm,knn,XZ,0.3131885991068796
norm,mice_rf,X,0.8707256243098055
norm,mice_rf,XZ,0.46711513539812455
norm,mice_br,X,0.7720770995862022
norm,mice_br,XZ,0.3591112844941039
norm,knn,X,0.7518675088530699
norm,knn,XZ,0.3595084888203058
norm,mice_rf,X,0.7972503675715368
norm,mice_rf,XZ,0.4136606110643458
norm,mice_br,X,0.7431668957595214
norm,mice_br,XZ,0.36419323622182553
norm,knn,X,0.7307514394013966
norm,knn,XZ,0.3732237627134979
norm,mice_rf,X,0.8645540869676089
norm,mice_rf,XZ,0.44032463409599104
norm,mice_br,X,0.7502521066014056
norm,mice_br,XZ,0.3631296287426794
norm,knn,X,0.7228051551480343
norm,knn,XZ,0.3510623341345932
norm,mice_rf,X,0.8868846985021659
norm,mice_rf,XZ,0.4154211254437186
norm,mice_br,X,0.7723826816651403
norm,mice_br,XZ,0.34861259354633783
norm,knn,X,0.747312851956392
norm,knn,XZ,0.3342381275108875
norm,mice_rf,X,0.8230533195393702
norm,mice_rf,XZ,0.42338198598936794
norm,mice_br,X,0.7461550207412017
norm,mice_br,XZ,0.3646288169891757
norm,knn,X,0.7573109035520033
norm,knn,XZ,0.3666602859548252
norm,mice_rf,X,0.7905573439729955
norm,mice_rf,XZ,0.38274155291859047
norm,mice_br,X,0.7228163993046914
norm,mice_br,XZ,0.3422001025057066
norm,knn,X,0.6841454775228853
norm,knn,XZ,0.3239112814327755
norm,mice_rf,X,0.8149669905773225
norm,mice_rf,XZ,0.453636620569064
norm,mice_br,X,0.7593744174649341
norm,mice_br,XZ,0.40787429869770647
norm,knn,X,0.7488796775899814
norm,knn,XZ,0.40965039406938375
norm,mice_rf,X,0.795407554893223
norm,mice_rf,XZ,0.4009196393924488
norm,mice_br,X,0.767219427025627
norm,mice_br,XZ,0.37600559906507475
norm,knn,X,0.7495044816054054
norm,knn,XZ,0.374792712952157
norm,mice_rf,X,0.8122254511950763
norm,mice_rf,XZ,0.4193771424871741
norm,mice_br,X,0.7498346624853628
norm,mice_br,XZ,0.3721953958743727
