dist,estimator,col,rel_bias
norm,mice_rf,X,-0.01111837168274854
norm,mice_rf,XZ,-0.01729238740125494
norm,mice_br,X,-0.0004398259842518515
norm,mice_br,XZ,0.0038069025126059586
norm,knn,X,0.005640585532938891
norm,knn,XZ,0.010257131318646584
norm,mice_rf,X,-0.020221641967304804
norm,mice_rf,XZ,-0.042537071166468765
norm,mice_br,X,-0.0006449701271051822
norm,mice_br,XZ,0.000256664684162633
norm,knn,X,0.005965004450942946
norm,knn,XZ,0.006077468158838473
norm,mice_rf,X,-0.012137845682013038
norm,mice_rf,XZ,-0.03478367605389798
norm,mice_br,X,-0.005864928282976578
norm,mice_br,XZ,-0.010055163031600034
norm,knn,X,0.0008451281008765577
norm,knn,XZ,-0.0026716833129698525
norm,mice_rf,X,-0.0027369804324339775
norm,mice_rf,XZ,-0.017708444625989417
norm,mice_br,X,0.004920984474297896
norm,mice_br,XZ,0.007951167696806039
norm,knn,X,0.008086993975517265
norm,knn,XZ,0.013211177981849342
norm,mice_rf,X,-0.021794574751674678
norm,mice_rf,XZ,-0.03894127681863191
norm,mice_br,X,-0.01313298380640937
norm,mice_br,XZ,-0.011374594504976354
norm,knn,X,-0.0001697457610394526
norm,knn,XZ,0.0028988597122383553
norm,mice_rf,X,-0.006210917501546898
norm,mice_rf,XZ,-0.02495395948133383
norm,mice_br,X,-0.006518671494095574
norm,mice_br,XZ,-0.009047459368868527
norm,knn,X,0.006390355579922291
norm,knn,XZ,0.0054178924685159835
norm,mice_rf,X,-0.03204017745322363
norm,mice_rf,XZ,-0.04635937974554538
norm,mice_br,X,-0.023039902637443377
norm,mice_br,XZ,-0.01928413320788125
norm,knn,X,-0.018498010973715617
norm,knn,XZ,-0.015704398526674157
norm,mice_rf,X,-0.01335535686798639
norm,mice_rf,XZ,-0.028427751278457647
norm,mice_br,X,-0.008270173488501786
norm,mice_br,XZ,-0.005321740533700714
norm,knn,X,0.004216358978778478
norm,knn,XZ,0.005391634104480403
norm,mice_rf,X,-0.010025136026733383
norm,mice_rf,XZ,-0.02637357482557401
norm,mice_br,X,-0.009310537758203785
norm,mice_br,XZ,-0.005519652085134608
norm,knn,X,-0.00041191185135458497
norm,knn,XZ,0.0026392498200364933
norm,mice_rf,X,-0.006948137877030969
norm,mice_rf,XZ,-0.016126813722491473
norm,mice_br,X,-0.0033970923699553346
norm,mice_br,XZ,0.0019131059160057973
norm,knn,X,0.00351901161615209
norm,knn,XZ,0.010039511143152158
norm,mice_rf,X,-0.007356091529945985
norm,mice_rf,XZ,-0.021669226949926346
norm,mice_br,X,-0.005627304694178603
norm,mice_br,XZ,-0.0037155604139900156
norm,knn,X,0.003644780641985479
norm,knn,XZ,0.00417784540621402
norm,mice_rf,X,-0.002894699546392432
norm,mice_rf,XZ,-0.005407405651676078
norm,mice_br,X,0.011804634660710356
norm,mice_br,XZ,0.02165959109548199
norm,knn,X,0.014778239304928498
norm,knn,XZ,0.026178491100453227
norm,mice_rf,X,0.003656356314246878
norm,mice_rf,XZ,-0.01391109828808601
norm,mice_br,X,0.005918729766126063
