dist,estimator,col,relb_coef
norm,mice_rf,X,-0.4440138130017644
norm,mice_rf,X^2,0.23887838643768375
norm,mice_br,X,-0.13854102488953202
norm,mice_br,X^2,-0.5133572956776207
norm,knn,X,-8.930864066567592
norm,knn,X^2,22.47699365260199
norm,mice_rf,X,2.24240152280574
norm,mice_rf,X^2,0.8963542925478132
norm,mice_br,X,1.4394800469546265
norm,mice_br,X^2,0.5030807620767536
norm,knn,X,2.229041199283879
norm,knn,X^2,1.2793297976101283
norm,mice_rf,X,-0.08674107396114598
norm,mice_rf,X^2,-0.1000347343592438
norm,mice_br,X,-0.24039702524045792
norm,mice_br,X^2,-0.2314020888473769
norm,knn,X,-0.6193753181227981
norm,knn,X^2,0.2987825862488849
norm,mice_rf,X,-8.364411302913773
norm,mice_rf,X^2,0.32519386298926406
norm,mice_br,X,-22.3160712046199
norm,mice_br,X^2,0.8889349530738928
norm,knn,X,-8.273297334948593
norm,knn,X^2,1.3013913259604108
norm,mice_rf,X,2.3513674578626045
norm,mice_rf,X^2,-1.7526534808856227
norm,mice_br,X,1.5317417844445136
norm,mice_br,X^2,-1.3619081840963263
norm,knn,X,-11.497082166814607
norm,knn,X^2,11.187507521171788
norm,mice_rf,X,1.7025769612813222
norm,mice_rf,X^2,0.009994645981440167
norm,mice_br,X,8.724142873264139
norm,mice_br,X^2,-0.18772497120266243
norm,knn,X,-372.1586918633549
norm,knn,X^2,6.384213070210766
norm,mice_rf,X,0.046114592786365684
norm,mice_rf,X^2,0.28495354925994265
norm,mice_br,X,-0.001055829316856335
norm,mice_br,X^2,0.17211630447429122
norm,knn,X,-1.8511652342742977
norm,knn,X^2,-5.854923749207735
norm,mice_rf,X,-0.9718554995228045
norm,mice_rf,X^2,-0.3009882577817061
norm,mice_br,X,-2.6419926428499143
norm,mice_br,X^2,-0.7726448833853604
norm,knn,X,-17.60830849062307
norm,knn,X^2,-3.15758567752769
norm,mice_rf,X,0.3130450284769154
norm,mice_rf,X^2,-0.26546323787661613
norm,mice_br,X,0.288212883724485
norm,mice_br,X^2,-1.2917791778740246
norm,knn,X,3.112966996046932
norm,knn,X^2,0.42489902926974366
norm,mice_rf,X,-1.571878062637454
norm,mice_rf,X^2,-0.48800654608569216
norm,mice_br,X,-1.8312894266865387
norm,mice_br,X^2,-0.6754500128342042
norm,knn,X,-5.378086382017117
norm,knn,X^2,-0.005723901447931386
norm,mice_rf,X,-3.627050415597792
norm,mice_rf,X^2,-0.8466133508284602
