dist,estimator,col,rel_bias
norm,mice_rf,X,-0.004695890495121979
norm,mice_rf,X^2,-0.014458920939661168
norm,mice_br,X,0.4132940636597513
norm,mice_br,X^2,-0.19389839536363696
norm,knn,X,-0.006164270451293197
norm,knn,X^2,-0.017157330771548462
norm,mice_rf,X,-0.006981975025773246
norm,mice_rf,X^2,-0.02066003432480301
norm,mice_br,X,0.40898027050090446
norm,mice_br,X^2,-0.19296287092307696
norm,knn,X,-0.0077079225757480385
norm,knn,X^2,-0.02125584855933782
norm,mice_rf,X,-0.00454585404116048
norm,mice_rf,X^2,-0.012629105969982457
norm,mice_br,X,0.429533968349048
norm,mice_br,X^2,-0.2018170070778198
norm,knn,X,-0.009144515329254754
norm,knn,X^2,-0.024461234167053703
norm,mice_rf,X,-0.0041801295339413125
norm,mice_rf,X^2,-0.012307307691101221
norm,mice_br,X,0.40688315007174825
norm,mice_br,X^2,-0.19351428443342944
norm,knn,X,-0.005790219563348131
norm,knn,X^2,-0.01680792406435372
norm,mice_rf,X,-0.004959357464036862
norm,mice_rf,X^2,-0.013682088698825035
norm,mice_br,X,0.4129861722046877
norm,mice_br,X^2,-0.19566104584812205
norm,knn,X,-0.005725464481191156
norm,knn,X^2,-0.01648279736243141
norm,mice_rf,X,-0.002706816021208591
norm,mice_rf,X^2,-0.008945174914078424
norm,mice_br,X,0.4295437143013947
norm,mice_br,X^2,-0.20536549456714404
norm,knn,X,-0.004854976027028668
norm,knn,X^2,-0.01418033729205137
norm,mice_rf,X,-0.0034855454080129356
norm,mice_rf,X^2,-0.010913445819605627
norm,mice_br,X,0.38604402428347373
norm,mice_br,X^2,-0.18374511047458497
norm,knn,X,-0.004567932243744965
norm,knn,X^2,-0.01266851804807656
norm,mice_rf,X,-0.0024900663362928954
norm,mice_rf,X^2,-0.007320847620813864
norm,mice_br,X,0.38625296806103915
norm,mice_br,X^2,-0.17888246334962787
norm,knn,X,-0.0035482458393494287
norm,knn,X^2,-0.00987528025159623
norm,mice_rf,X,-0.0023829431985972205
norm,mice_rf,X^2,-0.007085180023132076
norm,mice_br,X,0.2868398424436509
norm,mice_br,X^2,-0.1362674626928858
norm,knn,X,-0.0023498911430736014
norm,knn,X^2,-0.0069440716416308
norm,mice_rf,X,-0.0022744966278598344
norm,mice_rf,X^2,-0.0062938947673805146
norm,mice_br,X,0.37236179926878155
norm,mice_br,X^2,-0.17285185850284646
norm,knn,X,-0.003672284379374724
norm,knn,X^2,-0.010257572140058735
unif,mice_rf,X,-2.7929373534241186e-05
unif,mice_rf,X^2,2.7855292289213907e-05
unif,mice_br,X,0.9507275483206645
unif,mice_br,X^2,-0.3534785129404149
unif,knn,X,-0.0005895210444339938
unif,knn,X^2,-0.0012175225306132464
unif,mice_rf,X,-0.00020883933857840375
unif,mice_rf,X^2,-0.0008846604635508459
unif,mice_br,X,0.9207450587562993
unif,mice_br,X^2,-0.33983981868463875
unif,knn,X,-0.000893346881105983
unif,knn,X^2,-0.002181618175257749
unif,mice_rf,X,-0.0009333582281949582
unif,mice_rf,X^2,-0.002647442915061693
unif,mice_br,X,0.7776522028005401
unif,mice_br,X^2,-0.29672142822068226
unif,knn,X,-0.0025877531086831995
unif,knn,X^2,-0.006784314661307134
unif,mice_rf,X,-0.00042430491452305485
unif,mice_rf,X^2,-0.001235890789025973
unif,mice_br,X,0.8439871358379396
unif,mice_br,X^2,-0.319283848393349
unif,knn,X,-0.0021182637301556673
unif,knn,X^2,-0.005973287577791475
unif,mice_rf,X,-0.0004768386658320356
unif,mice_rf,X^2,-0.001477159331260136
unif,mice_br,X,0.9346688977424145
unif,mice_br,X^2,-0.3554629121445195
unif,knn,X,-0.00038140754302373736
unif,knn,X^2,-0.001183080704381445
unif,mice_rf,X,-0.0003923943614345671
unif,mice_rf,X^2,-0.0011335255230330299
unif,mice_br,X,0.8354251422478882
unif,mice_br,X^2,-0.3097646609782504
unif,knn,X,-0.0007894022836284487
unif,knn,X^2,-0.0019913443240733297
unif,mice_rf,X,-0.000544852964256437
unif,mice_rf,X^2,-0.001235463589482233
unif,mice_br,X,1.0190167760709499
unif,mice_br,X^2,-0.3801750032433169
unif,knn,X,-0.001357266919844169
unif,knn,X^2,-0.003364904511329758
unif,mice_rf,X,-0.0015064933735521313
unif,mice_rf,X^2,-0.003260797392489967
unif,mice_br,X,0.8964232684810081
unif,mice_br,X^2,-0.33828413745770947
unif,knn,X,-0.0006117555656877105
unif,knn,X^2,-0.0015423923618237412
unif,mice_rf,X,-0.0006960097974617607
unif,mice_rf,X^2,-0.0037716954776202405
unif,mice_br,X,1.0699403377040637
unif,mice_br,X^2,-0.38276847199656705
unif,knn,X,-0.0036073505481071244
unif,knn,X^2,-0.009457773850540474
unif,mice_rf,X,-0.0006880829162425606
unif,mice_rf,X^2,-0.0014643578376247746
unif,mice_br,X,0.9212817947422518
unif,mice_br,X^2,-0.3501293206284267
unif,knn,X,-0.0016778837210951192
unif,knn,X^2,-0.0048502704894404225
