dist,estimator,col,nrmse
norm,mice_rf,X,0.7800513049855733
norm,mice_rf,XZ,0.45356588402176
norm,mice_br,X,0.7209614973692332
norm,mice_br,XZ,0.3968232810391509
norm,knn,X,0.6640917892630218
norm,knn,XZ,0.3742243955934169
norm,mice_rf,X,0.7889190206253325
norm,mice_rf,XZ,0.4994318136228374
norm,mice_br,X,0.6674185235535951
norm,mice_br,XZ,0.35476368440633277
norm,knn,X,0.6379772394672693
norm,knn,XZ,0.37385014603367256
norm,mice_rf,X,0.7233314461953608
norm,mice_rf,XZ,0.41839128416221055
norm,mice_br,X,0.7094482500920132
norm,mice_br,XZ,0.37096669722926207
norm,knn,X,0.6555574789396461
norm,knn,XZ,0.3417587528259813
norm,mice_rf,X,0.7938793899748012
norm,mice_rf,XZ,0.4790063705007799
norm,mice_br,X,0.726018988114321
norm,mice_br,XZ,0.38353158227622336
norm,knn,X,0.6456323990806483
norm,knn,XZ,0.35559145246485024
norm,mice_rf,X,0.7477889274653909
norm,mice_rf,XZ,0.4877411735937663
norm,mice_br,X,0.6740973642091006
norm,mice_br,XZ,0.39571820416183223
norm,knn,X,0.6281460994984386
norm,knn,XZ,0.3860123086838439
norm,mice_rf,X,0.790791430736907
norm,mice_rf,XZ,0.46582026193521464
norm,mice_br,X,0.7134060780813294
norm,mice_br,XZ,0.3807265255916602
norm,knn,X,0.6636119214543905
norm,knn,XZ,0.3642823049515542
norm,mice_rf,X,0.8094957767402498
norm,mice_rf,XZ,0.5054568212525524
norm,mice_br,X,0.678708324639339
norm,mice_br,XZ,0.3912610399669645
norm,knn,X,0.6352096097989289
norm,knn,XZ,0.38653515350699813
norm,mice_rf,X,0.7333328316812894
norm,mice_rf,XZ,0.46085914336177614
norm,mice_br,X,0.6545409926209854
norm,mice_br,XZ,0.36131921484637447
norm,knn,X,0.6217739275873283
norm,knn,XZ,0.3670242638058322
norm,mice_rf,X,0.7889826861622586
norm,mice_rf,XZ,0.5005568902532249
norm,mice_br,X,0.7039573912422149
norm,mice_br,XZ,0.38967828033225144
norm,knn,X,0.660959527193274
