"dist","estimator","col","rel_bias"
"norm","missForest","X",-0.00272705502782611
"norm","missForest","X2",-0.00609265260985747
"norm","rfcont10","X",-0.00260502431303999
"norm","rfcont10","X2",-0.00806027808293819
"norm","micePMM","X",-0.00645831498240024
"norm","micePMM","X2",-0.0161769281878351
"norm","missForest","X",-0.00314554191742544
"norm","missForest","X2",-0.00795055412903756
"norm","rfcont10","X",-0.0029442110363429
"norm","rfcont10","X2",-0.00857545957801831
"norm","micePMM","X",-0.00915901495378546
"norm","micePMM","X2",-0.0265421429047652
"norm","missForest","X",-0.00305480987578266
"norm","missForest","X2",-0.00669253558954586
"norm","rfcont10","X",-0.00280505662071195
"norm","rfcont10","X2",-0.00915654300823221
"norm","micePMM","X",-0.0049821475520313
"norm","micePMM","X2",-0.0145414251277407
"norm","missForest","X",-0.00322262721733224
"norm","missForest","X2",-0.00840311872979105
"norm","rfcont10","X",-0.00325940827095417
"norm","rfcont10","X2",-0.00840350519484256
"norm","micePMM","X",-0.00810297032056062
"norm","micePMM","X2",-0.0220624153437599
"norm","missForest","X",-0.00464536168291707
"norm","missForest","X2",-0.0105419460122418
"norm","rfcont10","X",-0.00372946956485676
"norm","rfcont10","X2",-0.0114856182500356
"norm","micePMM","X",-0.0048834700046807
"norm","micePMM","X2",-0.0164167424641621
"norm","missForest","X",-0.00116945362780418
"norm","missForest","X2",-0.00409562671032648
"norm","rfcont10","X",-0.00186015644648541
"norm","rfcont10","X2",-0.00542277769845978
"norm","micePMM","X",-0.0152170968619114
"norm","micePMM","X2",-0.0389528424714657
"norm","missForest","X",-0.00207293126692998
"norm","missForest","X2",-0.00628676514789084
"norm","rfcont10","X",-0.00364924927391885
"norm","rfcont10","X2",-0.0119069530817199
"norm","micePMM","X",-0.00534773862175553
"norm","micePMM","X2",-0.0164669801923996
"norm","missForest","X",-0.00388709097097617
"norm","missForest","X2",-0.0111842417749752
"norm","rfcont10","X",-0.0037975469285747
"norm","rfcont10","X2",-0.012216658796443
"norm","micePMM","X",-0.0066618503484801
"norm","micePMM","X2",-0.0219065016332043
"norm","missForest","X",-0.00304567759339069
"norm","missForest","X2",-0.00808512877260703
"norm","rfcont10","X",-0.00260328876440008
"norm","rfcont10","X2",-0.00743060524497163
"norm","micePMM","X",-0.0041975950347497
"norm","micePMM","X2",-0.0136211052943951
"norm","missForest","X",-0.00146734490062173
"norm","missForest","X2",-0.00302995251191762
"norm","rfcont10","X",-0.00125140269896595
