dist,estimator,col,rel_bias
norm,mice_rf,X,-0.04775537275258113
norm,mice_rf,X^2,-0.10947389838244137
norm,mice_br,X,-0.05472674931020649
norm,mice_br,X^2,-0.11019651691048804
norm,knn,X,-0.05894414922564828
norm,knn,X^2,-0.12446834860526013
norm,mice_rf,X,-0.0444689028033286
norm,mice_rf,X^2,-0.10310585077480416
norm,mice_br,X,-0.0525114764714375
norm,mice_br,X^2,-0.10557634187758291
norm,knn,X,-0.0712317061159391
norm,knn,X^2,-0.1466578582245901
norm,mice_rf,X,-0.049462976901051725
norm,mice_rf,X^2,-0.11137260880609956
norm,mice_br,X,-0.05616640238512838
norm,mice_br,X^2,-0.1118196502717429
norm,knn,X,-0.03508833317326043
norm,knn,X^2,-0.07124796110242504
norm,mice_rf,X,-0.0438410335423125
norm,mice_rf,X^2,-0.100350092311839
norm,mice_br,X,-0.05049018767433899
norm,mice_br,X^2,-0.09987624729925715
norm,knn,X,-0.053411455656884876
norm,knn,X^2,-0.10927875337239124
norm,mice_rf,X,-0.0514311301550987
norm,mice_rf,X^2,-0.11637836264960766
norm,mice_br,X,-0.05881468930703715
norm,mice_br,X^2,-0.11660545869721928
norm,knn,X,-0.04976888959761183
norm,knn,X^2,-0.09461871827024748
norm,mice_rf,X,-0.04381167312306622
norm,mice_rf,X^2,-0.0999163563419152
norm,mice_br,X,-0.05003035994338967
norm,mice_br,X^2,-0.09955912008226175
norm,knn,X,-0.031045101150728227
norm,knn,X^2,-0.07128442460141138
norm,mice_rf,X,-0.04774828066785475
norm,mice_rf,X^2,-0.10807953640720214
norm,mice_br,X,-0.054229798949578245
norm,mice_br,X^2,-0.10793661836363788
norm,knn,X,-0.031028922553539617
norm,knn,X^2,-0.064674013277088
norm,mice_rf,X,-0.0511969723626331
norm,mice_rf,X^2,-0.11791168435590738
norm,mice_br,X,-0.059061362412538454
norm,mice_br,X^2,-0.11872119031982842
norm,knn,X,-0.04463709719710407
norm,knn,X^2,-0.09196980966971835
norm,mice_rf,X,-0.051716951371110764
norm,mice_rf,X^2,-0.11515913517005083
norm,mice_br,X,-0.05758468181392895
norm,mice_br,X^2,-0.1141048074626253
norm,knn,X,-0.04142639189715347
norm,knn,X^2,-0.08312417881328604
norm,mice_rf,X,-0.0492300766734578
norm,mice_rf,X^2,-0.10959002093195647
norm,mice_br,X,-0.055511832498189806
norm,mice_br,X^2,-0.10906040144386964
norm,knn,X,-0.04237560956187758
norm,knn,X^2,-0.09207304879788636
norm,mice_rf,X,-0.04623298195639658
norm,mice_rf,X^2,-0.10517025273371772
norm,mice_br,X,-0.053147012607741906
norm,mice_br,X^2,-0.10472113626585089
norm,knn,X,-0.04699772054043727
norm,knn,X^2,-0.09968326583135623
norm,mice_rf,X,-0.047134764138011875
norm,mice_rf,X^2,-0.10832060885666939
norm,mice_br,X,-0.05474890751029027
norm,mice_br,X^2,-0.10891135256912343
norm,knn,X,-0.040800840204195166
norm,knn,X^2,-0.08274920935923102
norm,mice_rf,X,-0.04310110560194058
norm,mice_rf,X^2,-0.09783749076141024
norm,mice_br,X,-0.049853521270285306
norm,mice_br,X^2,-0.09700301632270336
norm,knn,X,-0.07193333986853956
norm,knn,X^2,-0.13602652242468471
norm,mice_rf,X,-0.04924881163535855
norm,mice_rf,X^2,-0.11132155641864361
norm,mice_br,X,-0.05638473162937252
norm,mice_br,X^2,-0.1118960094524909
norm,knn,X,-0.039691075090768635
norm,knn,X^2,-0.0725256792188097
norm,mice_rf,X,-0.04255749652796581
norm,mice_rf,X^2,-0.09745517848885976
norm,mice_br,X,-0.04821982080943432
norm,mice_br,X^2,-0.09703892959491778
norm,knn,X,-0.023699145072516248
