dist,estimator,col,rel_bias
norm_mix1,knn,X,0.0099413358106335
norm_mix1,knn,XZ,-0.015437550249853826
norm_mix1,knn,X,-0.012985375216467587
norm_mix1,knn,XZ,-0.0202130308282904
norm_mix1,knn,X,-0.003173810361312923
norm_mix1,knn,XZ,-0.002947665357009188
norm_mix1,knn,X,-0.010754372338518614
norm_mix1,knn,XZ,-0.014994694427608146
norm_mix1,knn,X,0.0019112030639392152
norm_mix1,knn,XZ,-0.0028693221267647173
norm_mix1,knn,X,-0.021117436863329675
norm_mix1,knn,XZ,-0.04037795162310487
norm_mix1,knn,X,-0.007470039173279153
norm_mix1,knn,XZ,-0.005315930204631836
norm_mix1,knn,X,-0.016059239756081256
norm_mix1,knn,XZ,-0.0065590710691275644
norm_mix1,knn,X,0.009723464100787282
norm_mix1,knn,XZ,-0.00729997268207061
norm_mix1,knn,X,-0.01465683284623509
norm_mix1,knn,XZ,-0.024183235239953804
norm_mix1,knn,X,-0.007393806144950332
norm_mix1,knn,XZ,-0.011562176672996971
norm_mix1,knn,X,-0.011425648742652283
norm_mix1,knn,XZ,-0.010894723876977985
norm_mix1,knn,X,0.008727955512892072
norm_mix1,knn,XZ,-0.030115247017495905
norm_mix1,knn,X,-0.0016573243635529256
norm_mix1,knn,XZ,-0.01441398175197428
norm_mix1,knn,X,-0.01951984971089138
norm_mix1,knn,XZ,-0.02371253976525778
norm_mix1,knn,X,-0.008282101187771618
norm_mix1,knn,XZ,-0.011068725091922027
norm_mix1,knn,X,-0.014883101635945861
norm_mix1,knn,XZ,-0.01096538802145719
norm_mix1,knn,X,-0.0004847699423088381
norm_mix1,knn,XZ,-0.011302213892791624
norm_mix1,knn,X,-0.008811664042555067
norm_mix1,knn,XZ,-0.022191022579127195
norm_mix1,knn,X,0.0032560755660790974
norm_mix1,knn,XZ,-0.004893384114966426
norm_mix1,knn,X,0.009582730958999974
norm_mix1,knn,XZ,-0.006809753733834745
norm_mix1,knn,X,-0.0005469907891283432
norm_mix1,knn,XZ,-0.01815909074970745
norm_mix1,knn,X,0.001030859095084935
norm_mix1,knn,XZ,-0.01964857867434644
