dist,estimator,col,nrmse
norm_mix1,mice_rf,X,0.5271341508454065
norm_mix1,mice_rf,X^2,0.4618171435563265
norm_mix1,mice_br,X,0.4606166935654921
norm_mix1,mice_br,X^2,0.4418659784442102
norm_mix1,knn,X,0.4456929155229003
norm_mix1,knn,X^2,0.43719657466198036
norm_mix1,mice_rf,X,0.5118412030323264
norm_mix1,mice_rf,X^2,0.4663740332109215
norm_mix1,mice_br,X,0.4572827787341832
norm_mix1,mice_br,X^2,0.44594900015809646
norm_mix1,knn,X,0.5533914721438024
norm_mix1,knn,X^2,0.536147507073163
norm_mix1,mice_rf,X,0.5071582530179056
norm_mix1,mice_rf,X^2,0.4948121046843629
norm_mix1,mice_br,X,0.44301077123177357
norm_mix1,mice_br,X^2,0.4609031661806022
norm_mix1,knn,X,0.4624186370639988
norm_mix1,knn,X^2,0.5020822110956538
norm_mix1,mice_rf,X,0.5396478153840936
norm_mix1,mice_rf,X^2,0.49756425893918843
norm_mix1,mice_br,X,0.5020199620679875
norm_mix1,mice_br,X^2,0.48795689883587307
norm_mix1,knn,X,0.4900404209418734
norm_mix1,knn,X^2,0.5187363485407388
norm_mix1,mice_rf,X,0.5343759018165806
norm_mix1,mice_rf,X^2,0.524318560224422
norm_mix1,mice_br,X,0.472670304101517
norm_mix1,mice_br,X^2,0.5021766777088801
norm_mix1,knn,X,0.43700496480132456
norm_mix1,knn,X^2,0.46793843116939277
norm_mix1,mice_rf,X,0.4913625341387044
norm_mix1,mice_rf,X^2,0.45289277297465447
norm_mix1,mice_br,X,0.4319166645008212
norm_mix1,mice_br,X^2,0.4259723398892489
norm_mix1,knn,X,0.3983398186819523
norm_mix1,knn,X^2,0.3975741139409112
norm_mix1,mice_rf,X,0.5408520443448824
norm_mix1,mice_rf,X^2,0.5191292787180272
norm_mix1,mice_br,X,0.4932659739519938
norm_mix1,mice_br,X^2,0.4993625572119739
norm_mix1,knn,X,0.5105960207780327
norm_mix1,knn,X^2,0.5083785536901975
norm_mix1,mice_rf,X,0.5222472896405862
norm_mix1,mice_rf,X^2,0.47858195993786556
norm_mix1,mice_br,X,0.46206616764696967
norm_mix1,mice_br,X^2,0.4578517929276349
norm_mix1,knn,X,0.43171167266579347
norm_mix1,knn,X^2,0.4210759140314426
norm_mix1,mice_rf,X,0.5678280832292038
norm_mix1,mice_rf,X^2,0.5133677313769721
norm_mix1,mice_br,X,0.5040496738456038
norm_mix1,mice_br,X^2,0.4979810300085404
norm_mix1,knn,X,0.6761903001194904
norm_mix1,knn,X^2,0.7063759255365427
norm_mix1,mice_rf,X,0.5407395977494205
norm_mix1,mice_rf,X^2,0.5158583089603963
norm_mix1,mice_br,X,0.4839839540888369
norm_mix1,mice_br,X^2,0.49464547952704246
norm_mix1,knn,X,0.49552714280444027
norm_mix1,knn,X^2,0.4624850260749755
norm_mix1,mice_rf,X,0.5497002497116269
norm_mix1,mice_rf,X^2,0.5336248047017563
norm_mix1,mice_br,X,0.49705213162412004
norm_mix1,mice_br,X^2,0.5087807685254772
norm_mix1,knn,X,0.5017334548646314
norm_mix1,knn,X^2,0.5314431283477267
norm_mix1,mice_rf,X,0.5078625588068124
norm_mix1,mice_rf,X^2,0.49095824450441083
norm_mix1,mice_br,X,0.4582575423842076
norm_mix1,mice_br,X^2,0.4564343819697221
norm_mix1,knn,X,0.40941890113824053
norm_mix1,knn,X^2,0.41426483429856414
norm_mix1,mice_rf,X,0.527131565163195
norm_mix1,mice_rf,X^2,0.5193727705400188
norm_mix1,mice_br,X,0.4627734729717158
norm_mix1,mice_br,X^2,0.4821334866222096
norm_mix1,knn,X,0.47230260674885577
norm_mix1,knn,X^2,0.4703739986284543
norm_mix1,mice_rf,X,0.53516403651844
norm_mix1,mice_rf,X^2,0.5362890453795822
norm_mix1,mice_br,X,0.484900432201542
norm_mix1,mice_br,X^2,0.4987387830236853
norm_mix1,knn,X,0.4578549283640487
norm_mix1,knn,X^2,0.4874344187855325
norm_mix1,mice_rf,X,0.5538021887362597
norm_mix1,mice_rf,X^2,0.5121827933069985
norm_mix1,mice_br,X,0.4699964275881269
norm_mix1,mice_br,X^2,0.4804912121720116
norm_mix1,knn,X,0.4735874426900941
norm_mix1,knn,X^2,0.509870933352941
norm_mix1,mice_rf,X,0.551435004192121
norm_mix1,mice_rf,X^2,0.5138746559296509
norm_mix1,mice_br,X,0.49673857587521475
norm_mix1,mice_br,X^2,0.49952795559275653
norm_mix1,knn,X,0.4887907667536053
norm_mix1,knn,X^2,0.4774355021152513
norm_mix1,mice_rf,X,0.4981467231561534
norm_mix1,mice_rf,X^2,0.47991510052033537
norm_mix1,mice_br,X,0.4782986521366214
norm_mix1,mice_br,X^2,0.4808808472235601
norm_mix1,knn,X,0.5102671054886434
norm_mix1,knn,X^2,0.49335063561122366
norm_mix1,mice_rf,X,0.5675516489959834
norm_mix1,mice_rf,X^2,0.5056101856267372
norm_mix1,mice_br,X,0.4980758084020111
norm_mix1,mice_br,X^2,0.489540563891629
norm_mix1,knn,X,0.4800418616824549
norm_mix1,knn,X^2,0.46386787173680305
norm_mix1,mice_rf,X,0.5218116099902739
norm_mix1,mice_rf,X^2,0.4709960979157527
norm_mix1,mice_br,X,0.4299224870599169
norm_mix1,mice_br,X^2,0.422986269040189
norm_mix1,knn,X,0.4023568888015932
norm_mix1,knn,X^2,0.4032561187900151
norm_mix1,mice_rf,X,0.5219612104496147
