dist,estimator,col,nrmse
norm,ice_rf,X,0.07911688148606937
norm,ice_rf,X^2,0.11985043972377171
norm,mice_rf,X,0.07980464749105311
norm,mice_rf,X^2,0.11876278812502546
norm,knn,X,0.08026097344057402
norm,knn,X^2,0.12195661090001325
norm,ice_rf,X,0.06500317894434299
norm,ice_rf,X^2,0.09461676172395374
norm,mice_rf,X,0.059374830523550665
norm,mice_rf,X^2,0.09404134685035816
norm,knn,X,0.0697096049399857
norm,knn,X^2,0.1145600185662993
norm,ice_rf,X,0.11698660127415669
norm,ice_rf,X^2,0.1875127465826127
norm,mice_rf,X,0.1154612987658431
norm,mice_rf,X^2,0.18060044910513415
norm,knn,X,0.11868375584793533
norm,knn,X^2,0.1859552264622627
norm,ice_rf,X,0.05872367794774081
norm,ice_rf,X^2,0.10002358134877389
norm,mice_rf,X,0.05542410986144985
norm,mice_rf,X^2,0.08993967859404933
norm,knn,X,0.06690282066215268
norm,knn,X^2,0.10708389588316278
norm,ice_rf,X,0.02869138024891391
norm,ice_rf,X^2,0.03371048838979141
norm,mice_rf,X,0.02052188312635213
norm,mice_rf,X^2,0.03461734621192506
norm,knn,X,0.02860195947763795
norm,knn,X^2,0.044230172915070434
norm,ice_rf,X,0.07904130091058911
norm,ice_rf,X^2,0.12149362622999807
norm,mice_rf,X,0.07825537829885694
norm,mice_rf,X^2,0.12061831403051518
norm,knn,X,0.08506235653564187
norm,knn,X^2,0.130529747080525
norm,ice_rf,X,0.09086714141075308
norm,ice_rf,X^2,0.13857874361353661
norm,mice_rf,X,0.06059946569397306
norm,mice_rf,X^2,0.09757939069858286
norm,knn,X,0.06834221512819179
norm,knn,X^2,0.10178293118683675
norm,ice_rf,X,0.07113760611467099
norm,ice_rf,X^2,0.10434471744420712
norm,mice_rf,X,0.06286193300307824
norm,mice_rf,X^2,0.10089080816469802
norm,knn,X,0.06524481632993082
norm,knn,X^2,0.10589260834892392
norm,ice_rf,X,0.03306196177379667
norm,ice_rf,X^2,0.04960383459354452
norm,mice_rf,X,0.03484788545263582
norm,mice_rf,X^2,0.03986479976265578
norm,knn,X,0.05098947755923393
norm,knn,X^2,0.08148986001977589
norm,ice_rf,X,0.044548140140127826
norm,ice_rf,X^2,0.07736975184795086
norm,mice_rf,X,0.04524633431413725
norm,mice_rf,X^2,0.07472589499751121
norm,knn,X,0.05398910230219996
norm,knn,X^2,0.08757043132340762
norm,ice_rf,X,0.057696926027530446
norm,ice_rf,X^2,0.0828911003732879
norm,mice_rf,X,0.06751287046433228
norm,mice_rf,X^2,0.08668018018666983
norm,knn,X,0.07041494276019843
norm,knn,X^2,0.10752671089322387
norm,ice_rf,X,0.05063883911487039
norm,ice_rf,X^2,0.07397925702636966
norm,mice_rf,X,0.048275072815920646
norm,mice_rf,X^2,0.06022350106417556
norm,knn,X,0.047635753959696554
norm,knn,X^2,0.07632386211095464
norm,ice_rf,X,0.06327300271108374
norm,ice_rf,X^2,0.08131452719266007
norm,mice_rf,X,0.038681528631225134
norm,mice_rf,X^2,0.05354650719315529
norm,knn,X,0.05514871688341429
norm,knn,X^2,0.08570984676989504
norm,ice_rf,X,0.03771377732746718
norm,ice_rf,X^2,0.04081500783792857
norm,mice_rf,X,0.03149274961335773
norm,mice_rf,X^2,0.05136427523773248
norm,knn,X,0.05241927093201869
norm,knn,X^2,0.07967300304218242
norm,ice_rf,X,0.05460438712836217
norm,ice_rf,X^2,0.07749800394494148
norm,mice_rf,X,0.05537857953110318
norm,mice_rf,X^2,0.0838080937252388
norm,knn,X,0.048022638816820194
norm,knn,X^2,0.07342182224964007
norm,ice_rf,X,0.05764918781112887
norm,ice_rf,X^2,0.08552788769948566
norm,mice_rf,X,0.0560932002676947
norm,mice_rf,X^2,0.09197915951891365
norm,knn,X,0.06215662974340147
norm,knn,X^2,0.09823433781020534
norm,ice_rf,X,0.02626791522027096
norm,ice_rf,X^2,0.044197244266051636
norm,mice_rf,X,0.02761616462172401
norm,mice_rf,X^2,0.04586335590880775
norm,knn,X,0.049461534806097725
norm,knn,X^2,0.07581902187597073
norm,ice_rf,X,0.025527219075375408
norm,ice_rf,X^2,0.04652457003744318
norm,mice_rf,X,0.024450349749748836
norm,mice_rf,X^2,0.03791571445194838
norm,knn,X,0.027753967835942
norm,knn,X^2,0.04159422872531151
norm,ice_rf,X,0.06888523671231786
norm,ice_rf,X^2,0.13687656033554912
norm,mice_rf,X,0.05736558289895946
norm,mice_rf,X^2,0.06946348374332409
norm,knn,X,0.07950997684461794
norm,knn,X^2,0.11708442286002978
norm,ice_rf,X,0.07320481567886344
norm,ice_rf,X^2,0.09602637111116116
norm,mice_rf,X,0.07518032753732329
norm,mice_rf,X^2,0.10414075823822072
norm,knn,X,0.08492165529838636
norm,knn,X^2,0.12655080402349617
norm,ice_rf,X,0.0688765993580389
norm,ice_rf,X^2,0.10561853023102794
norm,mice_rf,X,0.06525125574747798
norm,mice_rf,X^2,0.083398623342222
norm,knn,X,0.0745257626859097
norm,knn,X^2,0.11754796119940035
norm,ice_rf,X,0.09316957352614735
norm,ice_rf,X^2,0.1500788330547054
norm,mice_rf,X,0.09294681106724544
norm,mice_rf,X^2,0.15196953725458937
norm,knn,X,0.09969081748806802
norm,knn,X^2,0.16553491352050984
norm,ice_rf,X,0.03854212418194124
norm,ice_rf,X^2,0.055757522830939134
norm,mice_rf,X,0.030894608731680945
norm,mice_rf,X^2,0.0339175306936845
norm,knn,X,0.0470520315121628
norm,knn,X^2,0.054777315228424925
norm,ice_rf,X,0.07320880125774605
norm,ice_rf,X^2,0.10318868641227098
norm,mice_rf,X,0.047600199226832125
norm,mice_rf,X^2,0.07313417814872854
norm,knn,X,0.056896396236016604
norm,knn,X^2,0.08416991166522647
norm,ice_rf,X,0.04652666291006221
norm,ice_rf,X^2,0.06984068357038697
norm,mice_rf,X,0.05336220312684532
norm,mice_rf,X^2,0.08488026034133857
norm,knn,X,0.05421708592400422
norm,knn,X^2,0.08255154373813335
norm,ice_rf,X,0.056435496821800255
norm,ice_rf,X^2,0.08462026114310242
norm,mice_rf,X,0.05267340899489217
norm,mice_rf,X^2,0.08308756110613358
norm,knn,X,0.07278416137153178
norm,knn,X^2,0.11364728466804606
norm,ice_rf,X,0.04501149145106
norm,ice_rf,X^2,0.0697019185055803
norm,mice_rf,X,0.04320175050907499
norm,mice_rf,X^2,0.06977660374530399
norm,knn,X,0.07576418409684817
norm,knn,X^2,0.1190961384420062
norm,ice_rf,X,0.04989303968936553
norm,ice_rf,X^2,0.06973537248021179
norm,mice_rf,X,0.04651533342380773
norm,mice_rf,X^2,0.07050981377733236
norm,knn,X,0.04882547869684003
norm,knn,X^2,0.07612930528550664
norm,ice_rf,X,0.09375281410099134
norm,ice_rf,X^2,0.12274530190709029
norm,mice_rf,X,0.07820262251714337
norm,mice_rf,X^2,0.11922643528645566
norm,knn,X,0.076779552569882
norm,knn,X^2,0.12331739317420726
norm,ice_rf,X,0.06199909225959089
norm,ice_rf,X^2,0.09626566065171487
norm,mice_rf,X,0.05679422763717655
norm,mice_rf,X^2,0.09423786205532363
norm,knn,X,0.07637520549329684
norm,knn,X^2,0.12383850869355215
norm,ice_rf,X,0.031653010493449645
norm,ice_rf,X^2,0.05082203801885089
norm,mice_rf,X,0.023874878308262286
norm,mice_rf,X^2,0.03489947169908319
norm,knn,X,0.030726699948740062
norm,knn,X^2,0.04445576771674719
norm,ice_rf,X,0.07864433558837186
norm,ice_rf,X^2,0.1300261884077589
norm,mice_rf,X,0.07979955084424364
norm,mice_rf,X^2,0.12423305519697658
norm,knn,X,0.10651229408427931
norm,knn,X^2,0.16082262138451794
norm,ice_rf,X,0.07301280994470997
norm,ice_rf,X^2,0.10199968206173081
norm,mice_rf,X,0.05913432774540417
norm,mice_rf,X^2,0.08916780740979258
norm,knn,X,0.0874784329742973
norm,knn,X^2,0.13246099552541124
norm,ice_rf,X,0.053162741208209456
norm,ice_rf,X^2,0.06875450150186742
norm,mice_rf,X,0.04879754148471541
norm,mice_rf,X^2,0.06842373435659917
norm,knn,X,0.059149870760176214
norm,knn,X^2,0.09243240696240754
norm,ice_rf,X,0.05592204382051234
norm,ice_rf,X^2,0.09682009256238037
norm,mice_rf,X,0.06106790489261713
norm,mice_rf,X^2,0.09729706906466234
norm,knn,X,0.07035024779294438
norm,knn,X^2,0.11108275242756913
norm,ice_rf,X,0.13415038869457366
norm,ice_rf,X^2,0.20322495307738123
norm,mice_rf,X,0.12446806808859855
norm,mice_rf,X^2,0.19751066848173396
norm,knn,X,0.14041383787745157
norm,knn,X^2,0.2183833596734679
norm,ice_rf,X,0.06616047918599059
norm,ice_rf,X^2,0.15184987673609737
norm,mice_rf,X,0.05902934511738846
norm,mice_rf,X^2,0.10698711609191884
norm,knn,X,0.07517311519651523
norm,knn,X^2,0.11463580861735216
norm,ice_rf,X,0.0489521947767014
norm,ice_rf,X^2,0.05198753370788947
norm,mice_rf,X,0.028112539561586727
norm,mice_rf,X^2,0.034859074643822534
norm,knn,X,0.04581895535133537
norm,knn,X^2,0.06854909415001473
norm,ice_rf,X,0.04783823456434926
norm,ice_rf,X^2,0.07414690853091611
norm,mice_rf,X,0.044132165204413425
norm,mice_rf,X^2,0.06892315337748206
norm,knn,X,0.0631228084531163
norm,knn,X^2,0.09788600188972145
norm,ice_rf,X,0.07497922556852599
norm,ice_rf,X^2,0.10507087699085528
norm,mice_rf,X,0.0673871025669274
norm,mice_rf,X^2,0.1073019838831768
norm,knn,X,0.08058942565050164
norm,knn,X^2,0.12392926915513497
norm,ice_rf,X,0.06524781689938108
norm,ice_rf,X^2,0.10571178394228432
norm,mice_rf,X,0.05760671712125699
norm,mice_rf,X^2,0.11179848134021075
norm,knn,X,0.0772228894888303
norm,knn,X^2,0.11942525079049673
norm,ice_rf,X,0.06401695139665765
norm,ice_rf,X^2,0.11723624487119569
norm,mice_rf,X,0.06780191399328257
norm,mice_rf,X^2,0.11922557806759472
norm,knn,X,0.08350500338523782
norm,knn,X^2,0.13173142862694484
norm,ice_rf,X,0.0840194496920802
norm,ice_rf,X^2,0.14050521966318757
norm,mice_rf,X,0.0850382384438869
norm,mice_rf,X^2,0.13412664973107463
norm,knn,X,0.09851311834726176
norm,knn,X^2,0.1530582220785888
norm,ice_rf,X,0.04844506923192764
norm,ice_rf,X^2,0.09229065139136387
norm,mice_rf,X,0.05609705112153429
