dist,estimator,col,rel_bias
norm,ice_rf,X,-0.0037545293343180797
norm,ice_rf,XZ,-0.004611796298942261
norm,mice_rf,X,-0.0036122707087732353
norm,mice_rf,XZ,-0.004934122176548095
norm,knn,X,-0.0029062790422851315
norm,knn,XZ,-0.003909356137969056
norm,mice_br,X,0.4655733525049759
norm,mice_br,XZ,-0.1178376956343582
norm,ice_rf,X,-0.005708858088322333
norm,ice_rf,XZ,-0.009439810068466614
norm,mice_rf,X,-0.005462379442496279
norm,mice_rf,XZ,-0.007694205609866334
norm,knn,X,-0.002650443960979909
norm,knn,XZ,-0.010197500802155868
norm,mice_br,X,0.5597442354518605
norm,mice_br,XZ,-0.14252352872098473
norm,ice_rf,X,-0.004971999663419657
norm,ice_rf,XZ,-0.005967775760410299
norm,mice_rf,X,-0.006445342481127936
norm,mice_rf,XZ,-0.004051565506880128
norm,knn,X,-0.003932195420524032
norm,knn,XZ,-0.006072958199685674
norm,mice_br,X,0.5601338947322736
norm,mice_br,XZ,-0.13844212281809387
norm,ice_rf,X,-0.005832064058717501
norm,ice_rf,XZ,-0.00037372551850123337
norm,mice_rf,X,-0.005665284449263397
norm,mice_rf,XZ,-0.00143744565636017
norm,knn,X,-0.0011995856216676648
norm,knn,XZ,-0.005623809547521064
norm,mice_br,X,0.6267166327816092
norm,mice_br,XZ,-0.16248485296952297
norm,ice_rf,X,0.0009453622352590951
norm,ice_rf,XZ,-0.011724259283303451
norm,mice_rf,X,-0.002472143806340976
norm,mice_rf,XZ,-0.011451564037838757
norm,knn,X,0.007819681362780884
norm,knn,XZ,-0.012103641556993283
norm,mice_br,X,0.5429392264633326
norm,mice_br,XZ,-0.1334706854031208
norm,ice_rf,X,-0.004555339395287739
norm,ice_rf,XZ,-0.0011756344648329309
norm,mice_rf,X,-0.0030247230541730064
norm,mice_rf,XZ,-0.0016166793762998344
norm,knn,X,0.0005890250100997196
norm,knn,XZ,-0.0014808566933260936
norm,mice_br,X,0.38991555826653235
norm,mice_br,XZ,-0.09764071315800427
norm,ice_rf,X,-5.559139981381467e-05
norm,ice_rf,XZ,-0.0021181744069950215
norm,mice_rf,X,-0.003485084498473179
norm,mice_rf,XZ,-0.0020762003085673664
norm,knn,X,0.003986608614356735
norm,knn,XZ,-0.0031864913300220232
norm,mice_br,X,0.5963518656781426
norm,mice_br,XZ,-0.1498965677323556
norm,ice_rf,X,0.0009791258897375865
norm,ice_rf,XZ,-0.0011046779286186803
norm,mice_rf,X,0.003315954639545371
norm,mice_rf,XZ,-0.002835076317722618
norm,knn,X,0.006638506941375466
norm,knn,XZ,-0.005365859515302551
norm,mice_br,X,0.5696079771747247
norm,mice_br,XZ,-0.13289464682998242
norm,ice_rf,X,-0.007659104451833376
norm,ice_rf,XZ,-0.006136547246852753
norm,mice_rf,X,-0.007394651545549968
norm,mice_rf,XZ,-0.006955703634904942
norm,knn,X,-0.006048759333512788
norm,knn,XZ,-0.010894195739257762
norm,mice_br,X,0.5189990258700365
norm,mice_br,XZ,-0.13108634131015995
norm,ice_rf,X,0.0007566990567917653
norm,ice_rf,XZ,-0.0004502559466603717
norm,mice_rf,X,-0.0016648511609121952
norm,mice_rf,XZ,-0.0014757023283655801
norm,knn,X,-0.00031221076519960533
norm,knn,XZ,-0.0035219043648381243
norm,mice_br,X,0.48706080220174397
norm,mice_br,XZ,-0.12049349782221874
norm,ice_rf,X,-0.006603600362582673
norm,ice_rf,XZ,-0.008714743705337202
norm,mice_rf,X,-0.0071867540238454986
norm,mice_rf,XZ,-0.009685188102277031
norm,knn,X,-0.00652943826541641
norm,knn,XZ,-0.011303276433732412
norm,mice_br,X,0.5691995385786792
norm,mice_br,XZ,-0.14391567969266006
norm,ice_rf,X,-0.003362854871483356
norm,ice_rf,XZ,-0.0033071572318623677
norm,mice_rf,X,-0.0037486717288506277
norm,mice_rf,XZ,-0.0031718823630344506
norm,knn,X,0.0015688082816980309
norm,knn,XZ,-0.005308287855382843
norm,mice_br,X,0.4833359406068447
norm,mice_br,XZ,-0.12570470091174468
norm,ice_rf,X,-0.005270251573980977
norm,ice_rf,XZ,-0.0074619572704562875
norm,mice_rf,X,-0.00343948186482812
norm,mice_rf,XZ,-0.0096668104373423
norm,knn,X,0.0009460003323276123
norm,knn,XZ,-0.013722819143523135
norm,mice_br,X,0.5940464782126336
norm,mice_br,XZ,-0.14787405191732628
norm,ice_rf,X,-0.0022369274735128952
norm,ice_rf,XZ,-0.0003787379300547178
norm,mice_rf,X,-0.004926962343190788
norm,mice_rf,XZ,-0.000803628508178944
norm,knn,X,-0.0005676022263179092
norm,knn,XZ,-0.005804671092015545
norm,mice_br,X,0.536117658156164
norm,mice_br,XZ,-0.1327628499359358
norm,ice_rf,X,-0.005933982858416731
norm,ice_rf,XZ,-0.0002416806019398532
norm,mice_rf,X,-0.0021607652788050435
norm,mice_rf,XZ,-0.0010124088790270935
norm,knn,X,-0.0030703102312941155
norm,knn,XZ,-0.001347998820297014
norm,mice_br,X,0.4272377750204983
norm,mice_br,XZ,-0.10700056543118497
norm,ice_rf,X,-0.0034161661414193745
norm,ice_rf,XZ,-0.0062178379800230665
norm,mice_rf,X,-0.005207554229599953
norm,mice_rf,XZ,-0.00644261016221126
norm,knn,X,0.001582207130413904
norm,knn,XZ,-0.008585613446544182
norm,mice_br,X,0.46088077837110597
norm,mice_br,XZ,-0.12132577435717518
norm,ice_rf,X,-0.0033944544816987277
norm,ice_rf,XZ,-0.003214722188126573
norm,mice_rf,X,-0.0038014143150573165
norm,mice_rf,XZ,-0.003732427660366633
norm,knn,X,0.0050036274768754385
norm,knn,XZ,-0.005026151074847163
norm,mice_br,X,0.3977141710783829
norm,mice_br,XZ,-0.10478871801809975
norm,ice_rf,X,-0.0012743387312390553
norm,ice_rf,XZ,-0.007220699022715271
norm,mice_rf,X,-0.0025090186168980066
norm,mice_rf,XZ,-0.006697809799721122
norm,knn,X,-0.0011022090670594897
norm,knn,XZ,-0.0067686607145241995
norm,mice_br,X,0.5341703527077111
norm,mice_br,XZ,-0.13551691803275334
norm,ice_rf,X,-0.007100752985028547
norm,ice_rf,XZ,-0.0022353017172326295
norm,mice_rf,X,-0.010364641286261689
norm,mice_rf,XZ,-0.0026588489064263143
norm,knn,X,-0.007567206832308271
norm,knn,XZ,-0.010207088620125648
norm,mice_br,X,0.5467245677659298
norm,mice_br,XZ,-0.13942717870517107
norm,ice_rf,X,-0.003126488708505404
norm,ice_rf,XZ,-0.006761333352561794
norm,mice_rf,X,-0.0022945493701368447
norm,mice_rf,XZ,-0.006527124283385866
norm,knn,X,0.0006717784766470114
norm,knn,XZ,-0.008271044262638694
norm,mice_br,X,0.5255932904074425
norm,mice_br,XZ,-0.13121938284523682
norm,ice_rf,X,-0.003559987061192982
norm,ice_rf,XZ,-0.004441013629148838
norm,mice_rf,X,-0.006567614538134037
norm,mice_rf,XZ,-0.004941972614366463
norm,knn,X,-0.0013928639508794527
norm,knn,XZ,-0.008350727770532917
norm,mice_br,X,0.4401310740048512
norm,mice_br,XZ,-0.10833971835364531
norm,ice_rf,X,0.002524577186828081
norm,ice_rf,XZ,-0.004183302475928019
norm,mice_rf,X,0.002033949582234129
norm,mice_rf,XZ,-0.004225602285309993
norm,knn,X,0.0072452760904695435
norm,knn,XZ,-0.005235380176259685
norm,mice_br,X,0.47562876470771775
norm,mice_br,XZ,-0.11815213286671211
norm,ice_rf,X,6.741626120732036e-05
norm,ice_rf,XZ,-0.00489372875739702
norm,mice_rf,X,-0.0007319726291790118
norm,mice_rf,XZ,-0.004162664871648847
norm,knn,X,0.001302172772590371
norm,knn,XZ,-0.006390862530092245
norm,mice_br,X,0.45725333102842636
norm,mice_br,XZ,-0.11468344154947241
norm,ice_rf,X,-0.007511523361839578
norm,ice_rf,XZ,-0.0009656515704652424
norm,mice_rf,X,-0.005965848280095831
norm,mice_rf,XZ,-0.000669700942628082
norm,knn,X,0.003454204507781
norm,knn,XZ,-0.00387072768405039
norm,mice_br,X,0.5842563578387212
norm,mice_br,XZ,-0.14517666206972435
norm,ice_rf,X,-0.0009573161677691733
norm,ice_rf,XZ,-0.003449976790327103
norm,mice_rf,X,-0.00301533365124651
norm,mice_rf,XZ,-0.0036173995677473147
norm,knn,X,0.0023512214648799823
norm,knn,XZ,-0.004383658062375728
norm,mice_br,X,0.4350428235904158
norm,mice_br,XZ,-0.11119154598222558
norm,ice_rf,X,-0.002452245947293319
norm,ice_rf,XZ,-0.0003609821221957077
norm,mice_rf,X,-0.003449277794249417
norm,mice_rf,XZ,-0.00047362558386354614
norm,knn,X,-0.004735588514014122
norm,knn,XZ,-0.002349791192172712
norm,mice_br,X,0.46529967335262135
norm,mice_br,XZ,-0.11594709920883439
norm,ice_rf,X,-0.006613528263373025
norm,ice_rf,XZ,-0.005008490773108276
norm,mice_rf,X,-0.0016200988837448138
