dist,estimator,col,rel_bias
norm,ice_rf,X,-0.012366137037401304
norm,ice_rf,XZ,-0.005845170709200653
norm,mice_rf,X,-0.012078785995007113
norm,mice_rf,XZ,-0.008274039906528197
norm,knn,X,-0.011746066719286574
norm,knn,XZ,-0.01268260378905206
norm,ice_rf,X,-0.0032416711858119784
norm,ice_rf,XZ,-0.0017230012853146626
norm,mice_rf,X,-0.00526298407996717
norm,mice_rf,XZ,-0.002261264685258668
norm,knn,X,-0.004191960899705527
norm,knn,XZ,-0.003077939213755765
norm,ice_rf,X,-0.0009014109799062586
norm,ice_rf,XZ,0.00017270931420920732
norm,mice_rf,X,-0.0020331129559316707
norm,mice_rf,XZ,-0.0004912705255286642
norm,knn,X,0.0023901579636740333
norm,knn,XZ,-0.0023537271725666553
norm,ice_rf,X,-0.0038248628964125952
norm,ice_rf,XZ,-0.0001312713880813332
norm,mice_rf,X,-0.00370542215139269
norm,mice_rf,XZ,-0.0005274858939156024
norm,knn,X,-0.0031892242791989878
norm,knn,XZ,-0.002092977788347272
norm,ice_rf,X,-0.004753709840259135
norm,ice_rf,XZ,-0.007026217918008615
norm,mice_rf,X,-0.006152433069096408
norm,mice_rf,XZ,-0.004519312482397897
norm,knn,X,-0.00402393488113717
norm,knn,XZ,-0.00701827430928792
norm,ice_rf,X,-0.0035137804624379987
norm,ice_rf,XZ,-0.0032673305062402846
norm,mice_rf,X,-0.004391154514319817
norm,mice_rf,XZ,-0.0036943192757791232
norm,knn,X,0.002930790102070091
norm,knn,XZ,-0.0033153335707580833
norm,ice_rf,X,-0.002594221243314876
norm,ice_rf,XZ,-0.00032948013397837705
norm,mice_rf,X,-0.0058009480095928545
norm,mice_rf,XZ,-0.00047260882106792135
norm,knn,X,-0.005025361499546466
norm,knn,XZ,-0.0041222699252603245
norm,ice_rf,X,-0.002518328562171268
norm,ice_rf,XZ,-0.0043904332837682025
norm,mice_rf,X,-0.005418398198806074
norm,mice_rf,XZ,-0.0046288691000091475
norm,knn,X,-0.006715425378704842
norm,knn,XZ,-0.00701299829126234
norm,ice_rf,X,-0.003512423350189642
norm,ice_rf,XZ,-0.005576551800280272
norm,mice_rf,X,-0.004570517028770649
norm,mice_rf,XZ,-0.005833631479028378
norm,knn,X,-0.0004446432785037979
norm,knn,XZ,-0.00791394168865045
norm,ice_rf,X,-0.006356466058366594
norm,ice_rf,XZ,-0.017291035845251157
norm,mice_rf,X,-0.007911944426774231
norm,mice_rf,XZ,-0.018019316251724704
norm,knn,X,-0.003819925385675993
norm,knn,XZ,-0.020358780260238296
norm,ice_rf,X,-0.005503753582266624
norm,ice_rf,XZ,-0.0013395716599279295
norm,mice_rf,X,-0.003957993866409604
norm,mice_rf,XZ,-0.0021450874833217615
norm,knn,X,-0.001073289549436418
norm,knn,XZ,-0.0021361705505487105
norm,ice_rf,X,-0.0007948063639972025
norm,ice_rf,XZ,-0.002187057939746273
norm,mice_rf,X,-0.0019365850499060144
norm,mice_rf,XZ,-0.0006261812173706804
norm,knn,X,0.0007927824891889035
norm,knn,XZ,-0.0005774988065402331
norm,ice_rf,X,-0.0019759170669971793
norm,ice_rf,XZ,-0.00044205512913608747
