dist,estimator,col,rel_bias
norm,ice_rf,X,-0.0038483674068857665
norm,ice_rf,XZ,-0.00591990401805409
norm,mice_rf,X,-0.002288515610792463
norm,mice_rf,XZ,-0.006776967083190311
norm,knn,X,0.0036850867318256597
norm,knn,XZ,0.008248555646426237
norm,ice_rf,X,-0.00978600027753107
norm,ice_rf,XZ,-0.020484194659417754
norm,mice_rf,X,-0.010421593268074125
norm,mice_rf,XZ,-0.02110697551436458
norm,knn,X,-0.004197177864710078
norm,knn,XZ,-0.005350598006499063
norm,ice_rf,X,-0.010911139384809476
norm,ice_rf,XZ,-0.02318052173850027
norm,mice_rf,X,-0.010988795095573822
norm,mice_rf,XZ,-0.02577744708842611
norm,knn,X,-0.009662376840215425
norm,knn,XZ,-0.012630030078131682
norm,ice_rf,X,-0.003276544348907673
norm,ice_rf,XZ,-0.01374522506460496
norm,mice_rf,X,-0.002148757497883347
norm,mice_rf,XZ,-0.012342325457031067
norm,knn,X,0.007412940531948076
norm,knn,XZ,0.01185613252304396
norm,ice_rf,X,-0.0011356671824993558
norm,ice_rf,XZ,-0.01419584392450135
norm,mice_rf,X,-0.0012760004352221355
norm,mice_rf,XZ,-0.013872352654380804
norm,knn,X,-0.0006136738933238961
norm,knn,XZ,-0.0022760713008528333
norm,ice_rf,X,-0.004371680546477297
norm,ice_rf,XZ,-0.014697209978338122
norm,mice_rf,X,-0.0028072172565047904
norm,mice_rf,XZ,-0.011432154264141237
norm,knn,X,-0.002490101878645512
norm,knn,XZ,-0.0005189887192519338
norm,ice_rf,X,-0.013198972470773063
norm,ice_rf,XZ,-0.02790129851743839
norm,mice_rf,X,-0.012132465916001256
norm,mice_rf,XZ,-0.027744313625603034
norm,knn,X,0.0029095012043496293
norm,knn,XZ,0.0038188292595320306
norm,ice_rf,X,-0.005948445889735754
norm,ice_rf,XZ,-0.020204100420286197
norm,mice_rf,X,-0.004209665321639688
norm,mice_rf,XZ,-0.01846922851922672
norm,knn,X,0.006599317503458879
norm,knn,XZ,0.0063724755834422275
norm,ice_rf,X,-0.007598834736627702
norm,ice_rf,XZ,-0.018639891713323253
norm,mice_rf,X,-0.007336310722502293
norm,mice_rf,XZ,-0.018009977002267585
norm,knn,X,0.0023417933933251867
norm,knn,XZ,0.0022587008808248044
norm,ice_rf,X,-0.006409445250554202
norm,ice_rf,XZ,-0.015106176971259044
norm,mice_rf,X,-0.005571726636214525
norm,mice_rf,XZ,-0.012918551140521983
norm,knn,X,0.001199209900633269
norm,knn,XZ,0.004257955023050153
norm,ice_rf,X,-0.006398882192302668
norm,ice_rf,XZ,-0.017567797134477647
norm,mice_rf,X,-0.0057599271358155235
norm,mice_rf,XZ,-0.016577101884486356
norm,knn,X,-0.0021181893607213897
norm,knn,XZ,-0.001169373000743823
norm,ice_rf,X,-0.014956500526182581
norm,ice_rf,XZ,-0.03137838997896425
norm,mice_rf,X,-0.012113232772887783
norm,mice_rf,XZ,-0.02967579226074124
norm,knn,X,0.001230643598968184
norm,knn,XZ,-0.001062642312126938
norm,ice_rf,X,-0.005945644765839253
norm,ice_rf,XZ,-0.0086437493223267
norm,mice_rf,X,-0.001543755812541514
norm,mice_rf,XZ,-0.007524524981206704
norm,knn,X,0.006244939044918185
norm,knn,XZ,0.00810650802715851
norm,ice_rf,X,-0.005720808046110748
norm,ice_rf,XZ,-0.018763982364769394
norm,mice_rf,X,-0.0050545540337043615
norm,mice_rf,XZ,-0.018106802868740446
norm,knn,X,-5.4797766006697834e-05
norm,knn,XZ,-0.000405587809574115
norm,ice_rf,X,-0.008896408066020878
norm,ice_rf,XZ,-0.021387338988289595
norm,mice_rf,X,-0.009064513494046023
norm,mice_rf,XZ,-0.02023511401043865
norm,knn,X,0.00242755228313718
norm,knn,XZ,-0.00012974206302163172
norm,ice_rf,X,-0.019169240892865758
norm,ice_rf,XZ,-0.029484071864793737
norm,mice_rf,X,-0.015358715050939553
norm,mice_rf,XZ,-0.025491419394177872
norm,knn,X,-0.00965565385031708
norm,knn,XZ,-0.005368817246756419
norm,ice_rf,X,-0.007144326738829698
norm,ice_rf,XZ,-0.023539510759513438
norm,mice_rf,X,-0.006146300946852534
norm,mice_rf,XZ,-0.02074079269744178
norm,knn,X,0.002794027033060642
norm,knn,XZ,0.0024339791200571614
norm,ice_rf,X,-0.007964108403950232
norm,ice_rf,XZ,-0.01341400908136936
norm,mice_rf,X,-0.006776743711524147
norm,mice_rf,XZ,-0.014802693207467854
norm,knn,X,0.008362132490796537
norm,knn,XZ,0.014453661275035223
norm,ice_rf,X,-0.009973073501917118
norm,ice_rf,XZ,-0.027843916977725924
norm,mice_rf,X,-0.010459117709326282
norm,mice_rf,XZ,-0.02778467013382735
norm,knn,X,0.0015312297570853062
norm,knn,XZ,-0.000550201276828366
norm,ice_rf,X,0.0005728374702616001
norm,ice_rf,XZ,-0.010240128588504871
norm,mice_rf,X,0.0019967172514090414
norm,mice_rf,XZ,-0.006822100177524715
norm,knn,X,0.00973121304046165
norm,knn,XZ,0.01039553464657228
norm,ice_rf,X,-0.008017974143114781
norm,ice_rf,XZ,-0.020932044588463428
norm,mice_rf,X,-0.008549499802791516
norm,mice_rf,XZ,-0.02285358424663053
norm,knn,X,-0.00208220264058645
norm,knn,XZ,-0.004624637346776983
norm,ice_rf,X,-0.012886872469003996
norm,ice_rf,XZ,-0.02815244667128236
norm,mice_rf,X,-0.01050501453397179
norm,mice_rf,XZ,-0.027567464043447343
norm,knn,X,0.0022834870645900285
norm,knn,XZ,-0.001966098009627437
norm,ice_rf,X,-0.004071492279641653
norm,ice_rf,XZ,-0.01250004729220977
norm,mice_rf,X,-0.002770708178812864
norm,mice_rf,XZ,-0.011055470494063746
norm,knn,X,0.001997917959858597
norm,knn,XZ,0.004745895103040798
norm,ice_rf,X,-0.01501672617358607
norm,ice_rf,XZ,-0.027799571446699978
norm,mice_rf,X,-0.009795537925967768
norm,mice_rf,XZ,-0.022310070186115638
norm,knn,X,-0.0012630325007867427
norm,knn,XZ,-0.0009173412266283432
norm,ice_rf,X,-0.005354825071134273
norm,ice_rf,XZ,-0.01157552962890629
norm,mice_rf,X,-0.0034225859887719867
norm,mice_rf,XZ,-0.012271164101116616
norm,knn,X,0.0005671167024619006
norm,knn,XZ,0.0015352676293571843
norm,ice_rf,X,-0.0058254131367539985
norm,ice_rf,XZ,-0.013619566253144977
norm,mice_rf,X,-0.00545765047031066
norm,mice_rf,XZ,-0.011013356141825748
norm,knn,X,0.0033042697471177274
norm,knn,XZ,0.007679922895380775
norm,ice_rf,X,-0.016280826740206034
norm,ice_rf,XZ,-0.029176299689809837
norm,mice_rf,X,-0.014514795605622965
norm,mice_rf,XZ,-0.026309326600982175
norm,knn,X,-0.0042576546918359215
norm,knn,XZ,-0.004138854864229713
norm,ice_rf,X,-0.011905934997823775
norm,ice_rf,XZ,-0.027899630542193465
norm,mice_rf,X,-0.012779084203787705
norm,mice_rf,XZ,-0.03153897894796087
norm,knn,X,-0.0012397187821855393
norm,knn,XZ,-0.0027195014917750227
norm,ice_rf,X,-0.007858110249367889
norm,ice_rf,XZ,-0.018991852359339312
norm,mice_rf,X,-0.008113312812954465
norm,mice_rf,XZ,-0.018706974061923343
norm,knn,X,0.002862991762895506
norm,knn,XZ,0.004019751089459733
norm,ice_rf,X,-0.014611707141523711
norm,ice_rf,XZ,-0.01881920999907194
norm,mice_rf,X,-0.011816199102010705
norm,mice_rf,XZ,-0.017516756616650864
norm,knn,X,-0.003227526789018831
norm,knn,XZ,0.0011549942936113222
norm,ice_rf,X,0.00017058374360701123
norm,ice_rf,XZ,-0.011775903132151933
norm,mice_rf,X,0.0012656327692961433
norm,mice_rf,XZ,-0.010016071542316984
norm,knn,X,0.01063101589101545
norm,knn,XZ,0.008038114940970953
norm,ice_rf,X,-0.008866351864649125
norm,ice_rf,XZ,-0.01531566907984594
norm,mice_rf,X,-0.006992067750922315
norm,mice_rf,XZ,-0.014085582739107205
norm,knn,X,0.0013883649687316257
norm,knn,XZ,0.005506016976984718
norm,ice_rf,X,-0.005822264672144528
norm,ice_rf,XZ,-0.018977601381861664
norm,mice_rf,X,-0.007258229061780863
norm,mice_rf,XZ,-0.01943634036370545
norm,knn,X,-0.0019706874829286125
norm,knn,XZ,-0.003875146154414977
norm,ice_rf,X,-0.013078216946251331
norm,ice_rf,XZ,-0.025321077311068363
norm,mice_rf,X,-0.010174344952460168
norm,mice_rf,XZ,-0.020581233185479886
norm,knn,X,-0.005320235291911057
norm,knn,XZ,-0.005511785204221464
norm,ice_rf,X,-0.0054622991540962396
norm,ice_rf,XZ,-0.017756069750392456
norm,mice_rf,X,-0.00405593906850199
norm,mice_rf,XZ,-0.016488439827752166
norm,knn,X,0.002181632085776819
norm,knn,XZ,0.0028399260135723026
norm,ice_rf,X,-0.008058980441016383
norm,ice_rf,XZ,-0.019505982915277276
norm,mice_rf,X,-0.008368932079243607
