dist,estimator,col,relb_coef
norm,ice_rf,X,-1.0460497398739175
norm,ice_rf,X^2,0.3096541219461693
norm,mice_rf,X,-1.0533341730758452
norm,mice_rf,X^2,0.3116046856557387
norm,knn,X,-1.2199353915615851
norm,knn,X^2,0.3631699803777481
norm,ice_rf,X,-0.8110468702843122
norm,ice_rf,X^2,0.2487007853578239
norm,mice_rf,X,-0.8723080047107193
norm,mice_rf,X^2,0.26264765004563684
norm,knn,X,-1.054371673949088
norm,knn,X^2,0.3108938204348163
norm,ice_rf,X,-0.6284365843495701
norm,ice_rf,X^2,0.1968564737993729
norm,mice_rf,X,-0.720025818420912
norm,mice_rf,X^2,0.21446886959114356
norm,knn,X,-0.8224677165804245
norm,knn,X^2,0.2471896570847466
norm,ice_rf,X,-0.78148052305182
norm,ice_rf,X^2,0.21586019625279382
norm,mice_rf,X,-0.6059720256700422
norm,mice_rf,X^2,0.1695848573017705
norm,knn,X,-0.6942777321556759
norm,knn,X^2,0.19451732942650998
norm,ice_rf,X,-0.900546867826987
norm,ice_rf,X^2,0.26098721794261204
norm,mice_rf,X,-0.9060812599187328
norm,mice_rf,X^2,0.2620177028234252
norm,knn,X,-1.1446789549930898
norm,knn,X^2,0.33517211072693415
norm,ice_rf,X,-0.5969526501328498
norm,ice_rf,X^2,0.1706365435533021
norm,mice_rf,X,-0.6515631843045855
norm,mice_rf,X^2,0.18583369370556552
norm,knn,X,-0.7336679377421967
norm,knn,X^2,0.21044313255807376
norm,ice_rf,X,-0.24325212286239759
norm,ice_rf,X^2,0.08443894725189666
norm,mice_rf,X,-0.23825858612922068
norm,mice_rf,X^2,0.07757887813279413
norm,knn,X,-0.6896032371393186
norm,knn,X^2,0.19747430291433385
norm,ice_rf,X,-0.7316224989525535
norm,ice_rf,X^2,0.2121652520859663
norm,mice_rf,X,-0.7609459573013051
norm,mice_rf,X^2,0.22020433591372385
norm,knn,X,-1.0408740103239367
norm,knn,X^2,0.3060612323385068
norm,ice_rf,X,-0.1962421307251084
norm,ice_rf,X^2,0.06513305087618934
norm,mice_rf,X,-0.31860103133841294
norm,mice_rf,X^2,0.09716084139869836
norm,knn,X,-1.1873964295565202
norm,knn,X^2,0.34103338702349145
norm,ice_rf,X,-0.22262022602283668
norm,ice_rf,X^2,0.06429375793857645
norm,mice_rf,X,-0.07512267937757076
norm,mice_rf,X^2,0.02470386668185951
norm,knn,X,-0.45282991272307566
norm,knn,X^2,0.12764857290362952
norm,ice_rf,X,-0.558999067285505
norm,ice_rf,X^2,0.17401109700214834
norm,mice_rf,X,-0.1474630971611615
norm,mice_rf,X^2,0.056397705344707526
norm,knn,X,-1.1999743552639561
norm,knn,X^2,0.3540961708059789
