dist,estimator,col,relb_coef
norm,ice_rf,X,-0.08374171712993828
norm,ice_rf,X^2,-0.01952698903890192
norm,mice_rf,X,-0.023541001858101342
norm,mice_rf,X^2,-0.011845256900057648
norm,knn,X,15.397395505278345
norm,knn,X^2,1.7208145331785953
norm,ice_rf,X,0.17522600506806446
norm,ice_rf,X^2,0.10240834555439478
norm,mice_rf,X,0.1730488404805816
norm,mice_rf,X^2,0.10090005071305382
norm,knn,X,3.026788856446779
norm,knn,X^2,2.135351783125192
norm,ice_rf,X,-0.27903965302755146
norm,ice_rf,X^2,-0.1720444301805059
norm,mice_rf,X,-0.27698732984797053
norm,mice_rf,X^2,-0.17158983016172677
norm,knn,X,5.702243462529466
norm,knn,X^2,2.685719392417315
norm,ice_rf,X,0.5654707005613009
norm,ice_rf,X^2,0.03990400120230951
norm,mice_rf,X,0.5656774509390179
norm,mice_rf,X^2,0.0382088898825523
norm,knn,X,17.395879962316073
norm,knn,X^2,4.0232806672315515
norm,ice_rf,X,-1.3246038434232301
norm,ice_rf,X^2,0.48928024216314364
norm,mice_rf,X,-1.3297647782340856
norm,mice_rf,X^2,0.49026481937067223
norm,knn,X,7.632497197535433
norm,knn,X^2,-2.3344843765191787
norm,ice_rf,X,0.04144454364310713
norm,ice_rf,X^2,0.6344211772567383
norm,mice_rf,X,0.04289580419480008
norm,mice_rf,X^2,0.6452823484870983
norm,knn,X,-0.9439152486852548
norm,knn,X^2,-7.586919785265457
norm,ice_rf,X,1.190728030961665
norm,ice_rf,X^2,0.013621698488598514
norm,mice_rf,X,1.3207427100056053
norm,mice_rf,X^2,0.02694377354323704
norm,knn,X,-9.61275215179911
norm,knn,X^2,-1.2011741659071757
norm,ice_rf,X,-0.35150836061880225
norm,ice_rf,X^2,-0.14876220230331724
norm,mice_rf,X,-0.35078792628326544
norm,mice_rf,X^2,-0.14692524648285174
norm,knn,X,-7.505867340129638
norm,knn,X^2,-2.9771724409126983
norm,ice_rf,X,-0.5615433460024907
norm,ice_rf,X^2,-3.2849781041471786
norm,mice_rf,X,-0.5681905251726093
norm,mice_rf,X^2,-3.3203682960092746
norm,knn,X,3.2106366177287473
norm,knn,X^2,19.101550165432872
norm,ice_rf,X,-1.2668489033375692
norm,ice_rf,X^2,-19.508150205260538
norm,mice_rf,X,-1.2606014614270706
norm,mice_rf,X^2,-19.447626174185302
norm,knn,X,-1.2509209393460103
norm,knn,X^2,-30.415864995970065
norm,ice_rf,X,0.3603105742549536
norm,ice_rf,X^2,0.030419229679335698
norm,mice_rf,X,0.40850630196141546
norm,mice_rf,X^2,0.03636461381878209
norm,knn,X,-3.6668917430705763
norm,knn,X^2,-0.4638997201060501
norm,ice_rf,X,0.3687227933093857
norm,ice_rf,X^2,0.23974021963300796
norm,mice_rf,X,0.36736442278795856
norm,mice_rf,X^2,0.23885550632381125
norm,knn,X,-1.9477940632775932
