dist,estimator,col,relb_coef
norm,ice_rf,X,-0.036097716875888405
norm,ice_rf,XZ,0.10391319250253996
norm,mice_rf,X,-0.7565182260362815
norm,mice_rf,XZ,-0.7359197325273554
norm,knn,X,0.3358709400673803
norm,knn,XZ,0.2709291727292622
norm,ice_rf,X,-0.04771045511365112
norm,ice_rf,XZ,0.1286094005352032
norm,mice_rf,X,-0.743211127665294
norm,mice_rf,XZ,-0.6826818568326641
norm,knn,X,0.5409657785032158
norm,knn,XZ,0.4742438634440237
norm,ice_rf,X,-0.15379890851464942
norm,ice_rf,XZ,-0.13625777728565383
norm,mice_rf,X,-0.7847290655587138
norm,mice_rf,XZ,-0.7689165016741445
norm,knn,X,0.4402641418882045
norm,knn,XZ,0.6717614632004365
norm,ice_rf,X,-0.27233522964053686
norm,ice_rf,XZ,-0.314334736184769
norm,mice_rf,X,-0.8413612283546644
norm,mice_rf,XZ,-0.8548926087291793
norm,knn,X,0.3297216820095758
norm,knn,XZ,0.3059431002319446
norm,ice_rf,X,-0.253827780929427
norm,ice_rf,XZ,-0.7082038707079014
norm,mice_rf,X,-0.8548596148002516
norm,mice_rf,XZ,-0.997859156142921
norm,knn,X,0.02361960564737445
norm,knn,XZ,-0.5544062530132061
norm,ice_rf,X,-0.1639298705405325
norm,ice_rf,XZ,-0.4714071969841483
norm,mice_rf,X,-0.7775742601419456
norm,mice_rf,XZ,-0.8278390682754988
norm,knn,X,0.33355218521890634
norm,knn,XZ,0.1949211960368559
norm,ice_rf,X,-0.21423060729373192
norm,ice_rf,XZ,-0.3136870493804176
norm,mice_rf,X,-0.8217198746810693
norm,mice_rf,XZ,-0.8451734625616151
norm,knn,X,0.07359719304110249
norm,knn,XZ,-0.040866071534837956
norm,ice_rf,X,-0.2810331918891541
norm,ice_rf,XZ,-0.30472573265999003
norm,mice_rf,X,-0.8196529793514099
norm,mice_rf,XZ,-0.8261401571353985
norm,knn,X,0.4097036575704684
norm,knn,XZ,0.3548185990527583
norm,ice_rf,X,0.19202481359725002
norm,ice_rf,XZ,0.6425055704462185
norm,mice_rf,X,-0.7633730925015516
norm,mice_rf,XZ,-0.7004168113497846
norm,knn,X,0.4293036589367573
norm,knn,XZ,0.6760141748575236
norm,ice_rf,X,-0.07412077503329671
norm,ice_rf,XZ,-0.053700403542440676
norm,mice_rf,X,-0.7947169278432118
norm,mice_rf,XZ,-0.8014899126258118
norm,knn,X,0.25884895192931645
norm,knn,XZ,0.18133167671861491
norm,ice_rf,X,-0.1571825265935507
norm,ice_rf,XZ,-0.2095430421503192
norm,mice_rf,X,-0.7943103557725076
norm,mice_rf,XZ,-0.7864484063814324
norm,knn,X,0.43705465464861515
norm,knn,XZ,0.6598361732144808
norm,ice_rf,X,-0.26711499801060035
norm,ice_rf,XZ,-1.0337621179633638
norm,mice_rf,X,-0.8540503226817089
norm,mice_rf,XZ,-1.0360388915447605
norm,knn,X,0.06201447338190292
norm,knn,XZ,-0.3715815535356328
norm,ice_rf,X,-0.1446423812392713
norm,ice_rf,XZ,-0.3810418133648752
norm,mice_rf,X,-0.7693555227097088
norm,mice_rf,XZ,-0.7985538190668979
norm,knn,X,0.5277489860778621
norm,knn,XZ,0.5288010178572208
norm,ice_rf,X,-0.13570062499293328
norm,ice_rf,XZ,-0.09470089203174598
norm,mice_rf,X,-0.7746877147451575
norm,mice_rf,XZ,-0.7561033016014174
norm,knn,X,0.4848169057342481
norm,knn,XZ,0.5848341145752418
norm,ice_rf,X,0.09610079229053414
norm,ice_rf,XZ,0.1267600493027108
norm,mice_rf,X,-0.7451748781800548
norm,mice_rf,XZ,-0.7616597568151647
norm,knn,X,0.48405804344225156
norm,knn,XZ,0.37638726813070233
norm,ice_rf,X,0.23857015373672483
norm,ice_rf,XZ,0.05653337668109663
norm,mice_rf,X,-0.7716364024364534
norm,mice_rf,XZ,-0.8161804248569264
norm,knn,X,0.3916263180259516
norm,knn,XZ,0.21013249867084877
norm,ice_rf,X,-0.030232473220943756
norm,ice_rf,XZ,0.30619896006701713
norm,mice_rf,X,-0.7802903236968006
norm,mice_rf,XZ,-0.7102131580801149
norm,knn,X,0.12668458167634228
norm,knn,XZ,0.012922330573131144
norm,ice_rf,X,-0.15088155128749786
norm,ice_rf,XZ,-0.13547033117559584
norm,mice_rf,X,-0.794489648109193
norm,mice_rf,XZ,-0.789561213904546
norm,knn,X,0.3153682249509523
norm,knn,XZ,0.33182046051922265
norm,ice_rf,X,0.004681129962373865
norm,ice_rf,XZ,0.1784705516400161
norm,mice_rf,X,-0.721668597220914
norm,mice_rf,XZ,-0.6350277804440828
norm,knn,X,0.3885075645471806
norm,knn,XZ,0.586410306075854
norm,ice_rf,X,-0.1522840449002548
norm,ice_rf,XZ,-0.2284991438972791
norm,mice_rf,X,-0.8097844498744657
norm,mice_rf,XZ,-0.8314661695626122
norm,knn,X,0.051958252063975904
norm,knn,XZ,-0.18836376347014114
norm,ice_rf,X,-0.3728590815151675
norm,ice_rf,XZ,-0.437922208753958
norm,mice_rf,X,-0.8420264272610437
norm,mice_rf,XZ,-0.861609886510324
norm,knn,X,0.037930445027019595
norm,knn,XZ,0.2159059869479237
norm,ice_rf,X,-0.41320921362360896
norm,ice_rf,XZ,-1.249080548070557
norm,mice_rf,X,-0.8570218964384747
norm,mice_rf,XZ,-1.012510597445132
norm,knn,X,-0.3289045125733207
norm,knn,XZ,-2.1363261076752442
norm,ice_rf,X,-0.029845153844442092
norm,ice_rf,XZ,0.21055544429879203
norm,mice_rf,X,-0.8309237461166015
norm,mice_rf,XZ,-0.8348057022978222
norm,knn,X,0.27508601663447757
norm,knn,XZ,0.5067979033554101
norm,ice_rf,X,-0.43912835752728596
norm,ice_rf,XZ,-2.7602158043467035
norm,mice_rf,X,-0.8503389465235445
norm,mice_rf,XZ,-1.3297815054963813
norm,knn,X,0.11352015819580946
norm,knn,XZ,-0.5227043827455549
norm,ice_rf,X,-0.38396145024735573
norm,ice_rf,XZ,-0.6637177337616628
norm,mice_rf,X,-0.8119055933841842
norm,mice_rf,XZ,-0.8597211502248989
norm,knn,X,0.35643041267718
norm,knn,XZ,0.3655067899359425
norm,ice_rf,X,-0.11949065252127544
norm,ice_rf,XZ,0.12062940853421508
norm,mice_rf,X,-0.8076098304705311
norm,mice_rf,XZ,-0.9767907631531368
norm,knn,X,0.24237425543389846
norm,knn,XZ,-0.39728343045134973
norm,ice_rf,X,-0.14677121265653514
norm,ice_rf,XZ,-0.24893594469064953
norm,mice_rf,X,-0.8034656114539885
norm,mice_rf,XZ,-0.8331031613018245
norm,knn,X,0.06329372717664633
norm,knn,XZ,-0.07297354748057355
norm,ice_rf,X,-0.22599202391413728
norm,ice_rf,XZ,-0.2748751278664702
norm,mice_rf,X,-0.8161651246935697
norm,mice_rf,XZ,-0.822100287085462
norm,knn,X,0.06351380340062551
norm,knn,XZ,0.026574418151684962
