"dist","estimator","col","nrmse"
"norm","missForest","X",0.659113085834871
"norm","micePMM","X",0.897905954181616
"norm","missForest","X",0.643516625623647
"norm","micePMM","X",0.896963396593726
"norm","missForest","X",0.633467969455439
"norm","micePMM","X",0.911429392763859
"norm","missForest","X",0.651248450793666
"norm","micePMM","X",0.96494813654182
"norm","missForest","X",0.684690695767841
"norm","micePMM","X",0.930250046187134
"norm","missForest","X",0.669378307578256
"norm","micePMM","X",0.878125078156824
"norm","missForest","X",0.674607492022834
"norm","micePMM","X",0.874498846021373
"norm","missForest","X",0.686515043402085
"norm","micePMM","X",0.893957351671963
"norm","missForest","X",0.672143990612931
"norm","micePMM","X",0.939675134470058
"norm","missForest","X",0.68993013807148
"norm","micePMM","X",0.905709647416779
"norm","missForest","X",0.645281136891803
"norm","micePMM","X",0.903908190676629
"norm","missForest","X",0.658579154485594
"norm","micePMM","X",0.883304316984617
"norm","missForest","X",0.659981980965746
"norm","micePMM","X",0.911279518408937
"norm","missForest","X",0.637027120387554
"norm","micePMM","X",0.899779915394005
"norm","missForest","X",0.687155771868222
"norm","micePMM","X",0.89477743597433
"norm","missForest","X",0.665815989168099
"norm","micePMM","X",0.907551829343997
"norm","missForest","X",0.658536307893138
"norm","micePMM","X",0.85424073438211
"norm","missForest","X",0.6775498538679
"norm","micePMM","X",0.894850566193173
"norm","missForest","X",0.652855523262378
"norm","micePMM","X",0.899117873237498
"norm","missForest","X",0.658643180109518
"norm","micePMM","X",0.851971322815407
"norm","missForest","X",0.656845202260401
"norm","micePMM","X",0.853532828889461
"norm","missForest","X",0.648296672863559
"norm","micePMM","X",0.933812804517145
"norm","missForest","X",0.683816667293715
"norm","micePMM","X",0.856270242857082
"norm","missForest","X",0.685967661975796
"norm","micePMM","X",0.852896559775914
"norm","missForest","X",0.655814534483867
"norm","micePMM","X",0.886472467067508
"norm","missForest","X",0.68104361713959
"norm","micePMM","X",0.897167719473711
"norm","missForest","X",0.640736688230047
"norm","micePMM","X",0.854855526290497
"norm","missForest","X",0.631052257067539
"norm","micePMM","X",0.890497002941309
"norm","missForest","X",0.693512167719622
"norm","micePMM","X",0.865638038736722
"norm","missForest","X",0.638517595152543
"norm","micePMM","X",0.885710872655216
"norm","missForest","X",0.714349439524902
"norm","micePMM","X",0.868210683543531
"norm","missForest","X",0.686900060127313
"norm","micePMM","X",0.869710412959508
"norm","missForest","X",0.633352192935717
"norm","micePMM","X",0.884834919532889
"norm","missForest","X",0.651293799869191
"norm","micePMM","X",0.864371779555811
"norm","missForest","X",0.666045817539894
"norm","micePMM","X",0.925392267285733
"norm","missForest","X",0.687294399565897
"norm","micePMM","X",0.889810023663793
"norm","missForest","X",0.645341207051347
"norm","micePMM","X",0.952104835123128
"norm","missForest","X",0.706561686192271
"norm","micePMM","X",0.924888775069412
"norm","missForest","X",0.681687211586031
"norm","micePMM","X",0.882768791309498
"norm","missForest","X",0.65826727325846
"norm","micePMM","X",0.87204066998068
"norm","missForest","X",0.723932829696264
"norm","micePMM","X",0.869212325601769
"norm","missForest","X",0.612305210395156
"norm","micePMM","X",0.927786289188109
"norm","missForest","X",0.695976529197991
"norm","micePMM","X",0.849642455112659
"norm","missForest","X",0.683569661649021
"norm","micePMM","X",0.96192735189541
"norm","missForest","X",0.693807347542569
"norm","micePMM","X",0.886338264320655
"norm","missForest","X",0.664914822232783
"norm","micePMM","X",0.854001409965465
"norm","missForest","X",0.67240273778902
"norm","micePMM","X",0.853733480996379
"norm","missForest","X",0.689440636062566
"norm","micePMM","X",0.946348510555324
"norm","missForest","X",0.662940322458365
"norm","micePMM","X",0.947966879092283
"norm","missForest","X",0.656669927108916
"norm","micePMM","X",0.846169866044671
"norm","missForest","X",0.668501394813738
