"dist","estimator","col","rel_bias"
"norm","missForest","X",-0.0081667955664122
"norm","missForest","X2",-0.0204600569385222
"norm","micePMM","X",-0.0144270253750829
"norm","micePMM","X2",-0.038921108764753
"norm","missForest","X",-0.00448052690573719
"norm","missForest","X2",-0.0106848814131755
"norm","micePMM","X",-0.0138023011457478
"norm","micePMM","X2",-0.0382020520322465
"norm","missForest","X",-0.00535194692732133
"norm","missForest","X2",-0.0151280379743314
"norm","micePMM","X",-0.0112911215784489
"norm","micePMM","X2",-0.0333645022653604
"norm","missForest","X",-0.00149014589482066
"norm","missForest","X2",-0.00346537448154283
"norm","micePMM","X",-0.00843204081810045
"norm","micePMM","X2",-0.0213254310753728
"norm","missForest","X",-0.00277542317544743
"norm","missForest","X2",-0.00902717593822744
"norm","micePMM","X",-0.0090247417215189
"norm","micePMM","X2",-0.0262358958320887
"norm","missForest","X",-0.00495704748140524
"norm","missForest","X2",-0.012137421699271
"norm","micePMM","X",-0.0119127042445755
"norm","micePMM","X2",-0.0336145209931974
"norm","missForest","X",-0.00588353289997734
"norm","missForest","X2",-0.0110511262747945
"norm","micePMM","X",-0.00471061366610526
"norm","micePMM","X2",-0.0133969910163334
"norm","missForest","X",-0.00236428789838039
"norm","missForest","X2",-0.00643033454883168
"norm","micePMM","X",-0.0137628928825043
"norm","micePMM","X2",-0.0399771365098769
"norm","missForest","X",-0.00376098682340409
"norm","missForest","X2",-0.0100253234393387
"norm","micePMM","X",-0.0074389021968545
"norm","micePMM","X2",-0.0221513276160307
"norm","missForest","X",-0.00503798471288019
"norm","missForest","X2",-0.0129905748308353
"norm","micePMM","X",-0.00838021344780138
"norm","micePMM","X2",-0.029230302224964
"norm","missForest","X",-0.00697487583948841
"norm","missForest","X2",-0.019003685703461
"norm","micePMM","X",-0.0121243200661494
"norm","micePMM","X2",-0.0357418127030944
"norm","missForest","X",-0.000378506911059229
"norm","missForest","X2",-0.00130225709825604
"norm","micePMM","X",-0.0065351808195393
"norm","micePMM","X2",-0.0172285679018362
"norm","missForest","X",-0.00479490780892611
"norm","missForest","X2",-0.0147793452458596
"norm","micePMM","X",-0.0067141631611074
"norm","micePMM","X2",-0.0217802718575753
"norm","missForest","X",-0.00454160264512082
"norm","missForest","X2",-0.0126047743457166
"norm","micePMM","X",-0.0112521150645982
"norm","micePMM","X2",-0.0329885073695025
"norm","missForest","X",-0.00335875921084217
"norm","missForest","X2",-0.00964642353839862
"norm","micePMM","X",-0.00826432494748186
"norm","micePMM","X2",-0.0253670549191768
"norm","missForest","X",-0.00606889686409806
"norm","missForest","X2",-0.0141186506795014
"norm","micePMM","X",-0.00985534127355969
"norm","micePMM","X2",-0.0321857338656654
"norm","missForest","X",-0.00363837228385477
"norm","missForest","X2",-0.0113358200956007
"norm","micePMM","X",-0.0133234920441699
"norm","micePMM","X2",-0.0299835355652587
"norm","missForest","X",-0.00133137472179212
"norm","missForest","X2",-0.00719904546661843
"norm","micePMM","X",-0.00751211407212726
"norm","micePMM","X2",-0.0233841092460471
"norm","missForest","X",-0.00727499515649299
"norm","missForest","X2",-0.0169715960921735
"norm","micePMM","X",-0.0154056606329834
"norm","micePMM","X2",-0.0389918547162611
"norm","missForest","X",-0.0036461892130315
"norm","missForest","X2",-0.0113891039086511
"norm","micePMM","X",-0.00473744190768288
"norm","micePMM","X2",-0.01643007424154
"norm","missForest","X",-0.000577688058168491
"norm","missForest","X2",-0.00257391696742171
"norm","micePMM","X",-0.00630589238855928
"norm","micePMM","X2",-0.0185212935823701
"norm","missForest","X",-0.00524668408754081
"norm","missForest","X2",-0.0183910089846406
"norm","micePMM","X",-0.00821563713603313
"norm","micePMM","X2",-0.0232496448692813
"norm","missForest","X",-0.00793221234615649
"norm","missForest","X2",-0.0212666444415284
"norm","micePMM","X",-0.0126725908647258
"norm","micePMM","X2",-0.0314557609358465
"norm","missForest","X",-0.0026988913660797
"norm","missForest","X2",-0.00990058822688888
"norm","micePMM","X",-0.00557687798280471
"norm","micePMM","X2",-0.0210146363022556
"norm","missForest","X",-0.00734426644600383
"norm","missForest","X2",-0.0188795263518655
"norm","micePMM","X",-0.00969208036590008
"norm","micePMM","X2",-0.0285795070909312
"norm","missForest","X",-0.0041085912622999
"norm","missForest","X2",-0.0110476559775707
"norm","micePMM","X",-0.0121097861335892
"norm","micePMM","X2",-0.0360069307933581
"norm","missForest","X",-0.00778853556778059
"norm","missForest","X2",-0.0229887346863779
"norm","micePMM","X",-0.0146226429459914
"norm","micePMM","X2",-0.0410500135826858
"norm","missForest","X",-0.0040962483300141
"norm","missForest","X2",-0.0127085178304394
"norm","micePMM","X",-0.00808972693425669
"norm","micePMM","X2",-0.0246931423208151
"norm","missForest","X",-0.00594713201503638
"norm","missForest","X2",-0.0144478622876221
"norm","micePMM","X",-0.0142485340222882
"norm","micePMM","X2",-0.0411677846238463
"norm","missForest","X",-0.00630138992737661
"norm","missForest","X2",-0.0136475388871544
"norm","micePMM","X",-0.00647343679538825
"norm","micePMM","X2",-0.0236324801638068
"norm","missForest","X",-0.00517168979498916
"norm","missForest","X2",-0.015605650998101
"norm","micePMM","X",-0.00664658677995744
"norm","micePMM","X2",-0.151532438619781
"norm","missForest","X",-0.00195517583862648
"norm","missForest","X2",-0.00645006603186182
"norm","micePMM","X",-0.00618572918167248
"norm","micePMM","X2",-0.0199383151527919
"norm","missForest","X",-0.00224796630272261
"norm","missForest","X2",-0.00665967608956508
"norm","micePMM","X",-0.00562424303311404
"norm","micePMM","X2",-0.0153996087559675
"norm","missForest","X",-0.0033697152949721
"norm","missForest","X2",-0.00992628441310484
"norm","micePMM","X",-0.00620103668312944
"norm","micePMM","X2",-0.0214125247363117
"norm","missForest","X",-0.00351638287426648
"norm","missForest","X2",-0.00828683575974321
"norm","micePMM","X",-0.00697948847276275
"norm","micePMM","X2",-0.0204871929777701
"norm","missForest","X",-0.000651393710682013
"norm","missForest","X2",-0.00355432425294344
"norm","micePMM","X",-0.00494039132496149
"norm","micePMM","X2",-0.0129023429232883
"norm","missForest","X",-0.00412804361220276
"norm","missForest","X2",-0.011236475367172
"norm","micePMM","X",-0.0115295631019786
"norm","micePMM","X2",-0.0307338706765691
"norm","missForest","X",-0.00529033059412054
"norm","missForest","X2",-0.0147521273880036
"norm","micePMM","X",-0.00544868730829218
"norm","micePMM","X2",-0.018379861703718
"norm","missForest","X",-0.00453826376281652
"norm","missForest","X2",-0.0137509823901986
"norm","micePMM","X",-0.0161787919259139
"norm","micePMM","X2",-0.040826207200954
"norm","missForest","X",-0.00298698515422435
"norm","missForest","X2",-0.00927418016403136
"norm","micePMM","X",-0.00953329395380642
"norm","micePMM","X2",-0.0265916328424131
"norm","missForest","X",-0.00259591117540681
"norm","missForest","X2",-0.00822930074140238
"norm","micePMM","X",-0.00679340683112684
"norm","micePMM","X2",-0.0240668783536231
"norm","missForest","X",-0.00275454871172953
"norm","missForest","X2",-0.00717884474892205
"norm","micePMM","X",-0.0086919873019432
"norm","micePMM","X2",-0.0285296343777315
"norm","missForest","X",-0.00440526608229741
"norm","missForest","X2",-0.0135154060501893
"norm","micePMM","X",-0.0125768487487307
"norm","micePMM","X2",-0.0361029422908331
"norm","missForest","X",-0.00373654240543908
"norm","missForest","X2",-0.0101360779673783
"norm","micePMM","X",-0.0105003409226212
"norm","micePMM","X2",-0.0305112398409512
"norm","missForest","X",-0.00297308374203187
"norm","missForest","X2",-0.0100546776903634
"norm","micePMM","X",-0.00565880665503982
"norm","micePMM","X2",-0.0178813073393636
"norm","missForest","X",-0.0040351888582979
"norm","missForest","X2",-0.0105345803643373
"norm","micePMM","X",-0.00351169560593323
"norm","micePMM","X2",-0.00787262119781351
"norm","missForest","X",-0.00367110747034283
"norm","missForest","X2",-0.00710191345852806
"norm","micePMM","X",-0.0147262479168936
"norm","micePMM","X2",-0.038187334086916
"norm","missForest","X",-0.00695448348744832
"norm","missForest","X2",-0.0186096133654367
"norm","micePMM","X",-0.00732008189911326
"norm","micePMM","X2",-0.0269593461982284
"norm","missForest","X",-0.00417666030888963
"norm","missForest","X2",-0.0115434754833932
"norm","micePMM","X",-0.0202334080582657
"norm","micePMM","X2",-0.0497334757931727
"norm","missForest","X",-0.00872881546647297
"norm","missForest","X2",-0.0221669534507547
"norm","micePMM","X",-0.00965236713398288
"norm","micePMM","X2",-0.0294592942289496
"norm","missForest","X",-0.00527744879788461
"norm","missForest","X2",-0.0165776266384335
"norm","micePMM","X",-0.0146286774954224
"norm","micePMM","X2",-0.0416318858316416
"norm","missForest","X",-0.00265101007411106
"norm","missForest","X2",-0.00918901953295137
"norm","micePMM","X",-0.00764711444349586
"norm","micePMM","X2",-0.0250077288389323
"norm","missForest","X",-0.00401441117238188
"norm","missForest","X2",-0.0133887406688687
"norm","micePMM","X",-0.00766435191629733
"norm","micePMM","X2",-0.0219597942047008
"norm","missForest","X",-0.00111166631752879
"norm","missForest","X2",-0.00611951181736714
"norm","micePMM","X",-0.00495235662995031
"norm","micePMM","X2",-0.0219791196671189
"norm","missForest","X",-0.00299814590592451
"norm","missForest","X2",-0.00746728139699404
"norm","micePMM","X",-0.00605418137167413
"norm","micePMM","X2",-0.0159731478038098
"norm","missForest","X",-0.00234346670767638
"norm","missForest","X2",-0.00687835645656776
"norm","micePMM","X",-0.00627045213521449
"norm","micePMM","X2",-0.0212718533518699
"norm","missForest","X",-0.00701843168615723
"norm","missForest","X2",-0.0200560213205027
"norm","micePMM","X",-0.00955561060629784
"norm","micePMM","X2",-0.0273862629616007
"norm","missForest","X",-0.00120012629765831
"norm","missForest","X2",-0.0039772999319525
"norm","micePMM","X",-0.00604834876717997
"norm","micePMM","X2",-0.0249644599968593
"norm","missForest","X",-0.00278985682766852
"norm","missForest","X2",-0.00821729222323864
"norm","micePMM","X",-0.00488907879234124
"norm","micePMM","X2",-0.018542949910587
"norm","missForest","X",-0.00150901884390275
"norm","missForest","X2",-0.00597584305002719
"norm","micePMM","X",-0.00596961292634235
"norm","micePMM","X2",-0.0166230809831749
"norm","missForest","X",-0.00592185276656332
"norm","missForest","X2",-0.0158411823774646
"norm","micePMM","X",-0.00513991444941686
"norm","micePMM","X2",-0.0165732043195926
"norm","missForest","X",-0.0028219202411327
"norm","missForest","X2",-0.0113367600136368
"norm","micePMM","X",-0.00709142173372368
"norm","micePMM","X2",-0.0238303962103329
"norm","missForest","X",-0.00502865587310786
"norm","missForest","X2",-0.0146042568225319
"norm","micePMM","X",-0.00824780288055937
