"dist","estimator","col","relb_coef"
"norm","missForest","X",0.767998999920624
"norm","missForest","XZ",1.61279863811172
"norm","micePMM","X",0.572953263520901
"norm","micePMM","XZ",1.43294470186029
"norm","missForest","X",1.16831690269105
"norm","missForest","XZ",2.67985912508871
"norm","micePMM","X",0.24047428770936
"norm","micePMM","XZ",0.8680139894271
"norm","missForest","X",2.24026575897513
"norm","missForest","XZ",16.1969018612989
"norm","micePMM","X",1.28623825488114
"norm","micePMM","XZ",10.7040065498983
"norm","missForest","X",1.47152719937493
"norm","missForest","XZ",2.24389300880512
"norm","micePMM","X",0.309593110073751
"norm","micePMM","XZ",0.884462932530477
"norm","missForest","X",1.92411331101698
"norm","missForest","XZ",3.66702391095802
"norm","micePMM","X",-0.130973914665633
"norm","micePMM","XZ",0.187464914007636
"norm","missForest","X",0.663748886327404
"norm","missForest","XZ",1.60240409616901
"norm","micePMM","X",0.979882563739898
"norm","micePMM","XZ",2.51980536864553
"norm","missForest","X",0.706618430852948
"norm","missForest","XZ",2.56141297105302
"norm","micePMM","X",0.241471698975305
"norm","micePMM","XZ",1.19069657604361
"norm","missForest","X",0.525801277612407
"norm","missForest","XZ",0.94895603291554
"norm","micePMM","X",-0.415295400171063
"norm","micePMM","XZ",-0.361065495551276
"norm","missForest","X",0.648423798264157
"norm","missForest","XZ",1.18094973516685
"norm","micePMM","X",-0.240129350077174
"norm","micePMM","XZ",0.01875774817583
"norm","missForest","X",0.525280470759905
"norm","missForest","XZ",1.35404114891136
"norm","micePMM","X",0.321952394174162
"norm","micePMM","XZ",0.885208341803424
"norm","missForest","X",0.461041014247247
"norm","missForest","XZ",0.491233077175659
"norm","micePMM","X",-0.124588541704505
"norm","micePMM","XZ",0.232344696583268
"norm","missForest","X",0.694247345812962
"norm","missForest","XZ",1.20828167889752
"norm","micePMM","X",-0.0601064623391883
"norm","micePMM","XZ",0.229241956845884
"norm","missForest","X",0.613237189708422
"norm","missForest","XZ",2.57023211113496
"norm","micePMM","X",-1.20623342280932
"norm","micePMM","XZ",-1.11378630026962
"norm","missForest","X",0.245615763311595
"norm","missForest","XZ",0.807929051256527
"norm","micePMM","X",0.193878797490191
"norm","micePMM","XZ",0.950605094998437
"norm","missForest","X",0.660188065828874
"norm","missForest","XZ",1.05566256649153
"norm","micePMM","X",0.266036136608825
"norm","micePMM","XZ",0.90508275944377
"norm","missForest","X",1.54542736502295
"norm","missForest","XZ",2.51900405886316
"norm","micePMM","X",0.554166583545252
"norm","micePMM","XZ",1.96178228170122
"norm","missForest","X",0.380529414026738
"norm","missForest","XZ",1.35325918640079
"norm","micePMM","X",0.182217523781712
"norm","micePMM","XZ",0.745602421827049
"norm","missForest","X",1.18347626089322
"norm","missForest","XZ",3.78717128115792
"norm","micePMM","X",-0.61893531451237
"norm","micePMM","XZ",-0.210299841541639
"norm","missForest","X",0.481154347388193
"norm","missForest","XZ",0.888433146980202
"norm","micePMM","X",-0.0120802226629196
"norm","micePMM","XZ",0.0513090318514333
"norm","missForest","X",0.373010442258729
"norm","missForest","XZ",0.990531061278304
"norm","micePMM","X",0.106944525597064
"norm","micePMM","XZ",0.985697662628933
"norm","missForest","X",0.640987815923194
"norm","missForest","XZ",1.91070795019725
"norm","micePMM","X",0.849481929529156
"norm","micePMM","XZ",2.9339370190588
"norm","missForest","X",0.255926427060735
"norm","missForest","XZ",-24.0152599218132
"norm","micePMM","X",-1.43451825826993
"norm","micePMM","XZ",10.580647685749
"norm","missForest","X",-0.0179892537775923
"norm","missForest","XZ",-0.0114967156593205
"norm","micePMM","X",-0.194761730144089
"norm","micePMM","XZ",-0.101973221431492
"norm","missForest","X",0.173102189718861
"norm","missForest","XZ",0.89048340700873
"norm","micePMM","X",-1.2004480275536
"norm","micePMM","XZ",-0.788197657446509
"norm","missForest","X",0.973673692353431
"norm","missForest","XZ",1.65099238278517
"norm","micePMM","X",-0.102677217288594
"norm","micePMM","XZ",0.483147811403612
"norm","missForest","X",0.670595049366288
"norm","missForest","XZ",1.25742429175422
"norm","micePMM","X",-0.0618150546364203
"norm","micePMM","XZ",0.259476751683148
"norm","missForest","X",0.948557395500423
"norm","missForest","XZ",1.994329927909
"norm","micePMM","X",-0.117322279823508
