"estimator","col","res"
"missForest","X12",-0.189319324662192
"rfcont10","X12",2.15113711977857
"micePMM","X12",3.64439699974752
"missForest","X12",-11.6254949574413
"rfcont10","X12",-3.13060638058127
"micePMM","X12",-7.22042868781145
"missForest","X12",-6.58771868415938
"rfcont10","X12",-18.818310415071
"micePMM","X12",-20.3518274011873
"missForest","X12",-16.3885926181595
"rfcont10","X12",-5.53788374127914
"micePMM","X12",0.78357164929637
"missForest","X12",6.3207674804062
"rfcont10","X12",1.05434736926917
"micePMM","X12",11.1172514537752
"missForest","X12",-10.8460252268459
"rfcont10","X12",-11.7331551138387
"micePMM","X12",-12.9000084276776
"missForest","X12",-5.98422608646852
"rfcont10","X12",7.12568919209382
"micePMM","X12",-8.60351153187146
"missForest","X12",3.10671039694387
"rfcont10","X12",-2.07973071974905
"micePMM","X12",-9.56851420063573
"missForest","X12",-9.42575340618677
"rfcont10","X12",-4.03273552249422
"micePMM","X12",5.22731690872873
"missForest","X12",3.11319852796614
"rfcont10","X12",0.51722910045535
"micePMM","X12",5.98459420737758
"missForest","X12",-15.1736809281695
"rfcont10","X12",-6.98649472898058
"micePMM","X12",3.65228530494176
"missForest","X12",-3.35053133691072
"rfcont10","X12",3.25587375091236
"micePMM","X12",-0.0131471753237776
"missForest","X12",-6.82645166727595
"rfcont10","X12",-3.28368920707716
"micePMM","X12",-18.8688260246667
"missForest","X12",1.35968087198372
"rfcont10","X12",8.14362873824264
"micePMM","X12",-1.68283844144182
"missForest","X12",-23.7140202826102
"rfcont10","X12",-5.09099758824698
"micePMM","X12",-11.5616259797185
"missForest","X12",-24.651874034331
"rfcont10","X12",-9.15529195366031
"micePMM","X12",-9.66054442790214
"missForest","X12",-14.3680220243292
"rfcont10","X12",-4.47178902557221
"micePMM","X12",-5.17472820743366
"missForest","X12",19.1750362590765
"rfcont10","X12",8.40713229514382
"micePMM","X12",7.78838666179804
"missForest","X12",5.26833609573889
"rfcont10","X12",-1.6060985528102
"micePMM","X12",-17.1728404079011
"missForest","X12",-21.5224518920153
"rfcont10","X12",4.18714605957038
"micePMM","X12",-5.19050481782219
