"dist","estimator","col","nrmse"
"norm","missForest","X",0.681901159967403
"norm","rfcont10","X",0.724292622043495
"norm","micePMM","X",0.930559049378065
"norm","missForest","X",0.723447298052387
"norm","rfcont10","X",0.744190574246742
"norm","micePMM","X",0.841516146370373
"norm","missForest","X",0.797930489631874
"norm","rfcont10","X",0.715790774023301
"norm","micePMM","X",0.916256224160928
"norm","missForest","X",0.636008348906109
"norm","rfcont10","X",0.711946285717416
"norm","micePMM","X",0.863178288840087
"norm","missForest","X",0.771869361476142
"norm","rfcont10","X",0.738289608827488
"norm","micePMM","X",0.827640866028403
"norm","missForest","X",0.876715945223022
"norm","rfcont10","X",0.733295724211671
"norm","micePMM","X",0.876199564039885
"norm","missForest","X",0.703855997343984
"norm","rfcont10","X",0.69258980078226
"norm","micePMM","X",0.834085094229741
"norm","missForest","X",0.685026396136497
"norm","rfcont10","X",0.686063644624318
"norm","micePMM","X",0.845223029512377
"norm","missForest","X",0.719685019664829
"norm","rfcont10","X",0.75509734043499
"norm","micePMM","X",0.880761328508468
"norm","missForest","X",0.764370906120648
"norm","rfcont10","X",0.708842621508074
"norm","micePMM","X",0.855063401186556
"norm","missForest","X",0.713690595012399
"norm","rfcont10","X",0.708691164485945
"norm","micePMM","X",0.867373445463131
"norm","missForest","X",0.65614565791404
"norm","rfcont10","X",0.725102185830811
"norm","micePMM","X",0.858528094747114
"norm","missForest","X",0.827354518109612
"norm","rfcont10","X",0.75091399636518
"norm","micePMM","X",0.892422264995664
"norm","missForest","X",0.739018268507911
"norm","rfcont10","X",0.731727406637483
"norm","micePMM","X",0.886552650634663
"norm","missForest","X",0.593122942221488
"norm","rfcont10","X",0.723154002347081
"norm","micePMM","X",0.859979670006557
"norm","missForest","X",0.693824251774539
"norm","rfcont10","X",0.747574077391916
"norm","micePMM","X",0.885781102910721
"norm","missForest","X",0.696000583780522
"norm","rfcont10","X",0.739123560175119
"norm","micePMM","X",0.859868526242395
"norm","missForest","X",0.754315505236932
"norm","rfcont10","X",0.758030467075924
"norm","micePMM","X",0.866411944465132
"norm","missForest","X",0.800303258328287
"norm","rfcont10","X",0.762282410717841
"norm","micePMM","X",0.878903116552714
"norm","missForest","X",0.729556601638786
"norm","rfcont10","X",0.755739441097795
"norm","micePMM","X",0.861136654953037
"norm","missForest","X",0.751756596759
"norm","rfcont10","X",0.717269403306273
"norm","micePMM","X",0.851508327528519
"norm","missForest","X",0.651146394340426
"norm","rfcont10","X",0.76232210475791
"norm","micePMM","X",0.905633099997922
"norm","missForest","X",0.696204470440116
"norm","rfcont10","X",0.738415731771419
"norm","micePMM","X",0.857297940189547
"norm","missForest","X",0.642061205439869
"norm","rfcont10","X",0.716706293885742
"norm","micePMM","X",0.866091152930662
"norm","missForest","X",0.829073027516111
"norm","rfcont10","X",0.72114765383763
"norm","micePMM","X",0.869207695741443
"norm","missForest","X",0.751602346919745
"norm","rfcont10","X",0.74313587281534
"norm","micePMM","X",0.862927690772676
"norm","missForest","X",0.772843292190244
"norm","rfcont10","X",0.707228544837471
"norm","micePMM","X",0.848664311261776
"norm","missForest","X",0.807793564575572
"norm","rfcont10","X",0.75723974607526
"norm","micePMM","X",0.904192727038339
"norm","missForest","X",0.640087876943299
"norm","rfcont10","X",0.751320764481024
"norm","micePMM","X",0.925396574495785
"norm","missForest","X",0.697841073836184
"norm","rfcont10","X",0.738692697748848
"norm","micePMM","X",0.846483611772913
"norm","missForest","X",0.849358021011017
"norm","rfcont10","X",0.754578541731684
"norm","micePMM","X",0.91279438655618
"norm","missForest","X",0.803243506817301
"norm","rfcont10","X",0.734703555040129
"norm","micePMM","X",0.854880266096795
"norm","missForest","X",0.595522596365387
"norm","rfcont10","X",0.698600594092018
"norm","micePMM","X",0.843941098924016
"norm","missForest","X",0.642241440657847
"norm","rfcont10","X",0.749412066522199
"norm","micePMM","X",0.857522478460471
"norm","missForest","X",0.662489149397187
"norm","rfcont10","X",0.696434567244315
"norm","micePMM","X",0.844225309935665
"norm","missForest","X",0.758455170927341
"norm","rfcont10","X",0.771182892053647
"norm","micePMM","X",0.862145545272599
"norm","missForest","X",0.667233335785004
"norm","rfcont10","X",0.730425381257032
"norm","micePMM","X",0.856061665819308
"norm","missForest","X",0.849524678318174
"norm","rfcont10","X",0.77277563351163
"norm","micePMM","X",0.841139797236593
"norm","missForest","X",0.801944008319326
"norm","rfcont10","X",0.748577489772781
"norm","micePMM","X",0.92508373661692
"norm","missForest","X",0.774551493084095
"norm","rfcont10","X",0.723946613740002
"norm","micePMM","X",0.877750330971228
"norm","missForest","X",0.748737855751151
"norm","rfcont10","X",0.765290704108045
"norm","micePMM","X",0.895696268824814
"norm","missForest","X",0.833343982450177
"norm","rfcont10","X",0.730213547237712
"norm","micePMM","X",0.822817406815534
"norm","missForest","X",0.727269406105696
"norm","rfcont10","X",0.737318105177753
"norm","micePMM","X",0.88187486399293
"norm","missForest","X",0.743319080435766
"norm","rfcont10","X",0.721894075823247
"norm","micePMM","X",0.858440672455609
"norm","missForest","X",0.651002708630201
"norm","rfcont10","X",0.734100777223413
"norm","micePMM","X",0.8458939428499
"norm","missForest","X",0.726096977572561
"norm","rfcont10","X",0.735328596231491
"norm","micePMM","X",0.904007283165116
"norm","missForest","X",0.649260317509273
"norm","rfcont10","X",0.779702084230594
"norm","micePMM","X",0.934340907783138
"norm","missForest","X",0.748528021246997
"norm","rfcont10","X",0.732746627906652
