"dist","estimator","col","nrmse"
"norm","mean","X",1.04583845667987
"norm","missForest","X",0.139064681073346
"norm","micePMM","X",0.268855551479467
"norm","mean","X",1.03777968302788
"norm","missForest","X",0.101409669060038
"norm","micePMM","X",0.160087451248813
"norm","mean","X",1.06517237045632
"norm","missForest","X",0.0708420496940711
"norm","micePMM","X",0.0973054093263519
"norm","mean","X",1.03674992218299
"norm","missForest","X",0.126022418441141
"norm","micePMM","X",0.187169836095963
"norm","mean","X",1.02582168580266
"norm","missForest","X",0.120033511012272
"norm","micePMM","X",0.153210743153435
"norm","mean","X",1.02611886620126
"norm","missForest","X",0.0895688784433199
"norm","micePMM","X",0.148694079704789
"norm","mean","X",1.01812638047238
"norm","missForest","X",0.156090133406499
"norm","micePMM","X",0.286705402942024
"norm","mean","X",1.02970042024792
"norm","missForest","X",0.0813681714357526
"norm","micePMM","X",0.124302155354463
"norm","mean","X",1.04631650837201
"norm","missForest","X",0.0752127676403017
"norm","micePMM","X",0.147919974510329
"norm","mean","X",1.02666674264297
"norm","missForest","X",0.529001781848477
"norm","micePMM","X",0.208207084493016
"norm","mean","X",1.0228206295326
"norm","missForest","X",0.107533795915724
"norm","micePMM","X",0.139327948323293
"norm","mean","X",1.02357193316586
"norm","missForest","X",0.0861570718947408
"norm","micePMM","X",0.145567897046822
"norm","mean","X",1.02353200869481
"norm","missForest","X",0.0810196491330208
"norm","micePMM","X",0.182493365841269
"norm","mean","X",1.03675518924175
"norm","missForest","X",0.108999133945598
"norm","micePMM","X",0.178559426667415
"norm","mean","X",1.02995735056041
"norm","missForest","X",0.141248195047235
"norm","micePMM","X",0.167904848788412
"norm","mean","X",1.03517655361785
"norm","missForest","X",0.0708863152508682
"norm","micePMM","X",0.164870276380717
"norm","mean","X",1.0207756797825
"norm","missForest","X",0.143917747458168
"norm","micePMM","X",0.238369651243808
"norm","mean","X",1.02799562336946
"norm","missForest","X",0.102551524156706
"norm","micePMM","X",0.177812165329259
"norm","mean","X",1.01099851861658
"norm","missForest","X",0.105383066401474
"norm","micePMM","X",0.145357101319122
"norm","mean","X",1.02757812634501
"norm","missForest","X",0.188820897687422
"norm","micePMM","X",0.203505438645979
"norm","mean","X",1.03583160485885
"norm","missForest","X",0.129127773807478
"norm","micePMM","X",0.142772337453449
"norm","mean","X",1.02658591473169
"norm","missForest","X",0.10572181073523
"norm","micePMM","X",0.175067597833185
"norm","mean","X",1.02498392759086
"norm","missForest","X",0.116957612757465
"norm","micePMM","X",0.330569905603691
"norm","mean","X",1.01578870870215
"norm","missForest","X",0.240079909113546
"norm","micePMM","X",0.304616835389251
"norm","mean","X",1.04484685183051
"norm","missForest","X",0.080879580278777
"norm","micePMM","X",0.110919317424108
"norm","mean","X",1.02364473002772
"norm","missForest","X",0.107779966591627
"norm","micePMM","X",0.103374805517749
"norm","mean","X",1.03147031910292
"norm","missForest","X",0.0809887312414455
"norm","micePMM","X",0.142458449904837
"norm","mean","X",1.02441686163684
"norm","missForest","X",0.172162172739434
"norm","micePMM","X",0.228433877855416
"norm","mean","X",1.03529301605443
"norm","missForest","X",0.127440368869879
"norm","micePMM","X",0.202248303756653
"norm","mean","X",1.03843900923055
"norm","missForest","X",0.136578343226974
"norm","micePMM","X",0.211098202563052
"norm","mean","X",1.02276314089828
"norm","missForest","X",0.166103071822384
"norm","micePMM","X",0.187879104564057
"norm","mean","X",1.0193492498624
"norm","missForest","X",0.100649098200379
"norm","micePMM","X",0.118028738446954
"norm","mean","X",1.02249354235644
"norm","missForest","X",0.137511655306961
"norm","micePMM","X",0.193524473810574
"norm","mean","X",1.01000699885378
