"dist","estimator","col","rel_bias"
"norm","mean","X",0.137866123911699
"norm","mean","X2",-0.17581418356231
"norm","missForest","X",-0.0040592631669979
"norm","missForest","X2",-0.0352374338870661
"norm","micePMM","X",-0.0116365463255187
"norm","micePMM","X2",-0.0245367658697611
"norm","mean","X",0.13612419387609
"norm","mean","X2",-0.18423940113236
"norm","missForest","X",-0.0170111848796943
"norm","missForest","X2",-0.0518945092691963
"norm","micePMM","X",-0.00976316409776234
"norm","micePMM","X2",-0.0215478522130979
"norm","mean","X",0.130509193639994
"norm","mean","X2",-0.179620069478221
"norm","missForest","X",-0.028346052680526
"norm","missForest","X2",-0.0529689023230466
"norm","micePMM","X",-0.0132387179872745
"norm","micePMM","X2",-0.0260505161596514
"norm","mean","X",0.159783212803001
"norm","mean","X2",-0.198487341769333
"norm","missForest","X",-0.0101026257038523
"norm","missForest","X2",-0.0429718138579918
"norm","micePMM","X",-0.00756578308729117
"norm","micePMM","X2",-0.0181030728349674
"norm","mean","X",0.133791514748863
"norm","mean","X2",-0.188638016337232
"norm","missForest","X",-0.00136078305596654
"norm","missForest","X2",-0.0385680552526263
"norm","micePMM","X",-0.017708878316524
"norm","micePMM","X2",-0.0336519034501358
"norm","mean","X",0.134823677031458
"norm","mean","X2",-0.167517748341362
"norm","missForest","X",-0.0253715882990189
"norm","missForest","X2",-0.0328645528413113
"norm","micePMM","X",-0.0100750338371167
"norm","micePMM","X2",-0.0194953558238663
"norm","mean","X",0.127776598437704
"norm","mean","X2",-0.187866045703725
"norm","missForest","X",0.00271288250633628
"norm","missForest","X2",-0.0270002620259522
"norm","micePMM","X",-0.0251766817185216
"norm","micePMM","X2",-0.0498290157910927
"norm","mean","X",0.136745967677783
"norm","mean","X2",-0.159913497585434
"norm","missForest","X",-0.000654304727708221
"norm","missForest","X2",-0.0265599070457947
"norm","micePMM","X",-0.00644978905173577
"norm","micePMM","X2",-0.00966103077021341
"norm","mean","X",0.146237699685822
"norm","mean","X2",-0.167082479728475
"norm","missForest","X",-0.0078629285802706
"norm","missForest","X2",-0.0352939585943509
"norm","micePMM","X",-0.00798846863555802
"norm","micePMM","X2",-0.0112698599426669
"norm","mean","X",0.147340708834947
"norm","mean","X2",-0.177249303039402
"norm","missForest","X",0.021750351641002
"norm","missForest","X2",0.0251995555898832
"norm","micePMM","X",-0.0111742994274179
"norm","micePMM","X2",-0.0225510382021676
"norm","mean","X",0.145724880668981
"norm","mean","X2",-0.162095936973824
"norm","missForest","X",0.00872711103572632
"norm","missForest","X2",-0.0179929655484508
"norm","micePMM","X",-0.00648845656735575
"norm","micePMM","X2",-0.0137853481738555
"norm","mean","X",0.141167439892861
"norm","mean","X2",-0.173831838336706
"norm","missForest","X",-0.00624897117261658
"norm","missForest","X2",-0.0364552957474092
"norm","micePMM","X",7.85444265833934e-05
"norm","micePMM","X2",-0.000635216488168777
"norm","mean","X",0.132826342306049
"norm","mean","X2",-0.172482686435304
"norm","missForest","X",-0.0213645325854176
"norm","missForest","X2",-0.0494430411274888
"norm","micePMM","X",-0.0124372799594885
"norm","micePMM","X2",-0.0259024504472728
"norm","mean","X",0.159091934986459
"norm","mean","X2",-0.156044902448941
"norm","missForest","X",0.0101173317725796
"norm","missForest","X2",-0.0107242308452338
"norm","micePMM","X",-0.00380967592354964
"norm","micePMM","X2",-0.00759870592232292
"norm","mean","X",0.1419488640835
"norm","mean","X2",-0.172572227365342
"norm","missForest","X",-0.0030146693224179
"norm","missForest","X2",-0.0349191014760469
"norm","micePMM","X",-0.00089869403450682
"norm","micePMM","X2",-0.00412868938681288
"norm","mean","X",0.133178127348486
"norm","mean","X2",-0.157082405882022
"norm","missForest","X",0.00132529173345253
"norm","missForest","X2",-0.0219393790721452
"norm","micePMM","X",-0.00934807200344201
"norm","micePMM","X2",-0.0193840206286411
"norm","mean","X",0.146780787470099
"norm","mean","X2",-0.168847628746074
"norm","missForest","X",0.0172423677363684
"norm","missForest","X2",0.0347108343835929
"norm","micePMM","X",-0.00848055838881967
"norm","micePMM","X2",-0.016800242124743
"norm","mean","X",0.150240929677622
"norm","mean","X2",-0.166167982194802
"norm","missForest","X",0.0107052740023923
"norm","missForest","X2",0.0171301756843514
"norm","micePMM","X",0.00153356145696559
"norm","micePMM","X2",0.00214064604655873
"norm","mean","X",0.132663289740972
"norm","mean","X2",-0.169651846114951
"norm","missForest","X",0.0189147216740526
"norm","missForest","X2",0.0322848587737319
"norm","micePMM","X",-0.0117993655107588
"norm","micePMM","X2",-0.0235970796811947
"norm","mean","X",0.137449731933206
"norm","mean","X2",-0.184893695650269
"norm","missForest","X",-0.0125915287901809
"norm","missForest","X2",-0.0263140748285954
"norm","micePMM","X",-0.0100601298833005
"norm","micePMM","X2",-0.0180827569025409
"norm","mean","X",0.148235159927567
"norm","mean","X2",-0.150684051999582
"norm","missForest","X",0.00781503753140234
"norm","missForest","X2",-0.0152082906384876
"norm","micePMM","X",-0.00579622540683922
"norm","micePMM","X2",-0.00862390477713171
"norm","mean","X",0.148098485717655
"norm","mean","X2",-0.169664247419454
"norm","missForest","X",0.00684014676209355
"norm","missForest","X2",-0.0132802900518606
"norm","micePMM","X",0.000240750497583209
"norm","micePMM","X2",-0.00312342728026294
"norm","mean","X",0.131873162568655
"norm","mean","X2",-0.175567500057402
"norm","missForest","X",-0.0014713947335353
"norm","missForest","X2",-0.0198645381009533
"norm","micePMM","X",-0.0218975994961984
"norm","micePMM","X2",-0.040847747417479
"norm","mean","X",0.140898839823813
"norm","mean","X2",-0.191835591750179
"norm","missForest","X",-0.00120707638821782
"norm","missForest","X2",-0.0246497593471751
"norm","micePMM","X",-0.0244696754645328
"norm","micePMM","X2",-0.0467276807425178
"norm","mean","X",0.133776078346162
"norm","mean","X2",-0.188478702141747
"norm","missForest","X",-0.00345768343040853
"norm","missForest","X2",-0.0305891822693505
"norm","micePMM","X",-0.0150713457368242
"norm","micePMM","X2",-0.0321698177043114
"norm","mean","X",0.13583701330601
"norm","mean","X2",-0.193141034206612
"norm","missForest","X",-0.00262506613142943
"norm","missForest","X2",-0.036939165259452
"norm","micePMM","X",-0.0140260512032447
"norm","micePMM","X2",-0.0264093860558751
"norm","mean","X",0.153559919344488
"norm","mean","X2",-0.20861422821039
"norm","missForest","X",-0.0095683734392924
"norm","missForest","X2",-0.030818281972531
"norm","micePMM","X",-0.0133157018911865
"norm","micePMM","X2",-0.0240970980965621
"norm","mean","X",0.153613544899048
"norm","mean","X2",-0.17346700692057
"norm","missForest","X",0.0177242731931737
"norm","missForest","X2",0.0188229017650334
"norm","micePMM","X",-0.00766327021184665
"norm","micePMM","X2",-0.0150134580028229
"norm","mean","X",0.119640244781034
"norm","mean","X2",-0.178768200613875
"norm","missForest","X",-0.00882209395699318
"norm","missForest","X2",-0.0328043248707077
"norm","micePMM","X",-0.0223246210695185
"norm","micePMM","X2",-0.0431018577603115
"norm","mean","X",0.148492127610227
"norm","mean","X2",-0.175337319363294
"norm","missForest","X",-0.000973625657583077
"norm","missForest","X2",-0.028431036714004
"norm","micePMM","X",-0.0133562032821075
"norm","micePMM","X2",-0.0235952936604161
"norm","mean","X",0.142282875073881
"norm","mean","X2",-0.204291141838724
"norm","missForest","X",0.0125079633665928
"norm","missForest","X2",2.00621960895209e-05
"norm","micePMM","X",-0.0178873724504949
"norm","micePMM","X2",-0.0311892144682578
"norm","mean","X",0.144267393528693
"norm","mean","X2",-0.15579150064557
"norm","missForest","X",0.0174217770876131
"norm","missForest","X2",0.0147816524816555
"norm","micePMM","X",-0.00132712419378878
"norm","micePMM","X2",-0.00231157845018326
"norm","mean","X",0.140557769120298
"norm","mean","X2",-0.18846544968259
"norm","missForest","X",0.000747172032121934
"norm","missForest","X2",-0.0151661037439701
"norm","micePMM","X",-0.0127142108216141
"norm","micePMM","X2",-0.0221892000883096
"norm","mean","X",0.146159404305005
"norm","mean","X2",-0.169750870796554
"norm","missForest","X",0.0309106714041725
"norm","missForest","X2",0.0558897121598148
"norm","micePMM","X",-0.00925490534565543
"norm","micePMM","X2",-0.0174249309640675
"norm","mean","X",0.146143082226266
"norm","mean","X2",-0.17870661958305
"norm","missForest","X",0.00873113459807207
"norm","missForest","X2",-0.0120737438983655
"norm","micePMM","X",-0.00329085597994361
"norm","micePMM","X2",-0.00845874266169233
"norm","mean","X",0.149319866887945
"norm","mean","X2",-0.183080378136443
"norm","missForest","X",-0.00362797845496521
"norm","missForest","X2",-0.0358211127734483
"norm","micePMM","X",-0.00815275826230122
"norm","micePMM","X2",-0.0130420694742851
"norm","mean","X",0.138468572318606
"norm","mean","X2",-0.167292974989129
"norm","missForest","X",0.0149894668749195
"norm","missForest","X2",0.0163078535656058
"norm","micePMM","X",-0.0087094940339526
"norm","micePMM","X2",-0.0151658182654599
"norm","mean","X",0.128011675532125
"norm","mean","X2",-0.187767124168948
"norm","missForest","X",0.0056453991770673
"norm","missForest","X2",-0.00787050411960699
"norm","micePMM","X",-0.0203818552799587
"norm","micePMM","X2",-0.0376516306794014
"norm","mean","X",0.138098487897251
"norm","mean","X2",-0.180997176956987
"norm","missForest","X",0.0156812372557436
"norm","missForest","X2",0.042540502638807
"norm","micePMM","X",-0.0201622859444971
"norm","micePMM","X2",-0.0387960758064056
"norm","mean","X",0.13220530107358
"norm","mean","X2",-0.172830854529613
"norm","missForest","X",-0.00401065228027453
"norm","missForest","X2",-0.0346760388445342
"norm","micePMM","X",-0.0154336472787754
"norm","micePMM","X2",-0.0303771167924153
"norm","mean","X",0.152240148343518
"norm","mean","X2",-0.165882279271222
"norm","missForest","X",0.0101807711925335
"norm","missForest","X2",-0.0148752958920465
"norm","micePMM","X",-0.00151460402323012
"norm","micePMM","X2",-0.00326834520417874
"norm","mean","X",0.151145483488134
