"dist","estimator","col","relb_coef"
"norm","mean","X",-1.74047233929498
"norm","mean","X2",-1.03571418236464
"norm","missForest","X",-3.31571658533892
"norm","missForest","X2",-1.94391922543905
"norm","micePMM","X",0.0224272138541267
"norm","micePMM","X2",-0.00393644641805039
"norm","mean","X",0.280623003651111
"norm","mean","X2",8.47990943208696
"norm","missForest","X",5.21972626359783
"norm","missForest","X2",141.297048510779
"norm","micePMM","X",-1.33550412612168
"norm","micePMM","X2",-34.1872808709741
"norm","mean","X",-2.69405024136971
"norm","mean","X2",-1.09852835247887
"norm","missForest","X",-3.83602721069622
"norm","missForest","X2",-1.5906782751668
"norm","micePMM","X",1.51116138673034
"norm","micePMM","X2",0.540100121963529
"norm","mean","X",22.7328298179577
"norm","mean","X2",-1.95220116906516
"norm","missForest","X",30.4008177240027
"norm","missForest","X2",-2.63763371138658
"norm","micePMM","X",12.0843765363468
"norm","micePMM","X2",-1.17460856509484
"norm","mean","X",3.46955840226757
"norm","mean","X2",-2.7220470450374
"norm","missForest","X",-0.750988302644286
"norm","missForest","X2",-0.420538928215766
"norm","micePMM","X",-2.07216741915934
"norm","micePMM","X2",1.22423304283316
"norm","mean","X",-10.2731320196415
"norm","mean","X2",-1.1885066817596
"norm","missForest","X",-20.2178487196397
"norm","missForest","X2",-2.3379439512823
"norm","micePMM","X",10.6528514263448
"norm","micePMM","X2",1.05576956184431
"norm","mean","X",-3.12503997679037
"norm","mean","X2",-1.26009452611991
"norm","missForest","X",-6.69005534590037
"norm","missForest","X2",-2.82287128342453
"norm","micePMM","X",1.15022593493234
"norm","micePMM","X2",0.365495366145928
"norm","mean","X",8.79339323814267
"norm","mean","X2",-1.75734590511428
"norm","missForest","X",19.1018170282597
"norm","missForest","X2",-3.50066769498667
"norm","micePMM","X",-1.96171363120248
"norm","micePMM","X2",-0.0734928395479048
"norm","mean","X",2.33816534475886
"norm","mean","X2",-1.97750559023891
"norm","missForest","X",8.87183719843308
"norm","missForest","X2",-7.51090336884524
"norm","micePMM","X",-2.37763391011184
"norm","micePMM","X2",1.73676818322436
"norm","mean","X",-11.9929095029659
"norm","mean","X2",-1.05127258018834
"norm","missForest","X",-43.4687198392987
"norm","missForest","X2",-3.99128228455299
"norm","micePMM","X",18.1866036649363
"norm","micePMM","X2",1.43793773668709
"norm","mean","X",0.977045668112174
"norm","mean","X2",-1.92254762775118
"norm","missForest","X",10.4429283091873
"norm","missForest","X2",-22.9045519297081
"norm","micePMM","X",-0.674628280669096
"norm","micePMM","X2",1.02388961062269
"norm","mean","X",-0.0319405113726729
"norm","mean","X2",-0.0190180739639017
"norm","missForest","X",2.22550968293811
"norm","missForest","X2",6.98439087519386
