"","dist","estimator","col","rel_bias"
"1","norm_mix1","missForest","X",0.00161669572632772
"2","norm_mix1","missForest","X2",0.00160853740076261
"3","norm_mix1","rfcont10","X",-0.000632246813730086
"4","norm_mix1","rfcont10","X2",-0.00323464136739759
"5","norm_mix1","micePMM","X",0.0777673676364061
"6","norm_mix1","micePMM","X2",0.246159825501182
"7","norm_mix1","missForest","X",0.00129898059702072
"8","norm_mix1","missForest","X2",-0.00113833074845748
"9","norm_mix1","rfcont10","X",-0.0018581643694805
"10","norm_mix1","rfcont10","X2",-0.00680394834644538
"11","norm_mix1","micePMM","X",0.0191195560464168
"12","norm_mix1","micePMM","X2",0.11231209151359
"13","norm_mix1","missForest","X",0.00253638552320679
"14","norm_mix1","missForest","X2",-0.000680417295056301
"15","norm_mix1","rfcont10","X",-0.000320156617235834
"16","norm_mix1","rfcont10","X2",-0.00469979513134711
"17","norm_mix1","micePMM","X",0.0734558703155233
"18","norm_mix1","micePMM","X2",0.232291304018466
"19","norm_mix1","missForest","X",0.00230245513684846
"20","norm_mix1","missForest","X2",-0.000735062568002376
"21","norm_mix1","rfcont10","X",-0.00114634081352694
"22","norm_mix1","rfcont10","X2",-0.00512660959117783
"23","norm_mix1","micePMM","X",0.0444111619220755
"24","norm_mix1","micePMM","X2",0.157959663279772
"25","norm_mix1","missForest","X",0.00368346008414067
"26","norm_mix1","missForest","X2",-0.00154872369768588
"27","norm_mix1","rfcont10","X",-0.000536799856547754
"28","norm_mix1","rfcont10","X2",-0.00306567020145121
"29","norm_mix1","micePMM","X",0.0524791437797765
"30","norm_mix1","micePMM","X2",0.194555460590374
"31","norm_mix1","missForest","X",0.00227914104105253
"32","norm_mix1","missForest","X2",-0.000769609436018781
"33","norm_mix1","rfcont10","X",-0.000690837061006255
"34","norm_mix1","rfcont10","X2",-0.00620140530008473
"35","norm_mix1","micePMM","X",0.0672596931155678
"36","norm_mix1","micePMM","X2",0.175391845189751
"37","norm_mix1","missForest","X",0.00149701377545752
"38","norm_mix1","missForest","X2",0.000186425359766096
"39","norm_mix1","rfcont10","X",-0.00113598728038855
"40","norm_mix1","rfcont10","X2",-0.00365404977405359
"41","norm_mix1","micePMM","X",0.0270573063521027
"42","norm_mix1","micePMM","X2",0.11518484946895
"43","norm_mix1","missForest","X",0.000882340012540395
"44","norm_mix1","missForest","X2",-0.00604656331288078
"45","norm_mix1","rfcont10","X",-0.00220080933691402
"46","norm_mix1","rfcont10","X2",-0.0126344343583668
"47","norm_mix1","micePMM","X",0.0531986587093951
"48","norm_mix1","micePMM","X2",0.14728891696484
"49","norm_mix1","missForest","X",-0.000776190676367028
"50","norm_mix1","missForest","X2",-0.00398612816243671
"51","norm_mix1","rfcont10","X",-0.00208856322258777
"52","norm_mix1","rfcont10","X2",-0.0046826437323616
"53","norm_mix1","micePMM","X",0.0335160070695804
"54","norm_mix1","micePMM","X2",0.162004921463168
"55","norm_mix1","missForest","X",0.0048938903434137
"56","norm_mix1","missForest","X2",0.00242185130019701
"57","norm_mix1","rfcont10","X",0.00188514666663187
"58","norm_mix1","rfcont10","X2",0.000339499551123446
"59","norm_mix1","micePMM","X",0.0398745318800189
"60","norm_mix1","micePMM","X2",0.179005692938777
"61","norm_mix1","missForest","X",0.002648151837088
"62","norm_mix1","missForest","X2",-0.000150839078702725
"63","norm_mix1","rfcont10","X",0.00128716779324667
"64","norm_mix1","rfcont10","X2",-0.00124897417619485
"65","norm_mix1","micePMM","X",0.0393025436737706
"66","norm_mix1","micePMM","X2",0.135846832315927
"67","norm_mix1","missForest","X",0.0021372862918756
"68","norm_mix1","missForest","X2",-0.00127331754474258
"69","norm_mix1","rfcont10","X",0.00214196862093385
"70","norm_mix1","rfcont10","X2",0.00073845350558055
"71","norm_mix1","micePMM","X",0.0721854320375115
