"dist","estimator","col","nrmse"
"norm","missFor","X",0.125372367198291
"norm","miceRf","X",0.23907196709506
"norm","micePmm","X",0.204761014505884
"norm","missFor","X",0.0753809411919536
"norm","miceRf","X",0.215980305146233
"norm","micePmm","X",0.12302003435869
"norm","missFor","X",0.123547455927504
"norm","miceRf","X",0.2583688310639
"norm","micePmm","X",0.173218585314572
"norm","missFor","X",0.0781320828893917
"norm","miceRf","X",0.172701780485476
"norm","micePmm","X",0.18713609853005
"norm","missFor","X",0.129021086623581
"norm","miceRf","X",0.248315695438225
"norm","micePmm","X",0.197033331121784
"norm","missFor","X",0.0866692860929893
"norm","miceRf","X",0.238853132637994
"norm","micePmm","X",0.133692295991166
"norm","missFor","X",0.170123819116404
"norm","miceRf","X",0.247943734519946
"norm","micePmm","X",0.226329503790711
"norm","missFor","X",0.113701790526822
"norm","miceRf","X",0.180875872158294
"norm","micePmm","X",0.172060217420741
"norm","missFor","X",0.0962532058774759
"norm","miceRf","X",0.222803545517509
"norm","micePmm","X",0.149383824564962
"norm","missFor","X",0.171268685151674
"norm","miceRf","X",0.231825735864261
"norm","micePmm","X",0.194218677661616
"norm","missFor","X",0.120568715306933
"norm","miceRf","X",0.333109230597234
"norm","micePmm","X",0.169511429314663
"norm","missFor","X",0.186658874771303
"norm","miceRf","X",0.339515490643522
"norm","micePmm","X",0.260134769109287
"norm","missFor","X",0.0817571123746407
"norm","miceRf","X",0.247093748095987
"norm","micePmm","X",0.124165986935109
"norm","missFor","X",0.0991266747765521
"norm","miceRf","X",0.200839993307089
"norm","micePmm","X",0.168744074761911
"norm","missFor","X",0.100389257881644
"norm","miceRf","X",0.267503453347883
"norm","micePmm","X",0.152334194205006
"norm","missFor","X",0.137103883422836
"norm","miceRf","X",0.286175018714437
"norm","micePmm","X",0.206845494875144
"norm","missFor","X",0.153094812340403
"norm","miceRf","X",0.383744812051633
"norm","micePmm","X",0.206293831267231
"norm","missFor","X",0.111080532068794
"norm","miceRf","X",0.239053560469819
"norm","micePmm","X",0.203926919995032
"norm","missFor","X",0.0847528029356167
"norm","miceRf","X",0.230204266463228
"norm","micePmm","X",0.199751860832253
"norm","missFor","X",0.186360935027069
"norm","miceRf","X",0.36086248779975
"norm","micePmm","X",0.211718817452856
"norm","missFor","X",0.0814599793972432
"norm","miceRf","X",0.17144739788799
"norm","micePmm","X",0.0949602355368011
"norm","missFor","X",0.108497086724107
"norm","miceRf","X",0.292176296585645
"norm","micePmm","X",0.19648381074909
"norm","missFor","X",0.0798160037388866
"norm","miceRf","X",0.279294316601975
"norm","micePmm","X",0.136587891028532
"norm","missFor","X",0.102630946903028
"norm","miceRf","X",0.241737654765243
"norm","micePmm","X",0.133863859259147
"norm","missFor","X",0.12872436735147
"norm","miceRf","X",0.266668115940649
"norm","micePmm","X",0.186720047430984
"norm","missFor","X",0.152679270412361
"norm","miceRf","X",0.2232552077102
"norm","micePmm","X",0.186905600326558
"norm","missFor","X",0.101793636358338
"norm","miceRf","X",0.261412194160475
"norm","micePmm","X",0.17066209489594
"norm","missFor","X",0.17137777231435
"norm","miceRf","X",0.248154024141189
"norm","micePmm","X",0.297444601352765
"norm","missFor","X",0.0989654556213317
"norm","miceRf","X",0.274171499423762
"norm","micePmm","X",0.168837539944404
"norm","missFor","X",0.153629363399694
"norm","miceRf","X",0.372616204336342
"norm","micePmm","X",0.225735443983619
"norm","missFor","X",0.114918391743119
"norm","miceRf","X",0.358081419667426
"norm","micePmm","X",0.195091639721206
"norm","missFor","X",0.102676127769109
"norm","miceRf","X",0.30702074783717
"norm","micePmm","X",0.184995379966149
"norm","missFor","X",0.114599607814528
"norm","miceRf","X",0.247762202307665
"norm","micePmm","X",0.156150343986102
"norm","missFor","X",0.0885247329406742
"norm","miceRf","X",0.29206292670443
"norm","micePmm","X",0.132519798670927
"norm","missFor","X",0.140108984601268
"norm","miceRf","X",0.332522320663193
"norm","micePmm","X",0.259072679917005
"norm","missFor","X",0.159149915232226
"norm","miceRf","X",0.334407187387376
"norm","micePmm","X",0.20766939538007
"norm","missFor","X",0.145264962535175
"norm","miceRf","X",0.246968974650873
"norm","micePmm","X",0.189149848561076
"norm","missFor","X",0.112364194227521
"norm","miceRf","X",0.234925518082626
"norm","micePmm","X",0.156909255403301
"norm","missFor","X",0.105507828352179
"norm","miceRf","X",0.21285322825548
"norm","micePmm","X",0.181368511593066
"norm","missFor","X",0.0779157853182739
"norm","miceRf","X",0.200381651490674
"norm","micePmm","X",0.124822759051047
"norm","missFor","X",0.138945438425279
"norm","miceRf","X",0.306850694592447
"norm","micePmm","X",0.203767706735605
"norm","missFor","X",0.117611953440781
"norm","miceRf","X",0.211129494473343
"norm","micePmm","X",0.202452755898006
"norm","missFor","X",0.0980674969620447
"norm","miceRf","X",0.250889082219641
"norm","micePmm","X",0.218046773256109
"norm","missFor","X",0.119397514376432
"norm","miceRf","X",0.279363287975322
"norm","micePmm","X",0.184289089867092
"norm","missFor","X",0.137267719097073
"norm","miceRf","X",0.310230637514672
"norm","micePmm","X",0.259021935364047
"norm","missFor","X",0.0911802339990285
"norm","miceRf","X",0.258327268003893
"norm","micePmm","X",0.197970003640408
"norm","missFor","X",0.302114374265147
"norm","miceRf","X",0.342533460665474
"norm","micePmm","X",0.368883550429077
"norm","missFor","X",0.172701373951869
"norm","miceRf","X",0.233311749645083
"norm","micePmm","X",0.24947597755674
"norm","missFor","X",0.163457978453923
"norm","miceRf","X",0.298965696306747
"norm","micePmm","X",0.226774427942861
"norm","missFor","X",0.106664465214293
"norm","miceRf","X",0.200620909222612
"norm","micePmm","X",0.16110261955878
"norm","missFor","X",0.130118051386398
"norm","miceRf","X",0.254958176357103
"norm","micePmm","X",0.158168457838595
"norm","missFor","X",0.124291877052707
"norm","miceRf","X",0.285615144059158
"norm","micePmm","X",0.214725090951551
"norm","missFor","X",0.157382000820416
"norm","miceRf","X",0.20430626441742
"norm","micePmm","X",0.248182689065473
"norm","missFor","X",0.103047398148379
"norm","miceRf","X",0.198923903724156
"norm","micePmm","X",0.138699557928334
"norm","missFor","X",0.153406729617506
"norm","miceRf","X",0.243927107256569
"norm","micePmm","X",0.234215053643806
"norm","missFor","X",0.112262124174311
"norm","miceRf","X",0.229438198062241
"norm","micePmm","X",0.163497591848661
"norm","missFor","X",0.0845112644797347
"norm","miceRf","X",0.197610897682889
"norm","micePmm","X",0.0847595956573741
"norm","missFor","X",0.107889985551327
"norm","miceRf","X",0.315673437471702
"norm","micePmm","X",0.165409834323094
"norm","missFor","X",0.0965405807728703
"norm","miceRf","X",0.30274472538723
"norm","micePmm","X",0.146815356571597
"norm","missFor","X",0.120227443896882
"norm","miceRf","X",0.191496406351166
"norm","micePmm","X",0.21413365263202
"norm","missFor","X",0.184326983333623
"norm","miceRf","X",0.247757469404599
"norm","micePmm","X",0.201851847943343
"norm","missFor","X",0.190241309869618
"norm","miceRf","X",0.353047562795247
"norm","micePmm","X",0.22613922122134
"norm","missFor","X",0.104519564771345
"norm","miceRf","X",0.36080536129269
"norm","micePmm","X",0.158545120413116
"norm","missFor","X",0.073374691190437
"norm","miceRf","X",0.286841247615025
"norm","micePmm","X",0.0980646832289936
"norm","missFor","X",0.139511258067916
"norm","miceRf","X",0.235694897126329
"norm","micePmm","X",0.216484281376611
"norm","missFor","X",0.0866968650629332
"norm","miceRf","X",0.316267565586225
"norm","micePmm","X",0.170837539730945
"norm","missFor","X",0.0914434807696647
"norm","miceRf","X",0.16334393137071
"norm","micePmm","X",0.116982405153697
"norm","missFor","X",0.119568630172876
"norm","miceRf","X",0.346403284948927
"norm","micePmm","X",0.158867625550547
"norm","missFor","X",0.172887070229214
"norm","miceRf","X",0.304428503520979
"norm","micePmm","X",0.2002584642853
"norm","missFor","X",0.125996940645597
"norm","miceRf","X",0.246999102704574
"norm","micePmm","X",0.153197767451062
"norm","missFor","X",0.0947608069268092
"norm","miceRf","X",0.295776672002089
"norm","micePmm","X",0.211992043623793
"norm","missFor","X",0.0743610581422429
"norm","miceRf","X",0.175305333925576
"norm","micePmm","X",0.139579136458493
"norm","missFor","X",0.0664248535380693
"norm","miceRf","X",0.198433938909375
"norm","micePmm","X",0.111755450894339
"norm","missFor","X",0.0719264703847829
"norm","miceRf","X",0.205648106865058
"norm","micePmm","X",0.144627837245475
"norm","missFor","X",0.12465335558408
"norm","miceRf","X",0.221362310410111
"norm","micePmm","X",0.155954547826933
"norm","missFor","X",0.131032831051905
"norm","miceRf","X",0.298455424840745
"norm","micePmm","X",0.177669950098575
"norm","missFor","X",0.136186582037993
"norm","miceRf","X",0.254118494270707
"norm","micePmm","X",0.185202764615126
"norm","missFor","X",0.0768940863363068
"norm","miceRf","X",0.287561395648119
"norm","micePmm","X",0.110935121469553
"norm","missFor","X",0.219638158251389
"norm","miceRf","X",0.283439122688002
"norm","micePmm","X",0.273488472690004
"norm","missFor","X",0.0706508547120787
"norm","miceRf","X",0.191005324324766
"norm","micePmm","X",0.137468105759702
"norm","missFor","X",0.0842493659159975
"norm","miceRf","X",0.13476777225811
"norm","micePmm","X",0.147527523410596
"norm","missFor","X",0.077719911311463
"norm","miceRf","X",0.244205356165028
"norm","micePmm","X",0.206966740942298
"norm","missFor","X",0.0860358291625455
"norm","miceRf","X",0.295150312570893
"norm","micePmm","X",0.221355290833911
"norm","missFor","X",0.0878081430667835
"norm","miceRf","X",0.203083822580469
"norm","micePmm","X",0.138492580726101
"norm","missFor","X",0.120492062374564
"norm","miceRf","X",0.28913173802024
"norm","micePmm","X",0.201468985157605
"norm","missFor","X",0.0985939702436649
"norm","miceRf","X",0.196415506096872
"norm","micePmm","X",0.164023639686906
"norm","missFor","X",0.118099292305829
"norm","miceRf","X",0.236364290646257
"norm","micePmm","X",0.132297218416818
"norm","missFor","X",0.0932638178761864
"norm","miceRf","X",0.214590969821483
"norm","micePmm","X",0.115373916097313
"norm","missFor","X",0.0847507876352803
