"dist","estimator","col","nrmse"
"norm","missForest","X",0.100066525869763
"norm","rfcont10","X",0.130124138007412
"norm","rfdoove10","X",0.132259231983919
"norm","micePMM","X",0.153618026183253
"norm","missForest","X",0.108661368603159
"norm","rfcont10","X",0.164348186278032
"norm","rfdoove10","X",0.138638924891456
"norm","micePMM","X",0.160305487719549
"norm","missForest","X",0.109409474755903
"norm","rfcont10","X",0.133102482070729
"norm","rfdoove10","X",0.154002935768996
"norm","micePMM","X",0.171933660128376
"norm","missForest","X",0.106931150306802
"norm","rfcont10","X",0.151865993271272
"norm","rfdoove10","X",0.149562618468471
"norm","micePMM","X",0.183784760833069
"norm","missForest","X",0.103867652335299
"norm","rfcont10","X",0.118101696286313
"norm","rfdoove10","X",0.138539366149315
"norm","micePMM","X",0.153511307865646
"norm","missForest","X",0.0998530408179212
"norm","rfcont10","X",0.119460974607396
"norm","rfdoove10","X",0.120874996845512
"norm","micePMM","X",0.142112805826594
"norm","missForest","X",0.107749509856767
"norm","rfcont10","X",0.142159831207295
"norm","rfdoove10","X",0.16613482555037
"norm","micePMM","X",0.195210660489204
"norm","missForest","X",0.0628262451368978
"norm","rfcont10","X",0.0644072011731374
"norm","rfdoove10","X",0.102952007103222
"norm","micePMM","X",0.203307544495323
"norm","missForest","X",0.136688509139985
"norm","rfcont10","X",0.154658749741322
"norm","rfdoove10","X",0.169260912443701
"norm","micePMM","X",0.250634972717718
"norm","missForest","X",0.140410792732452
"norm","rfcont10","X",0.15376700873287
"norm","rfdoove10","X",0.182553826840239
"norm","micePMM","X",0.207784247538314
"norm","missForest","X",0.138477502022847
"norm","rfcont10","X",0.161228501377468
"norm","rfdoove10","X",0.157073585742857
"norm","micePMM","X",0.170863325352823
"norm","missForest","X",0.108162985234849
"norm","rfcont10","X",0.137825515750825
"norm","rfdoove10","X",0.139423174787396
"norm","micePMM","X",0.175088183317316
"norm","missForest","X",0.111204766678414
"norm","rfcont10","X",0.180079794663972
"norm","rfdoove10","X",0.111679586049114
"norm","micePMM","X",0.182958200363559
"norm","missForest","X",0.0702184762157989
"norm","rfcont10","X",0.090781001021015
"norm","rfdoove10","X",0.123734586208629
"norm","micePMM","X",0.228359384212108
"norm","missForest","X",0.119435186040099
"norm","rfcont10","X",0.170591750925123
"norm","rfdoove10","X",0.182127909424949
"norm","micePMM","X",0.196861296190787
"norm","missForest","X",0.101089968061493
"norm","rfcont10","X",0.122781770330317
"norm","rfdoove10","X",0.123911996170314
"norm","micePMM","X",0.175161583610568
"norm","missForest","X",0.0763936915752763
"norm","rfcont10","X",0.0773073266004621
"norm","rfdoove10","X",0.0924161290016588
"norm","micePMM","X",0.201714901233202
"norm","missForest","X",0.108389637010557
"norm","rfcont10","X",0.138880523553123
"norm","rfdoove10","X",0.180753702544303
"norm","micePMM","X",0.201985329641679
"norm","missForest","X",0.192684942157066
"norm","rfcont10","X",0.197110930420333
"norm","rfdoove10","X",0.189796262639907
"norm","micePMM","X",0.226065393785236
"norm","missForest","X",0.150529201410359
"norm","rfcont10","X",0.176963700055235
"norm","rfdoove10","X",0.181912297113314
"norm","micePMM","X",0.235690568618823
"norm","missForest","X",0.105180610433035
"norm","rfcont10","X",0.135691285118628
"norm","rfdoove10","X",0.147911708970806
"norm","micePMM","X",0.177028058131455
"norm","missForest","X",0.0836723835617677
"norm","rfcont10","X",0.095663716102847
"norm","rfdoove10","X",0.124729579675397
"norm","micePMM","X",0.188902016707317
"norm","missForest","X",0.0815040549633547
"norm","rfcont10","X",0.123098587473979
"norm","rfdoove10","X",0.120694272906833
"norm","micePMM","X",0.164468303622208
"norm","missForest","X",0.10449489097865
"norm","rfcont10","X",0.149911319810483
"norm","rfdoove10","X",0.15906134424607
"norm","micePMM","X",0.183077538194839
"norm","missForest","X",0.106112489346992
"norm","rfcont10","X",0.126215497990208
"norm","rfdoove10","X",0.124109033832307
"norm","micePMM","X",0.145922154220081
"norm","missForest","X",0.085301483753689
"norm","rfcont10","X",0.145399395077749
"norm","rfdoove10","X",0.126817957373088
"norm","micePMM","X",0.162037571720799
"norm","missForest","X",0.115154671595358
"norm","rfcont10","X",0.15738084576511
"norm","rfdoove10","X",0.164777747831837
"norm","micePMM","X",0.190840399576416
"norm","missForest","X",0.112689063446449
"norm","rfcont10","X",0.134055849678313
"norm","rfdoove10","X",0.136598967161822
"norm","micePMM","X",0.140347467192606
"norm","missForest","X",0.167159994994288
"norm","rfcont10","X",0.190015235570528
"norm","rfdoove10","X",0.192820431056525
"norm","micePMM","X",0.236923184188269
"norm","missForest","X",0.0874751960661991
"norm","rfcont10","X",0.112842384806989
"norm","rfdoove10","X",0.102379497247341
"norm","micePMM","X",0.147492752744343
"norm","missForest","X",0.143602038589171
"norm","rfcont10","X",0.154867279875055
"norm","rfdoove10","X",0.168150440348139
"norm","micePMM","X",0.218961702252433
"norm","missForest","X",0.112435094013268
"norm","rfcont10","X",0.125049860249799
"norm","rfdoove10","X",0.135757111045354
"norm","micePMM","X",0.171698602835144
"norm","missForest","X",0.0970729789183615
"norm","rfcont10","X",0.161891558355177
"norm","rfdoove10","X",0.156614136538258
"norm","micePMM","X",0.165929701942456
"norm","missForest","X",0.133398657319806
"norm","rfcont10","X",0.145725115233618
"norm","rfdoove10","X",0.15753181099539
"norm","micePMM","X",0.194157051599222
"norm","missForest","X",0.126848756826026
"norm","rfcont10","X",0.167179838023742
"norm","rfdoove10","X",0.177792628489229
"norm","micePMM","X",0.189380251873795
"norm","missForest","X",0.0755213759339308
"norm","rfcont10","X",0.0933604455002509
"norm","rfdoove10","X",0.0997759131084171
"norm","micePMM","X",0.15924208253158
"norm","missForest","X",0.156890017881697
"norm","rfcont10","X",0.17814459630511
"norm","rfdoove10","X",0.18661052443593
"norm","micePMM","X",0.204718530994437
"norm","missForest","X",0.134276753666943
"norm","rfcont10","X",0.151200923636359
"norm","rfdoove10","X",0.174759450571395
"norm","micePMM","X",0.235504451981235
"norm","missForest","X",0.0898543181083613
"norm","rfcont10","X",0.11674819605266
"norm","rfdoove10","X",0.121380046407287
"norm","micePMM","X",0.153719207714539
"norm","missForest","X",0.105294000408186
"norm","rfcont10","X",0.112199468759158
"norm","rfdoove10","X",0.124273917717916
"norm","micePMM","X",0.119632287062444
"norm","missForest","X",0.140687334266984
"norm","rfcont10","X",0.153442037408922
"norm","rfdoove10","X",0.1549406423253
"norm","micePMM","X",0.219731021191609
"norm","missForest","X",0.0745923759068175
"norm","rfcont10","X",0.0842303614427664
"norm","rfdoove10","X",0.103672601660932
"norm","micePMM","X",0.0952486708605556
"norm","missForest","X",0.186639456921817
"norm","rfcont10","X",0.19140157288313
"norm","rfdoove10","X",0.207787109835502
"norm","micePMM","X",0.277684592447468
"norm","missForest","X",0.11885051102014
"norm","rfcont10","X",0.172176074132743
"norm","rfdoove10","X",0.160196558263195
"norm","micePMM","X",0.198138516653875
"norm","missForest","X",0.144932717997292
"norm","rfcont10","X",0.174762035548478
"norm","rfdoove10","X",0.186532016774137
"norm","micePMM","X",0.20974281955897
"norm","missForest","X",0.116801825731539
"norm","rfcont10","X",0.130056280161903
"norm","rfdoove10","X",0.139256266714728
"norm","micePMM","X",0.133056358390894
"norm","missForest","X",0.0816639560297873
