"","dist","estimator","col","nrmse"
"1","norm","missForest","X",0.673436056264201
"2","norm","rfcont10","X",0.65833797629825
"3","norm","micePMM","X",0.892108362918446
"4","norm","missForest","X",0.666833946243386
"5","norm","rfcont10","X",0.676883246617088
"6","norm","micePMM","X",0.887549559260878
"7","norm","missForest","X",0.65711307584183
"8","norm","rfcont10","X",0.653688982275457
"9","norm","micePMM","X",0.898211227939686
"10","norm","missForest","X",0.710355253082917
"11","norm","rfcont10","X",0.69472153921161
"12","norm","micePMM","X",0.893597581462312
"13","norm","missForest","X",0.630009618714274
"14","norm","rfcont10","X",0.641729122709509
"15","norm","micePMM","X",0.877809345268663
"16","norm","missForest","X",0.656751784993864
"17","norm","rfcont10","X",0.642968405418448
"18","norm","micePMM","X",0.866389168383314
"19","norm","missForest","X",0.630425428831559
"20","norm","rfcont10","X",0.665040794460516
"21","norm","micePMM","X",0.825213227826087
"22","norm","missForest","X",0.689417502694952
"23","norm","rfcont10","X",0.70878825495547
"24","norm","micePMM","X",0.958119960632234
"25","norm","missForest","X",0.64851303614216
"26","norm","rfcont10","X",0.672670886993367
"27","norm","micePMM","X",0.878415756212731
"28","norm","missForest","X",0.662507716253694
"29","norm","rfcont10","X",0.648240344140553
"30","norm","micePMM","X",0.928549923740293
"31","norm","missForest","X",0.650846510070006
"32","norm","rfcont10","X",0.677325814514958
"33","norm","micePMM","X",0.871720235860773
"34","norm","missForest","X",0.660075371606464
"35","norm","rfcont10","X",0.649459868236883
"36","norm","micePMM","X",0.861644189395494
"37","norm","missForest","X",0.665017187791965
"38","norm","rfcont10","X",0.695276413736866
"39","norm","micePMM","X",0.910185576186014
"40","norm","missForest","X",0.654154799728399
"41","norm","rfcont10","X",0.654835213183752
"42","norm","micePMM","X",0.855939441431673
"43","norm","missForest","X",0.664975934880986
"44","norm","rfcont10","X",0.625040013008173
"45","norm","micePMM","X",0.864692453521074
"46","norm","missForest","X",0.628112371488705
"47","norm","rfcont10","X",0.658339245022696
"48","norm","micePMM","X",0.817247725150956
"49","norm","missForest","X",0.681040085487099
"50","norm","rfcont10","X",0.676706202131412
"51","norm","micePMM","X",0.908437778361059
"52","norm","missForest","X",0.620444014701921
"53","norm","rfcont10","X",0.646212028255894
"54","norm","micePMM","X",0.909516248139175
"55","norm","missForest","X",0.720727071658599
"56","norm","rfcont10","X",0.673493905447967
"57","norm","micePMM","X",0.865616266701625
"58","norm","missForest","X",0.643581240391292
"59","norm","rfcont10","X",0.701468695578313
"60","norm","micePMM","X",0.928071395799926
"61","norm","missForest","X",0.657655069809241
"62","norm","rfcont10","X",0.654320157903447
"63","norm","micePMM","X",0.886776295487336
"64","norm","missForest","X",0.653821755071055
"65","norm","rfcont10","X",0.650341818383595
"66","norm","micePMM","X",0.979688874607355
"67","norm","missForest","X",0.687000383566342
"68","norm","rfcont10","X",0.704960875935929
"69","norm","micePMM","X",0.816194923633095
"70","norm","missForest","X",0.636941998962424
"71","norm","rfcont10","X",0.658711634408065
"72","norm","micePMM","X",0.872614697893083
"73","norm","missForest","X",0.640722547486187
"74","norm","rfcont10","X",0.670320015715097
"75","norm","micePMM","X",0.895056461967762
"76","norm","missForest","X",0.662237373998497
"77","norm","rfcont10","X",0.702877513070755
"78","norm","micePMM","X",0.875064657321001
"79","norm","missForest","X",0.676063182481023
"80","norm","rfcont10","X",0.67617803431579
"81","norm","micePMM","X",0.906172636782572
"82","norm","missForest","X",0.609941404939989
"83","norm","rfcont10","X",0.631027392291779
"84","norm","micePMM","X",0.869399422897692
"85","norm","missForest","X",0.67642987208073
"86","norm","rfcont10","X",0.704231647478249
"87","norm","micePMM","X",0.918542080068625
"88","norm","missForest","X",0.647107728838574
"89","norm","rfcont10","X",0.654236953982351
"90","norm","micePMM","X",0.858018333084448
"91","norm","missForest","X",0.67857760518142
"92","norm","rfcont10","X",0.692748999257501
"93","norm","micePMM","X",0.869093610903451
"94","norm","missForest","X",0.683142469328842
"95","norm","rfcont10","X",0.665257690906723
"96","norm","micePMM","X",0.878291968903297
"97","norm","missForest","X",0.691016838976671
"98","norm","rfcont10","X",0.674392621668971
"99","norm","micePMM","X",0.858925895129873
"100","norm","missForest","X",0.655248347035498
"101","norm","rfcont10","X",0.627388279118796
"102","norm","micePMM","X",0.898850578802638
"103","norm","missForest","X",0.680324710611335
"104","norm","rfcont10","X",0.665962910151322
"105","norm","micePMM","X",0.874836551960866
"106","norm","missForest","X",0.685676504066728
"107","norm","rfcont10","X",0.661397785238478
"108","norm","micePMM","X",0.88319478153147
"109","norm","missForest","X",0.624656683638346
"110","norm","rfcont10","X",0.652341171022015
"111","norm","micePMM","X",0.870687689677686
"112","norm","missForest","X",0.663810192178604
"113","norm","rfcont10","X",0.688112460583207
"114","norm","micePMM","X",0.853619393955812
"115","norm","missForest","X",0.676798438509032
"116","norm","rfcont10","X",0.676299204766782
"117","norm","micePMM","X",0.854372656367136
"118","norm","missForest","X",0.629740220121513
"119","norm","rfcont10","X",0.636171716393797
"120","norm","micePMM","X",0.86772689808219
"121","norm","missForest","X",0.698419813543425
"122","norm","rfcont10","X",0.649053715466397
"123","norm","micePMM","X",0.861571078737463
"124","norm","missForest","X",0.662466217080427
"125","norm","rfcont10","X",0.645924847980453
"126","norm","micePMM","X",0.939041934639027
"127","norm","missForest","X",0.671877105237437
"128","norm","rfcont10","X",0.663408952059352
"129","norm","micePMM","X",0.873110556599699
"130","norm","missForest","X",0.647161088287913
"131","norm","rfcont10","X",0.678111506504231
"132","norm","micePMM","X",0.906989801227897
"133","norm","missForest","X",0.663428439591423
"134","norm","rfcont10","X",0.663654335407352
"135","norm","micePMM","X",0.836005540826161
"136","norm","missForest","X",0.67476665845421
"137","norm","rfcont10","X",0.662794236165516
"138","norm","micePMM","X",0.912546001274332
"139","norm","missForest","X",0.738942273995611
"140","norm","rfcont10","X",0.675720685652252
"141","norm","micePMM","X",0.907779767116444
"142","norm","missForest","X",0.680517594849275
"143","norm","rfcont10","X",0.685803835098
"144","norm","micePMM","X",0.89249683162792
"145","norm","missForest","X",0.645003541230033
"146","norm","rfcont10","X",0.658842233202908
"147","norm","micePMM","X",0.85303724225304
"148","norm","missForest","X",0.662164807812601
"149","norm","rfcont10","X",0.70564905717256
"150","norm","micePMM","X",0.926203836724198
"151","norm","missForest","X",0.656625110871864
"152","norm","rfcont10","X",0.682569732222219
"153","norm","micePMM","X",0.903130225337912
"154","norm","missForest","X",0.713376397188846
"155","norm","rfcont10","X",0.646398567100411
"156","norm","micePMM","X",0.855969574478877
"157","norm","missForest","X",0.652326185523679
"158","norm","rfcont10","X",0.648802149910442
"159","norm","micePMM","X",0.81185012689169
"160","norm","missForest","X",0.635412251502997
"161","norm","rfcont10","X",0.6549738649094
"162","norm","micePMM","X",0.891005265466578
"163","norm","missForest","X",0.595397350564944
"164","norm","rfcont10","X",0.635153549493251
"165","norm","micePMM","X",0.876145126660505
"166","norm","missForest","X",0.669817598956531
"167","norm","rfcont10","X",0.680543696216865
"168","norm","micePMM","X",0.919244580708911
"169","norm","missForest","X",0.694595243457716
"170","norm","rfcont10","X",0.668166849280447
"171","norm","micePMM","X",0.879774260085301
"172","norm","missForest","X",0.674139123175095
"173","norm","rfcont10","X",0.683104491977094
"174","norm","micePMM","X",0.919618094601187
"175","norm","missForest","X",0.665765179726984
"176","norm","rfcont10","X",0.624516606796979
"177","norm","micePMM","X",0.914497383490613
"178","norm","missForest","X",0.617226568064025
"179","norm","rfcont10","X",0.652574955884617
"180","norm","micePMM","X",0.901568686508444
"181","norm","missForest","X",0.656626029945928
"182","norm","rfcont10","X",0.654149482435787
"183","norm","micePMM","X",0.876581543882758
"184","norm","missForest","X",0.700278908492112
"185","norm","rfcont10","X",0.668683750932409
"186","norm","micePMM","X",0.939473772166044
"187","norm","missForest","X",0.663657546273529
"188","norm","rfcont10","X",0.647727918821567
"189","norm","micePMM","X",0.911575048286547
"190","norm","missForest","X",0.653077332592278
"191","norm","rfcont10","X",0.672207920383328
"192","norm","micePMM","X",0.933328711540403
"193","norm","missForest","X",0.615661772686144
"194","norm","rfcont10","X",0.638100906929036
"195","norm","micePMM","X",0.868387188705499
"196","norm","missForest","X",0.634543550764401
"197","norm","rfcont10","X",0.679320358757544
"198","norm","micePMM","X",0.897853999147893
"199","norm","missForest","X",0.67897230822783
"200","norm","rfcont10","X",0.673591635159987
"201","norm","micePMM","X",0.937203356918814
"202","norm","missForest","X",0.625758739582079
"203","norm","rfcont10","X",0.621103233201298
"204","norm","micePMM","X",0.902814671244185
"205","norm","missForest","X",0.646070846570549
"206","norm","rfcont10","X",0.674038421048666
"207","norm","micePMM","X",0.932238884304547
"208","norm","missForest","X",0.660754454768749
"209","norm","rfcont10","X",0.678632883043544
"210","norm","micePMM","X",0.849767938691359
"211","norm","missForest","X",0.664174231600429
"212","norm","rfcont10","X",0.695843668995588
"213","norm","micePMM","X",0.938641331769911
"214","norm","missForest","X",0.637256593303911
"215","norm","rfcont10","X",0.624446017119908
"216","norm","micePMM","X",0.837633970554975
"217","norm","missForest","X",0.649967835896722
"218","norm","rfcont10","X",0.668419908533969
"219","norm","micePMM","X",0.892723693008384
"220","norm","missForest","X",0.674048631527153
"221","norm","rfcont10","X",0.680468738580395
"222","norm","micePMM","X",0.913922296736964
"223","norm","missForest","X",0.6367302865572
"224","norm","rfcont10","X",0.652194652871685
"225","norm","micePMM","X",0.865437000773785
"226","norm","missForest","X",0.637342341901888
"227","norm","rfcont10","X",0.67216201622711
"228","norm","micePMM","X",0.889205981006869
"229","norm","missForest","X",0.611796763697015
"230","norm","rfcont10","X",0.645608758095244
"231","norm","micePMM","X",0.902290811309022
"232","norm","missForest","X",0.646482944405164
"233","norm","rfcont10","X",0.677422345028635
"234","norm","micePMM","X",0.872203123782228
"235","norm","missForest","X",0.669012983979794
"236","norm","rfcont10","X",0.672450735185339
"237","norm","micePMM","X",0.807206877324546
"238","norm","missForest","X",0.695963379131506
"239","norm","rfcont10","X",0.643304695133107
"240","norm","micePMM","X",0.857674750581291
"241","norm","missForest","X",0.708876353227542
"242","norm","rfcont10","X",0.67405115854267
"243","norm","micePMM","X",0.875917621530196
"244","norm","missForest","X",0.686772304972612
"245","norm","rfcont10","X",0.663623802692528
"246","norm","micePMM","X",0.878134188109405
"247","norm","missForest","X",0.698600358404794
"248","norm","rfcont10","X",0.673619416559351
"249","norm","micePMM","X",0.88373217878286
"250","norm","missForest","X",0.65647376646051
"251","norm","rfcont10","X",0.663632223957087
"252","norm","micePMM","X",0.893332933406676
"253","norm","missForest","X",0.653892482226737
"254","norm","rfcont10","X",0.63641947755248
"255","norm","micePMM","X",0.872460178355947
"256","norm","missForest","X",0.642955889940102
"257","norm","rfcont10","X",0.661736343365408
"258","norm","micePMM","X",0.829037112717275
"259","norm","missForest","X",0.6866547813655
"260","norm","rfcont10","X",0.693086286213064
"261","norm","micePMM","X",0.869016305184574
"262","norm","missForest","X",0.634437110899691
"263","norm","rfcont10","X",0.633007824107491
"264","norm","micePMM","X",0.845086767265691
"265","norm","missForest","X",0.698230938124301
"266","norm","rfcont10","X",0.707496677975472
"267","norm","micePMM","X",0.910718724834343
"268","norm","missForest","X",0.654416485424849
"269","norm","rfcont10","X",0.683948832741026
"270","norm","micePMM","X",0.857434485227273
"271","norm","missForest","X",0.639667817086256
"272","norm","rfcont10","X",0.634586860375581
"273","norm","micePMM","X",0.865376575119535
"274","norm","missForest","X",0.670644961328443
"275","norm","rfcont10","X",0.690532843926599
"276","norm","micePMM","X",0.829494540045173
"277","norm","missForest","X",0.64313735667241
"278","norm","rfcont10","X",0.640143705481781
"279","norm","micePMM","X",0.872783836805978
"280","norm","missForest","X",0.673114441998907
"281","norm","rfcont10","X",0.690035953582646
"282","norm","micePMM","X",0.910414349912296
"283","norm","missForest","X",0.678766660794586
"284","norm","rfcont10","X",0.651462889392096
"285","norm","micePMM","X",0.848152109386167
"286","norm","missForest","X",0.613620048764587
"287","norm","rfcont10","X",0.636535668395634
"288","norm","micePMM","X",0.897050400488942
"289","norm","missForest","X",0.657044259327664
"290","norm","rfcont10","X",0.683414546222903
"291","norm","micePMM","X",0.894889729180367
"292","norm","missForest","X",0.623067420689245
"293","norm","rfcont10","X",0.646908792847734
"294","norm","micePMM","X",0.935316083035521
"295","norm","missForest","X",0.638105299024086
"296","norm","rfcont10","X",0.642342662930944
"297","norm","micePMM","X",0.88658446491907
"298","norm","missForest","X",0.67965353512559
"299","norm","rfcont10","X",0.648596024979195
"300","norm","micePMM","X",0.864309178042054
"301","unif","missForest","X",0.761832467832355
"302","unif","rfcont10","X",0.773983392072768
"303","unif","micePMM","X",1.00538674469995
"304","unif","missForest","X",0.733552836563299
"305","unif","rfcont10","X",0.746961975953471
"306","unif","micePMM","X",1.07775353298697
"307","unif","missForest","X",0.793087843450465
"308","unif","rfcont10","X",0.812062169753054
"309","unif","micePMM","X",1.06228212912235
"310","unif","missForest","X",0.752326904225389
"311","unif","rfcont10","X",0.79066534888602
"312","unif","micePMM","X",1.004028824563
"313","unif","missForest","X",0.804496635535639
"314","unif","rfcont10","X",0.78819118848318
"315","unif","micePMM","X",1.00677150025493
"316","unif","missForest","X",0.82499232184876
"317","unif","rfcont10","X",0.774626580669146
"318","unif","micePMM","X",1.10531519674331
"319","unif","missForest","X",0.816559200041404
"320","unif","rfcont10","X",0.796843876650455
"321","unif","micePMM","X",1.05351460571212
"322","unif","missForest","X",0.811916591417431
"323","unif","rfcont10","X",0.79823844354335
"324","unif","micePMM","X",1.10387368470027
"325","unif","missForest","X",0.750756217859536
"326","unif","rfcont10","X",0.765932871421392
"327","unif","micePMM","X",1.02123861513057
"328","unif","missForest","X",0.745033005026236
"329","unif","rfcont10","X",0.746981032391011
"330","unif","micePMM","X",1.05608976450827
"331","unif","missForest","X",0.838987376378159
"332","unif","rfcont10","X",0.791510395959875
"333","unif","micePMM","X",1.03482202533107
"334","unif","missForest","X",0.807452695009112
"335","unif","rfcont10","X",0.822315589927167
"336","unif","micePMM","X",1.0119826201698
"337","unif","missForest","X",0.773918425739312
"338","unif","rfcont10","X",0.779594666605079
"339","unif","micePMM","X",1.09321118704279
"340","unif","missForest","X",0.766044109053005
"341","unif","rfcont10","X",0.758881142092292
"342","unif","micePMM","X",1.07557601940232
"343","unif","missForest","X",0.78833748906463
"344","unif","rfcont10","X",0.802341814332326
"345","unif","micePMM","X",1.04968831563931
"346","unif","missForest","X",0.7753437478654
"347","unif","rfcont10","X",0.746799301189494
"348","unif","micePMM","X",0.985280283226581
"349","unif","missForest","X",0.765171771943089
"350","unif","rfcont10","X",0.801756383556461
"351","unif","micePMM","X",1.0090187217342
"352","unif","missForest","X",0.83144368422131
"353","unif","rfcont10","X",0.801193578756488
"354","unif","micePMM","X",1.10626617129819
"355","unif","missForest","X",0.796719784708977
"356","unif","rfcont10","X",0.750819786319002
"357","unif","micePMM","X",0.991257420941348
"358","unif","missForest","X",0.886575101923926
"359","unif","rfcont10","X",0.759759298431246
"360","unif","micePMM","X",1.00929918880251
"361","unif","missForest","X",0.760465429583599
"362","unif","rfcont10","X",0.764845556144886
"363","unif","micePMM","X",1.03673775109079
"364","unif","missForest","X",0.7864114216288
"365","unif","rfcont10","X",0.719693215051966
"366","unif","micePMM","X",1.05761630522299
"367","unif","missForest","X",0.80716546714655
"368","unif","rfcont10","X",0.814254100094228
"369","unif","micePMM","X",1.01994244241878
"370","unif","missForest","X",0.765351829826403
"371","unif","rfcont10","X",0.808344367639086
"372","unif","micePMM","X",1.1267691261492
"373","unif","missForest","X",0.829947438371766
"374","unif","rfcont10","X",0.801906850759164
"375","unif","micePMM","X",1.03802255611302
"376","unif","missForest","X",0.866028553207202
"377","unif","rfcont10","X",0.786853094138828
"378","unif","micePMM","X",1.0643802814079
"379","unif","missForest","X",0.831880177673559
"380","unif","rfcont10","X",0.774186058040448
"381","unif","micePMM","X",1.05020322817507
"382","unif","missForest","X",0.748663375040597
"383","unif","rfcont10","X",0.767288213102571
"384","unif","micePMM","X",1.04705556559552
"385","unif","missForest","X",0.811034580557268
"386","unif","rfcont10","X",0.787743161222134
"387","unif","micePMM","X",1.12938967459535
"388","unif","missForest","X",0.722190719703356
"389","unif","rfcont10","X",0.759027919915959
"390","unif","micePMM","X",1.02468612627218
"391","unif","missForest","X",0.743769522514395
"392","unif","rfcont10","X",0.744194764755248
"393","unif","micePMM","X",1.08177003453835
"394","unif","missForest","X",0.819448389881536
"395","unif","rfcont10","X",0.749043859717127
"396","unif","micePMM","X",1.1125949715483
"397","unif","missForest","X",0.73073672563205
"398","unif","rfcont10","X",0.732590553180283
"399","unif","micePMM","X",1.05056883726125
"400","unif","missForest","X",0.808503120868554
"401","unif","rfcont10","X",0.767201078258074
"402","unif","micePMM","X",1.04199709334068
"403","unif","missForest","X",0.783141375170908
"404","unif","rfcont10","X",0.740276427236094
"405","unif","micePMM","X",1.03032356579538
"406","unif","missForest","X",0.827246993101925
"407","unif","rfcont10","X",0.780494799882415
"408","unif","micePMM","X",1.05538960198698
"409","unif","missForest","X",0.783114763680318
"410","unif","rfcont10","X",0.738296576742679
"411","unif","micePMM","X",1.00055802360695
"412","unif","missForest","X",0.814107903017685
"413","unif","rfcont10","X",0.791933144855766
"414","unif","micePMM","X",1.03798822506471
"415","unif","missForest","X",0.75241794479529
"416","unif","rfcont10","X",0.734622762276737
"417","unif","micePMM","X",1.05124779286756
"418","unif","missForest","X",0.807953868784418
"419","unif","rfcont10","X",0.838082064545678
"420","unif","micePMM","X",1.11933317572068
"421","unif","missForest","X",0.825598850871714
"422","unif","rfcont10","X",0.735568164246071
"423","unif","micePMM","X",1.05976073921336
"424","unif","missForest","X",0.802520811309356
"425","unif","rfcont10","X",0.788786464736196
"426","unif","micePMM","X",1.07207352300861
"427","unif","missForest","X",0.857997116030612
"428","unif","rfcont10","X",0.752199480718443
"429","unif","micePMM","X",1.07900061676099
"430","unif","missForest","X",0.73082741844086
"431","unif","rfcont10","X",0.758094361848721
"432","unif","micePMM","X",1.04254136566631
"433","unif","missForest","X",0.771436166093208
"434","unif","rfcont10","X",0.761546859693288
"435","unif","micePMM","X",1.09086822211554
"436","unif","missForest","X",0.757392168850133
"437","unif","rfcont10","X",0.735941682140726
"438","unif","micePMM","X",1.00451395282293
"439","unif","missForest","X",0.813699899567035
"440","unif","rfcont10","X",0.775699201565995
"441","unif","micePMM","X",1.02627954979224
"442","unif","missForest","X",0.782987675171005
"443","unif","rfcont10","X",0.768480363750529
"444","unif","micePMM","X",1.06086344155985
"445","unif","missForest","X",0.802662934962981
"446","unif","rfcont10","X",0.769392970769996
"447","unif","micePMM","X",1.09022415103623
"448","unif","missForest","X",0.841718730204276
"449","unif","rfcont10","X",0.77516732258177
