"","dist","estimator","col","rel_bias"
"1","norm","missForest","X",-0.013676698854303
"2","norm","missForest","X2",-0.0370598597563934
"3","norm","rfcont10","X",-0.00534118073077805
"4","norm","rfcont10","X2",-0.0145742977256652
"5","norm","micePMM","X",-0.0200052446524721
"6","norm","micePMM","X2",-0.0410634844771103
"7","norm","missForest","X",-0.0267582508427343
"8","norm","missForest","X2",-0.0631510507702401
"9","norm","rfcont10","X",0.00603930274564424
"10","norm","rfcont10","X2",0.00717744267626252
"11","norm","micePMM","X",-0.0122404609098139
"12","norm","micePMM","X2",-0.0153057788791783
"13","norm","missForest","X",0.017632876927854
"14","norm","missForest","X2",0.0322714739232417
"15","norm","rfcont10","X",-0.00288742485103433
"16","norm","rfcont10","X2",-0.0146181525029773
"17","norm","micePMM","X",-0.0138366914433592
"18","norm","micePMM","X2",-0.0293592879628277
"19","norm","missForest","X",0.00458334871524446
"20","norm","missForest","X2",-0.00637000449171332
"21","norm","rfcont10","X",0.00506077863551546
"22","norm","rfcont10","X2",-0.000569133066518734
"23","norm","micePMM","X",-0.00749105942539008
"24","norm","micePMM","X2",-0.0185821356477197
"25","norm","missForest","X",-0.0359580621053455
"26","norm","missForest","X2",-0.0832430325986642
"27","norm","rfcont10","X",-0.00470767226028668
"28","norm","rfcont10","X2",-0.0192238318128647
"29","norm","micePMM","X",-0.0183005858656116
"30","norm","micePMM","X2",-0.0391402995762623
"31","norm","missForest","X",-0.0270673381197869
"32","norm","missForest","X2",-0.0581360046179443
"33","norm","rfcont10","X",0.00413618470334565
"34","norm","rfcont10","X2",0.000531604162469002
"35","norm","micePMM","X",-0.0088715228183468
"36","norm","micePMM","X2",-0.0143073028250872
"37","norm","missForest","X",-0.0327801685691791
"38","norm","missForest","X2",-0.0600717361738667
"39","norm","rfcont10","X",0.00412067236915958
"40","norm","rfcont10","X2",0.00270168410221849
"41","norm","micePMM","X",-0.0103179838713353
"42","norm","micePMM","X2",-0.0165989463808449
"43","norm","missForest","X",0.0322169917965027
"44","norm","missForest","X2",0.0494366708969614
"45","norm","rfcont10","X",0.00905479131281473
"46","norm","rfcont10","X2",0.00691164249084886
"47","norm","micePMM","X",-0.00839429215525922
"48","norm","micePMM","X2",-0.016475717339386
"49","norm","missForest","X",0.00532437894659865
"50","norm","missForest","X2",-0.0210183845398888
