"dist","estimator","col","rel_bias"
"norm","missFor","X",-0.00867921601536914
"norm","missFor","XZ",-0.0131501392268137
"norm","miceRf","X",-0.0198251231169989
"norm","miceRf","XZ",-0.0358207826176223
"norm","micePmm","X",0.00370348762551331
"norm","micePmm","XZ",-0.0113677651699412
"norm","missFor","X",0.000149545969442499
"norm","missFor","XZ",-0.00451383116968529
"norm","miceRf","X",-0.00585331520531862
"norm","miceRf","XZ",-0.0347108022239504
"norm","micePmm","X",0.0136171298763779
"norm","micePmm","XZ",-0.00129840137611237
"norm","missFor","X",-0.00510003401617842
"norm","missFor","XZ",-0.00490584377394732
"norm","miceRf","X",-0.0174896081431292
"norm","miceRf","XZ",-0.0264055540758936
"norm","micePmm","X",7.92940445850654e-05
"norm","micePmm","XZ",-0.00538530718359975
"norm","missFor","X",-0.0030393694077292
"norm","missFor","XZ",-0.00520833420961209
"norm","miceRf","X",-0.0190039452551746
"norm","miceRf","XZ",-0.0280429146396369
"norm","micePmm","X",-0.00192049403869865
"norm","micePmm","XZ",-0.00866928678699652
"norm","missFor","X",0.00297935796159732
"norm","missFor","XZ",-0.0113596149791415
"norm","miceRf","X",-0.00721006917221501
"norm","miceRf","XZ",-0.0274161185332052
"norm","micePmm","X",0.00256368666995233
"norm","micePmm","XZ",-0.0113663522688394
"norm","missFor","X",-0.00443935112128513
"norm","missFor","XZ",-0.0125286042753531
"norm","miceRf","X",-0.0126166597573255
"norm","miceRf","XZ",-0.0343660067794415
"norm","micePmm","X",-0.00579783021233948
"norm","micePmm","XZ",-0.0218093791504893
"norm","missFor","X",-0.0105966494785064
"norm","missFor","XZ",-0.0172120703953983
"norm","miceRf","X",-0.0168639620751388
"norm","miceRf","XZ",-0.0424366237944092
"norm","micePmm","X",0.000413034132006773
"norm","micePmm","XZ",-0.0226856185595333
"norm","missFor","X",-0.00325692490351803
"norm","missFor","XZ",-0.004144427496514
"norm","miceRf","X",-0.0182448528755638
"norm","miceRf","XZ",-0.0310156472203266
"norm","micePmm","X",0.000246058361557333
"norm","micePmm","XZ",-0.00648091719993527
"norm","missFor","X",-0.00435060642567797
"norm","missFor","XZ",-0.00534773061263827
"norm","miceRf","X",-0.0110923103941155
"norm","miceRf","XZ",-0.0290442414111665
"norm","micePmm","X",0.00942583564984156
"norm","micePmm","XZ",-0.00427093912147591
"norm","missFor","X",-0.001937470344749
"norm","missFor","XZ",-0.0093148540661897
"norm","miceRf","X",-0.0159103171231655
"norm","miceRf","XZ",-0.0304900255713079
"norm","micePmm","X",0.00418939692507081
"norm","micePmm","XZ",-0.0129473980816865
"norm","missFor","X",0.00137271267086492
"norm","missFor","XZ",-0.00331967113784315
"norm","miceRf","X",-0.00664731735948287
"norm","miceRf","XZ",-0.0262038172053516
"norm","micePmm","X",0.00275057873174966
"norm","micePmm","XZ",0.00145120238244978
"norm","missFor","X",0.00183784837892387
"norm","missFor","XZ",-0.00139182382409819
"norm","miceRf","X",-0.00613032606076802
"norm","miceRf","XZ",-0.0292567908680653
"norm","micePmm","X",-0.00194745250433737
"norm","micePmm","XZ",-0.00809005076847058
"norm","missFor","X",-0.00109505211754768
"norm","missFor","XZ",-0.000875949807544241
"norm","miceRf","X",-0.00321345849634513
"norm","miceRf","XZ",-0.03360699809014
"norm","micePmm","X",0.00578426473814808
"norm","micePmm","XZ",-0.00622892630480609
"norm","missFor","X",-0.00521421378654741
"norm","missFor","XZ",-0.00710204550277149
"norm","miceRf","X",-0.0113118736410911
"norm","miceRf","XZ",-0.0202776350170559
"norm","micePmm","X",-0.00657782515893957
"norm","micePmm","XZ",-0.00711695799306755
"norm","missFor","X",-0.00738205291817418
"norm","missFor","XZ",-0.00894045744559602
"norm","miceRf","X",-0.0167187697466672
"norm","miceRf","XZ",-0.0273619810620632
"norm","micePmm","X",0.00437358823645195
"norm","micePmm","XZ",-0.0152094360139832
"norm","missFor","X",-0.00388884147540791
"norm","missFor","XZ",-0.00294070666032198
"norm","miceRf","X",-0.0151425695513668
"norm","miceRf","XZ",-0.0372467217484274
"norm","micePmm","X",0.00309304253707166
"norm","micePmm","XZ",-0.0185802264814477
"norm","missFor","X",-0.00976293122084726
"norm","missFor","XZ",-0.0113941709921298
"norm","miceRf","X",-0.0155416224629366
"norm","miceRf","XZ",-0.0283297895993209
"norm","micePmm","X",0.000625806723780764
"norm","micePmm","XZ",-0.0182557907174594
"norm","missFor","X",-0.00315452540485406
"norm","missFor","XZ",-0.00925523840669984
"norm","miceRf","X",-0.0185085933583271
"norm","miceRf","XZ",-0.0373092790397729
"norm","micePmm","X",0.0077177988528232
"norm","micePmm","XZ",-0.0136915376339833
"norm","missFor","X",-2.14434038017242e-05
"norm","missFor","XZ",-0.00424784023032443
"norm","miceRf","X",-0.00769425067537755
"norm","miceRf","XZ",-0.0327835963342006
"norm","micePmm","X",0.00386471717570913
"norm","micePmm","XZ",-0.0100185928325183
"norm","missFor","X",-0.00604716470591193
"norm","missFor","XZ",-0.00673126979670724
"norm","miceRf","X",-0.0105486719923111
"norm","miceRf","XZ",-0.0274961282666119
"norm","micePmm","X",0.00200767212536634
"norm","micePmm","XZ",-0.00405716996670646
"norm","missFor","X",-0.0081315206841247
"norm","missFor","XZ",-0.0129661278667511
"norm","miceRf","X",-0.0233001482012211
"norm","miceRf","XZ",-0.0439944016652881
"norm","micePmm","X",-0.000173534147151377
"norm","micePmm","XZ",-0.0222481575713033
"norm","missFor","X",-0.00149339192655717
"norm","missFor","XZ",-0.00193627873945734
"norm","miceRf","X",-0.00995114495641558
"norm","miceRf","XZ",-0.0217094238108485
"norm","micePmm","X",0.00399760787996883
"norm","micePmm","XZ",-0.00521658405149505
"norm","missFor","X",-0.00385924773581647
"norm","missFor","XZ",-0.00410933854652584
"norm","miceRf","X",-0.0105296339473017
"norm","miceRf","XZ",-0.0177719991999985
"norm","micePmm","X",-0.0056662603255937
"norm","micePmm","XZ",-0.0122959391520786
"norm","missFor","X",-0.00377682293739734
"norm","missFor","XZ",-0.00931302365368447
"norm","miceRf","X",-0.00832041710711406
"norm","miceRf","XZ",-0.0261642806296815
"norm","micePmm","X",-0.000597729978778494
"norm","micePmm","XZ",-0.0187646773211705
"norm","missFor","X",-0.00522819220587378
"norm","missFor","XZ",-0.00549512395101515
"norm","miceRf","X",-0.0165150679613475
"norm","miceRf","XZ",-0.0153613026584253
"norm","micePmm","X",0.00133681489750725
"norm","micePmm","XZ",-0.00589060028777877
"norm","missFor","X",-0.00184828526240699
"norm","missFor","XZ",-0.00621611606610151
"norm","miceRf","X",-0.00610229537450946
"norm","miceRf","XZ",-0.0188480406249257
"norm","micePmm","X",0.0029367938085918
"norm","micePmm","XZ",-0.00825743784350474
"norm","missFor","X",-0.00254091611271501
"norm","missFor","XZ",-0.0018211891931551
"norm","miceRf","X",-0.0133590697740789
"norm","miceRf","XZ",-0.0177194097813934
"norm","micePmm","X",0.00273069388484593
"norm","micePmm","XZ",0.00153951454184176
"norm","missFor","X",0.0010209273448718
"norm","missFor","XZ",-0.00856881320875447
"norm","miceRf","X",-0.00254724469394485
"norm","miceRf","XZ",-0.0250144336372518
"norm","micePmm","X",0.00368679295158914
"norm","micePmm","XZ",-0.0091627533473857
