"dist","estimator","col","rel_bias"
"norm","missForest","X",0.000290001522400107
"norm","missForest","XZ",-0.00490943201815253
"norm","rfcont10","X",-0.00842094559846041
"norm","rfcont10","XZ",-0.0306969364880313
"norm","rfdoove10","X",-0.0092536631778416
"norm","rfdoove10","XZ",-0.0296718493253825
"norm","micePMM","X",0.00396087845718962
"norm","micePMM","XZ",-0.00990455868026319
"norm","missForest","X",-0.0075016997142896
"norm","missForest","XZ",-0.00552474005561454
"norm","rfcont10","X",-0.0125049975304189
"norm","rfcont10","XZ",-0.0268194622758635
"norm","rfdoove10","X",-0.014266471693979
"norm","rfdoove10","XZ",-0.0262102296650287
"norm","micePMM","X",-0.00152325741753268
"norm","micePMM","XZ",-0.014679407782293
"norm","missForest","X",-0.000637640657142335
"norm","missForest","XZ",-0.00460658077225962
"norm","rfcont10","X",-0.00818086249037342
"norm","rfcont10","XZ",-0.0225263274683648
"norm","rfdoove10","X",-0.0096140750246938
"norm","rfdoove10","XZ",-0.0203431240667721
"norm","micePMM","X",0.00386230164375689
"norm","micePMM","XZ",0.00164393457482515
"norm","missForest","X",-0.00480855206241226
"norm","missForest","XZ",-0.0073128020187625
"norm","rfcont10","X",-0.00677811184643029
"norm","rfcont10","XZ",-0.0250792975515153
"norm","rfdoove10","X",-0.0117561416669677
"norm","rfdoove10","XZ",-0.0248869121676724
"norm","micePMM","X",0.00748579842878416
"norm","micePMM","XZ",-0.00870935638493964
"norm","missForest","X",-0.0067517986485951
"norm","missForest","XZ",-0.0110207165529749
"norm","rfcont10","X",-0.0106360056448775
"norm","rfcont10","XZ",-0.0310599507724845
"norm","rfdoove10","X",-0.0117641877018146
"norm","rfdoove10","XZ",-0.0344498866686344
"norm","micePMM","X",0.00785792657304762
"norm","micePMM","XZ",-0.00120672824067336
"norm","missForest","X",0.00186491140949374
"norm","missForest","XZ",-0.0033814117929547
"norm","rfcont10","X",-0.00512569705896049
"norm","rfcont10","XZ",-0.0271179788956323
"norm","rfdoove10","X",-0.00667672183608803
"norm","rfdoove10","XZ",-0.0261135016187221
"norm","micePMM","X",0.00278442749541741
"norm","micePMM","XZ",-0.00545982354788499
"norm","missForest","X",-0.00165711575083538
"norm","missForest","XZ",-0.00778092500217498
"norm","rfcont10","X",-0.00599554814872361
"norm","rfcont10","XZ",-0.0255190572717844
"norm","rfdoove10","X",-0.00883509418475481
"norm","rfdoove10","XZ",-0.0281311994421833
"norm","micePMM","X",0.00522233821508711
"norm","micePMM","XZ",-0.0127143841811557
"norm","missForest","X",-0.0050165082767385
"norm","missForest","XZ",-0.0145515343502197
"norm","rfcont10","X",-0.0139304149309279
"norm","rfcont10","XZ",-0.0442047663109103
"norm","rfdoove10","X",-0.0113926672886329
"norm","rfdoove10","XZ",-0.0408776901254818
"norm","micePMM","X",-0.00160342708334227
"norm","micePMM","XZ",-0.0265973919559218
"norm","missForest","X",-0.000877461437384319
"norm","missForest","XZ",-0.00352411704179034
"norm","rfcont10","X",-0.00874217007201439
"norm","rfcont10","XZ",-0.0222702194110808
"norm","rfdoove10","X",-0.0105897819466125
"norm","rfdoove10","XZ",-0.0225610013942865
"norm","micePMM","X",0.00378060829874971
"norm","micePMM","XZ",0.00108504933547859
"norm","missForest","X",-0.0086315120991094
"norm","missForest","XZ",-0.0144939397015779
"norm","rfcont10","X",-0.0108954017787212
"norm","rfcont10","XZ",-0.0271235293446977
"norm","rfdoove10","X",-0.0150546844067353
"norm","rfdoove10","XZ",-0.0354663668362349
"norm","micePMM","X",0.00553010037328505
"norm","micePMM","XZ",-0.0086320752994492
"norm","missForest","X",-0.00142973711181515
"norm","missForest","XZ",-0.00531278632403531
"norm","rfcont10","X",-0.00565832767372265
"norm","rfcont10","XZ",-0.0294637415435633
"norm","rfdoove10","X",-0.0083375984959998
"norm","rfdoove10","XZ",-0.0256871839658135
"norm","micePMM","X",0.00596478710685711
"norm","micePMM","XZ",-0.00189720510142177
"norm","missForest","X",-0.00144883769151216
"norm","missForest","XZ",-0.00461252386628486
"norm","rfcont10","X",-0.013564720207754
"norm","rfcont10","XZ",-0.0288658155725031
"norm","rfdoove10","X",-0.0074599168546915
"norm","rfdoove10","XZ",-0.0166605443418362
"norm","micePMM","X",0.00163879538085276
"norm","micePMM","XZ",0.00289769582992228
"norm","missForest","X",-0.00108533259738497
"norm","missForest","XZ",-0.0048172001941551
"norm","rfcont10","X",-0.00359023091044752
"norm","rfcont10","XZ",-0.0200218682264802
"norm","rfdoove10","X",-0.00837229505505677
"norm","rfdoove10","XZ",-0.0258144891300427
"norm","micePMM","X",0.00706108686915852
"norm","micePMM","XZ",-0.00316409401187079
"norm","missForest","X",-0.00163948204545328
"norm","missForest","XZ",-0.00773930726970129
"norm","rfcont10","X",-0.0179493362947093
"norm","rfcont10","XZ",-0.0483208603787856
"norm","rfdoove10","X",-0.0188246125382776
"norm","rfdoove10","XZ",-0.0460519386898161
"norm","micePMM","X",0.00908291125639304
"norm","micePMM","XZ",-0.0165385382557515
"norm","missForest","X",-0.00143178385440912
"norm","missForest","XZ",0.000523001872493545
"norm","rfcont10","X",-0.0047290741827265
"norm","rfcont10","XZ",-0.0143924792042923
"norm","rfdoove10","X",-0.00478245005312561
