"dist","estimator","col","rel_bias"
"norm","missForest","X",-0.00292930199770602
"norm","missForest","XZ",-0.0235462610902863
"norm","rfcont10","X",0.00258498366532001
"norm","rfcont10","XZ",-0.0017475307499224
"norm","micePMM","X",-0.013169306210684
"norm","micePMM","XZ",-0.0212357562241294
"norm","missForest","X",0.00743022558139694
"norm","missForest","XZ",-0.0139224643655679
"norm","rfcont10","X",0.0132454317339723
"norm","rfcont10","XZ",0.00772356637467686
"norm","micePMM","X",-0.00801079897771673
"norm","micePMM","XZ",-0.0160855880727871
"norm","missForest","X",-0.0149861000975704
"norm","missForest","XZ",-0.0327491992364926
"norm","rfcont10","X",-0.00234734948064019
"norm","rfcont10","XZ",-0.00347024596337475
"norm","micePMM","X",-0.0086395516570843
"norm","micePMM","XZ",-0.0171909639667002
"norm","missForest","X",-0.0115734480715777
"norm","missForest","XZ",-0.0281508249363067
"norm","rfcont10","X",0.00566669558580446
"norm","rfcont10","XZ",-0.000350280677241632
"norm","micePMM","X",-0.00865494294480451
"norm","micePMM","XZ",-0.0108536175081407
"norm","missForest","X",-0.010338349973148
"norm","missForest","XZ",-0.0210883363638602
"norm","rfcont10","X",-0.0066682775681125
"norm","rfcont10","XZ",-0.0048408707198071
"norm","micePMM","X",-0.0261337737615596
"norm","micePMM","XZ",-0.0337463864942351
"norm","missForest","X",-0.0104413076296009
"norm","missForest","XZ",-0.0225811208831509
"norm","rfcont10","X",-0.00127049220861475
"norm","rfcont10","XZ",0.00262330661702737
"norm","micePMM","X",-0.0185030379861867
"norm","micePMM","XZ",-0.023874651388775
"norm","missForest","X",-0.0141235810950849
"norm","missForest","XZ",-0.0213562991069919
"norm","rfcont10","X",0.00136864298803885
"norm","rfcont10","XZ",0.0124006199384379
"norm","micePMM","X",-0.0105306077756201
"norm","micePMM","XZ",-0.0154772044913803
"norm","missForest","X",0.00223508422714569
"norm","missForest","XZ",-0.00993926751531082
"norm","rfcont10","X",0.00757731203559131
"norm","rfcont10","XZ",0.0115926664327319
"norm","micePMM","X",-0.00702753569616688
"norm","micePMM","XZ",-0.0175765814056096
"norm","missForest","X",-0.0208383443328888
"norm","missForest","XZ",-0.0353449790346777
"norm","rfcont10","X",-0.00598972386817964
"norm","rfcont10","XZ",-0.0145010767905907
"norm","micePMM","X",-0.024945251895278
"norm","micePMM","XZ",-0.0329456923597693
"norm","missForest","X",-0.0307594185529989
"norm","missForest","XZ",-0.0493627876888609
"norm","rfcont10","X",0.000345489749042915
"norm","rfcont10","XZ",0.00617018671869896
"norm","micePMM","X",-0.0280852565946644
"norm","micePMM","XZ",-0.0325725072703159
"norm","missForest","X",-0.0284858601447158
"norm","missForest","XZ",-0.0442363499666093
"norm","rfcont10","X",-0.0103265982738161
"norm","rfcont10","XZ",-0.0160414723183689
"norm","micePMM","X",-0.0259441038397314
"norm","micePMM","XZ",-0.0278868101831733
"norm","missForest","X",-0.00929141619211138
"norm","missForest","XZ",-0.0258445832647903
"norm","rfcont10","X",-0.00437106143500277
"norm","rfcont10","XZ",-0.0061477186876453
"norm","micePMM","X",-0.0136584207970412
"norm","micePMM","XZ",-0.0231897395821059
"norm","missForest","X",-0.0225278727326853
"norm","missForest","XZ",-0.0411710972061698
"norm","rfcont10","X",-0.00929171532651951
"norm","rfcont10","XZ",-0.00893709403749043
"norm","micePMM","X",-0.0219052294431854
"norm","micePMM","XZ",-0.0223920045952722
"norm","missForest","X",-0.0118186048631663
"norm","missForest","XZ",-0.0249007419903504
"norm","rfcont10","X",0.0014065073963152
"norm","rfcont10","XZ",-0.00114946393865789
"norm","micePMM","X",-0.019788354353007
"norm","micePMM","XZ",-0.0228913642825114
"norm","missForest","X",0.00324115245636958
"norm","missForest","XZ",-0.0223472308907927
"norm","rfcont10","X",-0.00603214057169288
"norm","rfcont10","XZ",-0.00917177083837828
"norm","micePMM","X",-0.014929901861687
"norm","micePMM","XZ",-0.0185090439946015
"norm","missForest","X",0.00637995917195977
"norm","missForest","XZ",-0.00979740370026549
"norm","rfcont10","X",0.00815492962545439
"norm","rfcont10","XZ",0.00815563941107067
"norm","micePMM","X",-0.00189123725459828
"norm","micePMM","XZ",-0.00447769282093347
"norm","missForest","X",0.00139668865559961
"norm","missForest","XZ",-0.0185729749176259
"norm","rfcont10","X",0.0103622489035697
"norm","rfcont10","XZ",0.00364490071595647
"norm","micePMM","X",-0.00513418065198334
"norm","micePMM","XZ",-0.0113633575520428
"norm","missForest","X",-0.0173850829610644
"norm","missForest","XZ",-0.0348434050197693
"norm","rfcont10","X",-4.43107542209553e-05
"norm","rfcont10","XZ",0.00213682668727122
"norm","micePMM","X",-0.0152702255910863
"norm","micePMM","XZ",-0.0203091623207075
"norm","missForest","X",-0.00813453584398938
"norm","missForest","XZ",-0.0279401611422689
"norm","rfcont10","X",-0.00158274730391084
"norm","rfcont10","XZ",-0.00903743207592589
"norm","micePMM","X",-0.0186886779457521
"norm","micePMM","XZ",-0.0218635696919138
"norm","missForest","X",-0.0142899570274053
"norm","missForest","XZ",-0.029188157204485
"norm","rfcont10","X",-0.00245144450777013
"norm","rfcont10","XZ",-0.00963290743709211
"norm","micePMM","X",-0.0170558611060269
"norm","micePMM","XZ",-0.0195652398696304
"norm","missForest","X",-0.0136098094144008
"norm","missForest","XZ",-0.0285445759629925
"norm","rfcont10","X",-0.0075056385799932
"norm","rfcont10","XZ",-0.00617634734936379
"norm","micePMM","X",-0.0195695996499347
"norm","micePMM","XZ",-0.0232335220289186
"norm","missForest","X",-0.0054191122773487
"norm","missForest","XZ",-0.0171031424901504
"norm","rfcont10","X",0.00254122164117487
"norm","rfcont10","XZ",0.000270300775879306
"norm","micePMM","X",-0.00998862758365981
"norm","micePMM","XZ",-0.0136647687543713
"norm","missForest","X",-0.00961411906221921
"norm","missForest","XZ",-0.0217310003309682
"norm","rfcont10","X",0.00379726043430817
"norm","rfcont10","XZ",0.00780460588495879
"norm","micePMM","X",-0.0225853765190699
"norm","micePMM","XZ",-0.0312527042243359
"norm","missForest","X",0.00344399386881067
"norm","missForest","XZ",0.00235463050381957
"norm","rfcont10","X",0.00480827202138046
"norm","rfcont10","XZ",0.0116345837778629
"norm","micePMM","X",-0.00499284308430137
"norm","micePMM","XZ",-0.0037932146042613
"norm","missForest","X",-0.00680774021856567
"norm","missForest","XZ",-0.0251138661401166
"norm","rfcont10","X",0.00514497676485171
"norm","rfcont10","XZ",-2.85193354724322e-05
"norm","micePMM","X",-0.0237858340984722
"norm","micePMM","XZ",-0.0290729398705178
"norm","missForest","X",-0.00688740541474675
"norm","missForest","XZ",-0.025442880024267
"norm","rfcont10","X",-0.00250390347498053
"norm","rfcont10","XZ",-0.00452067763090391
"norm","micePMM","X",-0.017632158178018
"norm","micePMM","XZ",-0.0227391114026307
"norm","missForest","X",-0.00348844692836603
"norm","missForest","XZ",-0.0125531496128323
"norm","rfcont10","X",0.00683699724316944
"norm","rfcont10","XZ",0.0101826908214437
"norm","micePMM","X",-0.0150056282935738
"norm","micePMM","XZ",-0.0194777020389638
"norm","missForest","X",-0.0127682165404831
"norm","missForest","XZ",-0.0289128501408894
"norm","rfcont10","X",0.00213178086508714
"norm","rfcont10","XZ",-0.000648364722859673
"norm","micePMM","X",-0.00376353146828334
"norm","micePMM","XZ",-0.00945260997399899
"norm","missForest","X",-0.0098958451510468
"norm","missForest","XZ",-0.0234961322857826
"norm","rfcont10","X",-0.00716304602040352
"norm","rfcont10","XZ",-0.0054249814222368
"norm","micePMM","X",-0.0201443568455786
"norm","micePMM","XZ",-0.0245292282041666
"norm","missForest","X",-0.0105208166975462
"norm","missForest","XZ",-0.0283395671284352
"norm","rfcont10","X",-0.00416792629517626
"norm","rfcont10","XZ",-0.00509246658769569
"norm","micePMM","X",-0.0226489244789937
"norm","micePMM","XZ",-0.0237708230787753
"norm","missForest","X",-0.0204588811897241
"norm","missForest","XZ",-0.0330832720348317
"norm","rfcont10","X",2.61509508872049e-05
"norm","rfcont10","XZ",-0.00315964482414244
"norm","micePMM","X",-0.0116726763109722
"norm","micePMM","XZ",-0.0206236465436115
"norm","missForest","X",-0.000445137988500321
"norm","missForest","XZ",-0.0192879186680353
"norm","rfcont10","X",0.00916963284551375
"norm","rfcont10","XZ",0.00758349769798383
"norm","micePMM","X",-0.00139016398395642
"norm","micePMM","XZ",-0.00442581771495953
"norm","missForest","X",-0.0145942270577677
"norm","missForest","XZ",-0.0321015480565306
"norm","rfcont10","X",-0.00820523796148975
"norm","rfcont10","XZ",-0.00648192498293165
"norm","micePMM","X",-0.0172727609311676
"norm","micePMM","XZ",-0.0184916723293255
"norm","missForest","X",-0.00534797503695128
"norm","missForest","XZ",-0.0265297863061711
"norm","rfcont10","X",-0.00950181970499819
"norm","rfcont10","XZ",-0.0124889832246987
"norm","micePMM","X",-0.0287052370566435
"norm","micePMM","XZ",-0.0322725829283412
"norm","missForest","X",-0.00519418305991726
"norm","missForest","XZ",-0.0250256913070648
