"","dist","estimator","col","relb_coef"
"1","norm","missForest","X",8.14801560593404
"2","norm","missForest","X2",-5.4455914883517
"3","norm","rfcont10","X",0.510243285725446
"4","norm","rfcont10","X2",0.134411369293271
"5","norm","micePMM","X",-4.00619099738803
"6","norm","micePMM","X2",2.41802064924205
"7","norm","missForest","X",13.8426834162205
"8","norm","missForest","X2",-32.4523787620028
"9","norm","rfcont10","X",1.71874767582347
"10","norm","rfcont10","X2",-2.78283085038135
"11","norm","micePMM","X",-0.906799195183762
"12","norm","micePMM","X2",2.13120929323845
"13","norm","missForest","X",3.51652312154661
"14","norm","missForest","X2",9.24881986221613
"15","norm","rfcont10","X",1.51880174765025
"16","norm","rfcont10","X2",3.34883766688898
"17","norm","micePMM","X",-0.50671832663919
"18","norm","micePMM","X2",-0.749369381180038
"19","norm","missForest","X",-0.0218975140481437
"20","norm","missForest","X2",-0.696832323167105
"21","norm","rfcont10","X",0.414899796119123
"22","norm","rfcont10","X2",0.672330297700174
"23","norm","micePMM","X",-1.08047673075346
"24","norm","micePMM","X2",-3.35738842139501
"25","norm","missForest","X",-25.5606432559925
"26","norm","missForest","X2",-3.53522220196546
"27","norm","rfcont10","X",-3.38430281336139
"28","norm","rfcont10","X2",-0.203006471016784
"29","norm","micePMM","X",-3.1080472646245
"30","norm","micePMM","X2",-0.683348461993077
"31","norm","missForest","X",49.8936540404414
"32","norm","missForest","X2",-6.95200764421705
"33","norm","rfcont10","X",4.58346067852277
"34","norm","rfcont10","X2",-0.027523974483486
"35","norm","micePMM","X",-1.17554215981745
"36","norm","micePMM","X2",-0.0239926252613742
"37","norm","missForest","X",-245.366102913665
"38","norm","missForest","X2",-6.75423163475057
"39","norm","rfcont10","X",-14.7985710520487
"40","norm","rfcont10","X2",0.132106443887305
"41","norm","micePMM","X",36.6172027501321
"42","norm","micePMM","X2",0.83390663295554
"43","norm","missForest","X",-13.1504772106632
"44","norm","missForest","X2",-2.03695877077972
"45","norm","rfcont10","X",-10.3782103456662
"46","norm","rfcont10","X2",-1.34994017230652
"47","norm","micePMM","X",-2.36764245584487
"48","norm","micePMM","X2",-0.592101708067917
"49","norm","missForest","X",-27.5561730014174
"50","norm","missForest","X2",-5.1282379634691
"51","norm","rfcont10","X",-6.72136780307187
"52","norm","rfcont10","X2",-0.837029992128228
"53","norm","micePMM","X",3.60944469557974
"54","norm","micePMM","X2",0.538346336963136
"55","norm","missForest","X",-6.77461781872117
"56","norm","missForest","X2",-1.3332301279702
"57","norm","rfcont10","X",-2.80663052436747
"58","norm","rfcont10","X2",-0.264156192760603
"59","norm","micePMM","X",3.17954705734428
"60","norm","micePMM","X2",0.373086016992437
"61","norm","missForest","X",7.42929307280392
"62","norm","missForest","X2",25.5705994067669
"63","norm","rfcont10","X",1.59028524797751
"64","norm","rfcont10","X2",4.89193710914355
"65","norm","micePMM","X",0.461341041127083
"66","norm","micePMM","X2",2.59675614543533
