"dist","estimator","col","res"
"norm","missForest","X",8.14801560593404
"norm","missForest","X2",-5.4455914883517
"norm","rfcont10","X",0.510243285725446
"norm","rfcont10","X2",0.134411369293271
"norm","micePMM","X",-4.00619099738803
"norm","micePMM","X2",2.41802064924205
"norm","missForest","X",13.8426834162205
"norm","missForest","X2",-32.4523787620028
"norm","rfcont10","X",1.71874767582347
"norm","rfcont10","X2",-2.78283085038135
"norm","micePMM","X",-0.906799195183762
"norm","micePMM","X2",2.13120929323845
"norm","missForest","X",3.51652312154661
"norm","missForest","X2",9.24881986221613
"norm","rfcont10","X",1.51880174765025
"norm","rfcont10","X2",3.34883766688898
"norm","micePMM","X",-0.50671832663919
"norm","micePMM","X2",-0.749369381180038
"norm","missForest","X",-0.0218975140481437
"norm","missForest","X2",-0.696832323167105
"norm","rfcont10","X",0.414899796119123
"norm","rfcont10","X2",0.672330297700174
"norm","micePMM","X",-1.08047673075346
"norm","micePMM","X2",-3.35738842139501
"norm","missForest","X",-25.5606432559925
"norm","missForest","X2",-3.53522220196546
"norm","rfcont10","X",-3.38430281336139
"norm","rfcont10","X2",-0.203006471016784
"norm","micePMM","X",-3.1080472646245
"norm","micePMM","X2",-0.683348461993077
"norm","missForest","X",49.8936540404414
"norm","missForest","X2",-6.95200764421705
"norm","rfcont10","X",4.58346067852277
"norm","rfcont10","X2",-0.027523974483486
"norm","micePMM","X",-1.17554215981745
"norm","micePMM","X2",-0.0239926252613742
"norm","missForest","X",-245.366102913665
"norm","missForest","X2",-6.75423163475057
"norm","rfcont10","X",-14.7985710520487
"norm","rfcont10","X2",0.132106443887305
"norm","micePMM","X",36.6172027501321
"norm","micePMM","X2",0.83390663295554
"norm","missForest","X",-13.1504772106632
"norm","missForest","X2",-2.03695877077972
"norm","rfcont10","X",-10.3782103456662
"norm","rfcont10","X2",-1.34994017230652
"norm","micePMM","X",-2.36764245584487
"norm","micePMM","X2",-0.592101708067917
"norm","missForest","X",-27.5561730014174
"norm","missForest","X2",-5.1282379634691
"norm","rfcont10","X",-6.72136780307187
"norm","rfcont10","X2",-0.837029992128228
"norm","micePMM","X",3.60944469557974
"norm","micePMM","X2",0.538346336963136
"norm","missForest","X",-6.77461781872117
"norm","missForest","X2",-1.3332301279702
"norm","rfcont10","X",-2.80663052436747
"norm","rfcont10","X2",-0.264156192760603
